,Unnamed: 0,Regular Season,Regular Season.1,Regular Season.2,Regular Season.3,Regular Season.4,Regular Season.5,Unnamed: 7,Playoffs,Playoffs.1
0,,W,L,W/L%,GB,PS/G,PA/G,,W,L
1,Real Madrid *,30,4,.882,-,113.7,100.6,,8,1
2,Baskonia *,25,9,.735,5.0,111.3,101.7,,6,4
3,FC Barcelona Lassa *,24,10,.706,6.0,105.0,95.9,,3,4
4,Valencia Basket *,22,12,.647,8.0,89.4,83.1,,1,2
5,Herbalife Gran Canaria *,20,14,.588,10.0,98.3,96.7,,2,4
6,Unicaja *,19,15,.559,11.0,85.6,82.3,,0,2
7,Iberostar Tenerife *,19,15,.559,11.0,83.3,81.8,,0,2
8,MoraBanc Andorra *,19,15,.559,11.0,92.5,89.4,,1,2
9,UCAM Murcia,17,17,.500,13.0,77.2,76.1,,,
10,Montakit Fuenlabrada,17,17,.500,13.0,77.7,82.5,,,
11,Movistar Estudiantes,17,17,.500,13.0,84.1,85.1,,,
12,Rio Natura Monbus Obradoiro,14,20,.412,16.0,77.9,80.6,,,
13,San Pablo Burgos,13,21,.382,17.0,81.6,87.1,,,
14,Gipuzkoa Basket,13,21,.382,17.0,80.6,83.9,,,
15,Divina Seguros Joventut,12,22,.353,18.0,79.7,83.3,,,
16,Tecnyconta Zaragoza,10,24,.294,20.0,81.8,88.4,,,
17,RETAbet Bilbao Basket,8,26,.235,22.0,76.2,83.6,,,
18,Real Betis Energia Plus,7,27,.206,23.0,77.3,91.1,,,
