,Unnamed: 0,Regular Season,Regular Season.1,Regular Season.2,Regular Season.3,Regular Season.4,Regular Season.5,Unnamed: 7,Playoffs,Playoffs.1
0,,W,L,W/L%,GB,PS/G,PA/G,,W,L
1,Real Madrid *,25,7,.781,-,113.6,103.0,,6,4
2,Valencia Basket *,23,9,.719,2.0,109.9,101.2,,8,3
3,Baskonia *,23,9,.719,2.0,101.2,93.2,,3,4
4,FC Barcelona Lassa *,22,10,.688,3.0,89.0,83.0,,1,2
5,Unicaja *,22,10,.688,3.0,96.6,91.9,,2,4
6,Iberostar Tenerife *,22,10,.688,3.0,83.3,77.9,,1,2
7,Herbalife Gran Canaria *,21,11,.656,4.0,91.7,83.2,,1,2
8,MoraBanc Andorra *,16,16,.500,9.0,89.4,92.7,,1,2
9,UCAM Murcia,14,18,.438,11.0,79.9,80.0,,,
10,RETAbet Bilbao Basket,14,18,.438,11.0,77.3,80.5,,,
11,Movistar Estudiantes,13,19,.406,12.0,81.6,83.4,,,
12,Montakit Fuenlabrada,12,20,.375,13.0,76.9,84.8,,,
13,Divina Seguros Joventut,11,21,.344,14.0,76.1,79.3,,,
14,Rio Natura Monbus Obradoiro,11,21,.344,14.0,76.2,82.1,,,
15,Tecnyconta Zaragoza,9,23,.281,16.0,79.2,84.7,,,
16,Real Betis Energia Plus,9,23,.281,16.0,75.9,83.8,,,
17,ICL Manresa,5,27,.156,20.0,74.2,87.0,,,
