,Unnamed: 0,Regular Season,Regular Season.1,Regular Season.2,Regular Season.3,Regular Season.4,Regular Season.5,Unnamed: 7,Playoffs,Playoffs.1
0,,W,L,W/L%,GB,PS/G,PA/G,,W,L
1,Real Madrid *,28,6,.824,-,89.0,78.8,,8,1
2,FC Barcelona Lassa *,27,7,.794,1.0,86.7,75.7,,6,3
3,Baskonia *,26,8,.765,2.0,86.1,74.5,,0,2
4,Valencia Basket *,23,11,.676,5.0,82.1,78.5,,2,4
5,Unicaja *,21,13,.618,7.0,83.6,81.5,,1,2
6,Divina Seguros Joventut *,18,16,.529,10.0,81.0,80.2,,0,2
7,Tecnyconta Zaragoza *,18,16,.529,10.0,83.0,85.1,,2,3
8,Iberostar Tenerife,17,17,.500,11.0,81.5,79.4,,,
9,Manresa *,17,17,.500,11.0,77.9,79.3,,0,2
10,MoraBanc Andorra,16,18,.471,12.0,80.9,81.9,,,
11,San Pablo Burgos,15,19,.441,13.0,79.6,80.9,,,
12,Herbalife Gran Canaria,14,20,.412,14.0,83.2,84.4,,,
13,Montakit Fuenlabrada,13,21,.382,15.0,82.0,88.5,,,
14,UCAM Murcia,12,22,.353,16.0,78.1,81.6,,,
15,Rio Natura Monbus Obradoiro,11,23,.324,17.0,77.8,83.0,,,
16,Movistar Estudiantes,11,23,.324,17.0,82.7,87.6,,,
17,Gipuzkoa Basket,10,24,.294,18.0,75.2,82.0,,,
18,Breogan,9,25,.265,19.0,76.9,84.4,,,
