,Unnamed: 0,Regular Season,Regular Season.1,Regular Season.2,Regular Season.3,Regular Season.4,Regular Season.5,Unnamed: 7,Playoffs,Playoffs.1
0,,W,L,W/L%,GB,PS/G,PA/G,,W,L
1,FC Barcelona Lassa,19,4,.826,-,88.7,80.3,,,
2,Real Madrid,18,5,.783,1.0,86.4,76.4,,,
3,Tecnyconta Zaragoza,16,7,.696,3.0,83.1,78.6,,,
4,Iberostar Tenerife,14,8,.636,4.5,81.9,78.9,,,
5,RETAbet Bilbao Basket,14,9,.609,5.0,81.1,83.7,,,
6,MoraBanc Andorra,13,10,.565,6.0,81.1,78.9,,,
7,Valencia Basket,12,11,.522,7.0,84.8,77.0,,,
8,Unicaja,12,11,.522,7.0,80.0,77.5,,,
9,San Pablo Burgos,12,11,.522,7.0,80.0,81.5,,,
10,Baskonia,12,11,.522,7.0,83.7,82.0,,,
11,Herbalife Gran Canaria,11,11,.500,7.5,80.7,81.2,,,
12,Divina Seguros Joventut,9,14,.391,10.0,84.0,87.8,,,
13,Rio Natura Monbus Obradoiro,9,14,.391,10.0,79.7,85.7,,,
14,Manresa,9,14,.391,10.0,80.1,84.2,,,
15,Coosur Real Betis,8,15,.348,11.0,77.7,82.2,,,
16,UCAM Murcia,7,15,.318,11.5,80.4,83.9,,,
17,Montakit Fuenlabrada,5,17,.227,13.5,77.6,86.5,,,
18,Movistar Estudiantes,5,18,.217,14.0,74.9,80.2,,,
