,Unnamed: 0,Regular Season,Regular Season.1,Regular Season.2,Regular Season.3,Regular Season.4,Regular Season.5,Unnamed: 7,Playoffs,Playoffs.1
0,,W,L,W/L%,GB,PS/G,PA/G,,W,L
1,Real Madrid *,27,7,.794,-,85.4,77.6,,8,1
2,Unicaja *,25,9,.735,2.0,80.5,76.0,,4,4
3,FC Barcelona *,25,9,.735,2.0,82.5,72.2,,5,5
4,Bilbao Basket *,20,14,.588,7.0,78.0,76.7,,1,2
5,Valencia Basket *,20,14,.588,7.0,82.9,78.7,,3,4
6,FIATC Joventut *,19,15,.559,8.0,78.0,77.2,,0,2
7,Laboral Kutxa Baskonia *,19,15,.559,8.0,83.4,78.5,,1,2
8,CAI Zaragoza,18,16,.529,9.0,76.0,77.7,,,
9,Herbalife Gran Canaria *,18,16,.529,9.0,77.6,77.5,,0,2
10,UCAM Murcia,17,17,.500,10.0,77.1,78.2,,,
11,Iberostar Tenerife,16,18,.471,11.0,78.0,77.0,,,
12,Rio Natura Monbus Obradoiro,15,19,.441,12.0,72.6,74.6,,,
13,Tuenti Movil Estudiantes,14,20,.412,13.0,73.8,76.9,,,
14,Mora Banc Andorra,12,22,.353,15.0,75.0,76.9,,,
15,Baloncesto Sevilla,12,22,.353,15.0,74.7,80.7,,,
16,LaBruixa d'Or Manresa,11,23,.324,16.0,72.2,78.6,,,
17,Gipuzkoa Basket,10,24,.294,17.0,70.9,77.9,,,
18,Montakit Fuenlabrada,8,26,.235,19.0,74.5,79.9,,,
