,#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
0,1,Real Madrid,0.65,0.618,173.1,29.6,75.6,54.3,59.2,15.3,10.0,7.2,1.5,70.9,124.9,108.4,16.6,3388.8,74.9
1,2,FC Barcelona Lassa,0.605,0.573,162.5,26.1,76.9,53.4,61.6,14.0,9.6,6.6,1.4,63.5,117.9,101.7,16.3,3112.4,70.1
2,3,Valencia Basket,0.603,0.561,167.9,29.2,75.3,52.9,59.8,14.8,9.5,6.9,1.4,60.1,117.7,106.0,11.7,2812.3,69.4
3,4,KIROLBET Baskonia Vitoria-Gasteiz,0.59,0.5429999999999999,163.3,28.0,72.6,51.4,48.8,16.3,10.1,7.8,1.4,57.4,112.8,105.1,7.8,3110.6,75.2
4,5,Unicaja Malaga,0.561,0.52,155.2,37.3,70.9,54.0,56.3,16.3,11.0,6.8,1.3,52.0,113.0,109.1,3.9,2452.6,67.9
5,6,Herbalife Gran Canaria,0.564,0.517,154.6,28.4,72.9,49.9,57.6,15.1,11.6,5.5,1.3,56.5,110.8,106.9,3.9,2761.0,74.1
6,7,UCAM Murcia,0.5720000000000001,0.528,158.0,29.5,73.9,50.9,51.1,16.2,10.2,7.2,1.3,49.1,110.7,110.8,-0.0,2663.4,71.5
7,8,Tecnyconta Zaragoza,0.565,0.505,156.6,29.0,73.1,51.8,50.2,15.8,7.8,6.5,1.3,49.3,109.5,111.9,-2.3,2482.0,71.9
8,9,RETAbet Bilbao Basket,0.5720000000000001,0.529,161.3,24.9,69.7,47.3,57.0,16.9,9.7,5.7,1.3,46.9,107.8,111.0,-3.2,2456.3,71.2
9,10,MoraBanc Andorra,0.583,0.542,160.4,27.2,72.1,49.8,52.3,16.1,9.7,6.0,1.3,52.2,111.5,114.8,-3.4,2461.5,71.3
10,11,Iberostar Tenerife,0.5589999999999999,0.519,152.7,29.5,69.5,48.8,61.8,15.7,9.7,4.0,1.3,50.3,109.7,113.8,-4.1,2379.7,69.7
11,12,Montakit Fuenlabrada,0.5710000000000001,0.534,155.9,26.7,66.4,45.6,57.1,15.6,10.8,4.3,1.3,50.2,110.6,114.7,-4.2,2646.7,73.0
12,13,Rio Natura Monbus Obradoiro,0.568,0.515,155.6,26.2,70.7,48.4,55.8,17.4,10.2,6.8,1.3,45.6,106.3,111.3,-5.0,2413.0,69.9
13,14,Divina Seguros Joventut,0.5429999999999999,0.5,153.1,26.2,73.6,47.8,55.1,16.1,11.3,5.9,1.2,47.9,104.8,110.8,-5.9,2512.5,73.6
14,15,Real Betis Energia Plus,0.574,0.53,161.7,28.1,67.3,47.7,51.8,17.6,11.0,6.1,1.3,48.8,107.9,116.4,-8.5,2468.1,71.8
15,16,Movistar Estudiantes,0.5379999999999999,0.498,148.2,26.8,71.1,47.8,56.1,16.2,9.6,6.3,1.2,46.0,103.7,112.8,-9.1,2472.8,72.2
16,17,ICL Manresa,0.529,0.488,146.3,25.4,74.5,49.4,49.7,17.6,8.3,5.0,1.2,37.9,99.1,111.0,-11.9,2403.6,70.7
17,18,Delteco GBC,0.545,0.501,159.4,22.6,68.3,45.4,49.3,16.8,7.8,5.3,1.2,39.8,102.0,119.3,-17.2,2427.3,71.4
