,#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
0,1,Real Madrid,0.616,0.579,166.2,28.8,72.4,52.0,56.0,14.0,9.2,8.5,1.4,67.4,121.3,106.8,14.5,3122.4,72.4
1,2,FC Barcelona Lassa,0.615,0.581,166.1,31.8,74.0,54.4,57.6,14.6,9.2,7.8,1.4,65.0,121.4,107.0,14.5,3053.7,70.8
2,3,KIROLBET Baskonia Vitoria-Gasteiz,0.6,0.5720000000000001,159.3,27.3,72.8,51.4,60.3,15.0,11.1,7.8,1.4,65.7,115.8,102.2,13.6,2658.0,73.8
3,4,Valencia Basket,0.602,0.5660000000000001,166.7,31.8,73.8,53.1,60.2,15.1,8.0,4.5,1.3,59.0,118.9,116.0,3.0,2725.9,68.2
4,5,Iberostar Tenerife,0.599,0.5660000000000001,160.1,27.9,70.0,48.9,63.1,14.9,9.4,5.2,1.4,55.9,117.1,114.4,2.6,2368.0,68.2
5,6,Unicaja Malaga,0.595,0.557,163.6,29.8,70.4,50.5,57.6,15.2,9.1,3.5,1.3,57.5,116.4,113.9,2.5,2639.1,70.8
6,7,MoraBanc Andorra,0.56,0.52,152.2,30.0,69.5,49.1,57.2,13.6,9.8,6.3,1.3,56.1,112.7,111.5,1.2,2496.8,73.4
7,8,San Pablo Inmobiliaria Burgos,0.58,0.547,155.5,28.9,68.6,48.9,59.7,14.7,8.6,5.4,1.3,57.6,114.0,115.0,-0.9,2469.5,72.6
8,9,Divina Seguros Joventut,0.594,0.557,163.5,27.7,70.1,49.5,58.0,17.4,8.9,7.7,1.3,54.5,111.8,112.8,-1.0,2594.3,71.8
9,10,Herbalife Gran Canaria,0.5670000000000001,0.534,157.1,29.5,72.5,49.6,52.3,14.1,9.6,5.5,1.3,54.1,113.0,114.8,-1.8,2502.8,73.3
10,11,ICL Manresa,0.5539999999999999,0.518,151.1,27.9,71.2,48.7,51.7,15.0,8.7,8.2,1.3,51.0,108.8,112.6,-3.8,2646.5,73.3
11,12,Tecnyconta Zaragoza,0.5489999999999999,0.514,155.3,28.4,70.7,49.7,50.4,14.4,9.0,8.2,1.2,54.0,108.9,113.1,-4.1,2936.6,74.8
12,13,UCAM Murcia,0.5489999999999999,0.516,150.1,31.7,72.7,51.6,49.0,16.6,8.6,6.6,1.2,47.1,107.4,112.4,-5.0,2477.9,72.3
13,14,Movistar Estudiantes,0.565,0.529,155.2,25.8,72.8,48.5,52.4,13.7,8.5,5.9,1.3,54.1,111.6,118.3,-6.7,2520.9,73.9
14,15,Rio Natura Monbus Obradoiro,0.575,0.5329999999999999,160.1,24.1,72.1,47.9,65.4,15.4,6.8,6.8,1.3,51.4,109.8,117.1,-7.4,2409.8,70.4
15,16,Montakit Fuenlabrada,0.5589999999999999,0.519,153.3,26.6,65.4,45.7,50.6,14.7,8.6,7.6,1.3,49.8,109.7,118.9,-9.2,2541.7,73.4
16,17,Delteco GBC,0.539,0.504,149.0,27.4,70.8,48.5,59.8,16.2,9.7,4.9,1.2,47.2,104.0,113.5,-9.5,2459.9,71.6
17,18,Cafes Candelas Breogan,0.524,0.489,146.6,29.1,73.4,50.1,50.2,14.7,7.4,8.5,1.2,47.7,104.7,114.5,-9.8,2505.5,73.2
