,#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
0,1,Real Madrid,0.613,0.579,163.6,29.4,74.7,53.5,56.6,14.3,9.1,9.5,1.4,68.3,120.2,106.3,13.9,3215.7,74.6
1,2,FC Barcelona Lassa,0.591,0.562,159.4,29.2,73.6,51.4,61.3,13.7,10.8,6.8,1.3,65.0,117.1,107.0,10.2,3048.3,73.7
2,3,KIROLBET Baskonia Vitoria-Gasteiz,0.606,0.565,166.7,26.5,75.5,52.9,63.6,15.3,7.8,6.7,1.4,63.1,116.2,106.1,10.0,3258.4,73.8
3,4,Valencia Basket,0.605,0.565,167.6,29.2,72.8,51.8,59.0,14.5,8.7,4.2,1.4,59.0,118.8,110.5,8.3,2558.4,68.7
4,5,Unicaja Malaga,0.568,0.523,160.0,32.0,72.1,52.2,65.6,13.8,9.2,4.6,1.3,59.7,114.5,110.0,4.5,2543.7,70.4
5,6,MoraBanc Andorra,0.5710000000000001,0.529,154.7,25.8,69.2,47.6,55.9,14.0,9.8,6.2,1.3,55.5,112.3,108.5,3.7,2800.8,74.7
6,7,Iberostar Tenerife,0.565,0.53,154.0,31.4,72.6,52.1,61.1,15.0,8.4,7.3,1.3,55.9,111.8,109.8,2.0,2533.0,69.9
7,8,Herbalife Gran Canaria,0.578,0.546,155.8,31.4,72.6,51.8,55.1,14.9,9.5,6.5,1.3,57.9,114.4,112.6,1.8,2920.9,72.6
8,9,UCAM Murcia,0.531,0.485,147.5,31.1,71.9,51.0,48.3,14.5,8.9,6.8,1.2,46.4,107.1,105.7,1.4,2449.6,71.5
9,10,Movistar Estudiantes,0.546,0.504,150.0,25.8,69.3,47.1,60.4,11.9,8.3,7.8,1.2,57.4,111.0,112.2,-1.2,2576.8,74.7
10,11,Rio Natura Monbus Obradoiro,0.56,0.522,155.0,28.0,72.8,49.7,59.2,15.5,7.3,9.9,1.3,50.5,109.6,113.4,-3.8,2418.9,70.1
11,12,Delteco GBC,0.541,0.507,148.9,32.4,73.0,52.1,53.3,15.7,9.0,7.1,1.2,51.8,108.4,112.8,-4.4,2529.2,74.1
12,13,Divina Seguros Joventut,0.556,0.514,154.8,27.3,70.6,48.1,53.4,15.3,10.2,4.8,1.3,49.1,108.0,112.9,-4.9,2507.8,72.7
13,14,Montakit Fuenlabrada,0.555,0.524,151.5,30.7,70.5,50.2,53.4,15.8,7.3,5.6,1.2,47.3,109.5,116.3,-6.8,2412.4,70.7
14,15,San Pablo Inmobiliaria Burgos,0.557,0.514,154.4,26.6,68.6,47.6,54.5,15.2,9.1,7.3,1.3,52.5,108.1,115.3,-7.2,2568.0,75.0
15,16,Tecnyconta Zaragoza,0.56,0.519,156.5,21.7,71.6,46.4,47.3,14.5,7.0,6.5,1.3,48.2,107.5,116.2,-8.7,2586.7,75.3
16,17,RETAbet Bilbao Basket,0.5539999999999999,0.517,150.7,24.9,71.0,47.4,52.9,15.6,8.2,5.6,1.3,44.9,106.2,116.5,-10.3,2439.6,71.8
17,18,Real Betis Energia Plus,0.545,0.508,150.5,22.5,68.8,44.9,49.8,15.6,8.2,3.9,1.2,44.9,103.6,122.0,-18.4,2537.0,74.3
