,#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
0,1,Real Madrid,0.597,0.557,164.2,28.0,71.8,51.9,57.5,15.7,8.1,9.4,1.4,64.6,114.7,101.4,13.3,1733.5,74.6
1,2,FC Barcelona Lassa,0.604,0.5529999999999999,161.8,33.8,73.2,54.0,56.7,15.5,11.2,7.2,1.4,64.5,118.3,107.1,11.2,1725.1,74.2
2,3,Valencia Basket,0.594,0.552,166.3,32.2,71.1,51.9,53.3,14.5,9.7,6.1,1.3,61.2,118.6,109.1,9.5,1644.0,70.4
3,4,Tecnyconta Zaragoza,0.562,0.528,155.4,29.9,69.6,50.4,54.3,14.9,8.3,9.3,1.3,57.9,111.7,106.4,5.3,1701.2,74.3
4,5,Iberostar Tenerife,0.591,0.551,163.1,29.2,71.7,50.8,62.8,16.0,8.7,2.9,1.3,56.6,113.9,109.7,4.2,1582.1,71.9
5,6,MoraBanc Andorra,0.564,0.524,153.0,29.7,70.4,50.5,50.7,16.6,9.5,5.3,1.3,51.9,109.1,106.2,2.9,1709.7,74.4
6,7,KIROLBET Baskonia Vitoria-Gasteiz,0.578,0.5429999999999999,155.8,33.2,73.4,53.1,47.1,15.7,10.5,9.8,1.3,56.1,114.0,111.7,2.4,1688.8,72.3
7,8,Unicaja Malaga,0.5539999999999999,0.505,155.7,30.4,71.0,50.2,53.5,15.7,9.7,5.3,1.3,51.5,108.9,107.4,1.5,1674.4,72.8
8,9,RETAbet Bilbao Basket,0.569,0.5329999999999999,158.0,28.3,67.2,49.1,51.8,15.9,6.6,8.7,1.3,52.9,110.6,110.7,-0.1,1723.9,72.6
9,10,Herbalife Gran Canaria,0.5710000000000001,0.54,156.4,28.8,74.6,51.4,59.0,15.4,7.6,5.1,1.3,54.1,111.1,111.9,-0.8,1597.6,71.4
10,11,San Pablo Inmobiliaria Burgos,0.5529999999999999,0.532,146.3,29.7,70.7,50.0,56.1,14.6,8.6,8.1,1.2,55.0,109.9,111.8,-2.0,1675.9,72.9
11,12,UCAM Murcia,0.5429999999999999,0.507,154.2,31.6,69.3,49.7,45.5,15.9,8.8,6.6,1.2,46.8,107.7,112.4,-4.6,1641.9,73.8
12,13,Divina Seguros Joventut,0.56,0.512,157.6,28.2,73.0,50.0,59.9,15.1,7.6,3.5,1.3,54.3,109.6,114.4,-4.8,1766.1,76.4
13,14,ICL Manresa,0.5539999999999999,0.519,152.5,28.8,70.7,49.5,64.2,15.4,6.8,6.4,1.2,53.7,108.2,113.7,-5.5,1703.4,73.0
14,15,Real Betis Energia Plus,0.56,0.529,157.4,26.5,70.8,48.5,50.7,16.3,8.8,6.4,1.2,48.9,107.4,113.6,-6.2,1663.7,72.4
15,16,Rio Natura Monbus Obradoiro,0.561,0.526,157.4,27.1,65.0,45.6,57.1,15.8,8.4,7.8,1.2,50.4,108.6,116.9,-8.3,1687.3,71.4
16,17,Movistar Estudiantes,0.504,0.47200000000000003,148.0,25.9,69.7,46.0,53.7,14.4,11.2,5.7,1.1,45.0,100.3,109.0,-8.8,1698.7,73.9
17,18,Montakit Fuenlabrada,0.5429999999999999,0.509,145.7,26.0,71.2,48.0,54.0,16.6,8.6,6.8,1.3,46.8,103.6,113.1,-9.5,1666.3,74.9
