,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,1.0,Real Madrid *,34,34.0,63.1,0.539,11.2,24.9,0.451,22.8,38.2,0.597,15.7,20.5,0.7659999999999999,8.3,25.0,33.3,20.8,7.4,2.6,13.3,22.3,95.0
1,2.0,FC Barcelona Lassa *,34,29.9,59.9,0.499,9.5,24.1,0.39399999999999996,20.4,35.8,0.569,14.2,18.5,0.769,7.2,25.6,32.8,18.2,6.7,2.8,11.1,19.9,83.4
2,3.0,Valencia Basket Club *,34,29.7,60.3,0.493,9.2,23.4,0.392,20.5,36.9,0.557,14.7,18.1,0.81,8.2,23.0,31.2,17.7,6.6,2.5,11.5,19.9,83.3
3,4.0,Laboral Kutxa Baskonia *,34,30.4,63.7,0.478,9.6,26.6,0.363,20.8,37.1,0.561,17.3,21.4,0.81,9.1,24.7,33.8,14.7,8.2,3.3,14.1,22.4,87.9
4,5.0,Herbalife Gran Canaria *,34,28.4,63.4,0.447,9.1,26.7,0.342,19.2,36.8,0.523,17.1,22.5,0.757,9.5,22.4,31.8,16.4,8.5,2.1,12.8,20.1,82.9
5,6.0,Unicaja Malaga *,34,27.4,60.2,0.455,8.2,23.9,0.345,19.1,36.4,0.527,14.6,19.3,0.755,11.0,20.7,31.6,15.4,7.6,2.2,13.1,21.0,77.6
6,7.0,UCAM Murcia CB *,34,26.5,59.9,0.44299999999999995,9.6,25.4,0.37799999999999995,16.9,34.5,0.49,16.2,21.6,0.75,9.7,22.1,31.8,13.8,7.5,2.5,13.0,25.4,78.9
7,8.0,Montakit Fuenlabrada *,34,28.6,62.9,0.456,10.4,28.1,0.369,18.3,34.8,0.525,14.5,19.6,0.7390000000000001,8.7,19.2,27.9,16.4,8.1,1.6,12.4,24.1,82.1
8,9.0,Iberostar Tenerife,34,27.1,59.9,0.45399999999999996,7.8,22.8,0.34299999999999997,19.3,37.0,0.522,14.6,20.1,0.73,9.2,20.3,29.5,16.8,6.8,1.4,12.1,20.9,76.8
9,10.0,Dominion Bilbao Basket,34,27.1,60.2,0.451,9.4,25.8,0.365,17.7,34.4,0.515,14.2,17.8,0.797,7.5,21.1,28.7,15.5,7.0,2.1,13.1,25.1,77.9
10,11.0,Baloncesto Sevilla,34,28.0,59.7,0.46799999999999997,7.4,20.1,0.36700000000000005,20.6,39.6,0.52,15.0,19.1,0.782,8.4,20.1,28.5,14.5,8.0,2.3,14.3,21.3,78.3
11,12.0,CAI Zaragoza,34,26.9,60.0,0.449,6.7,20.3,0.32899999999999996,20.3,39.6,0.511,19.4,24.6,0.789,8.9,24.1,33.0,13.5,5.7,2.4,13.1,22.0,80.0
12,13.0,FIATC Joventut,34,26.7,63.2,0.42200000000000004,9.9,28.6,0.345,16.8,34.6,0.486,14.2,18.6,0.764,8.8,20.7,29.4,14.7,8.3,2.3,13.4,21.6,77.5
13,14.0,MoraBanc Andorra,34,29.0,60.7,0.47700000000000004,7.9,22.4,0.35100000000000003,21.1,38.4,0.551,14.9,19.1,0.7759999999999999,8.0,21.5,29.5,15.2,7.0,2.3,12.8,20.8,80.7
14,15.0,Rio Natura Monbus Obradoiro,34,25.5,56.9,0.44799999999999995,7.6,23.1,0.32899999999999996,17.9,33.8,0.53,16.8,21.6,0.778,7.8,20.8,28.6,14.2,7.3,2.3,13.4,23.0,75.4
15,16.0,ICL Manresa,34,24.9,58.1,0.428,7.0,21.8,0.319,17.9,36.2,0.494,13.4,18.7,0.716,7.8,21.9,29.7,12.4,5.9,1.8,13.5,23.5,70.1
16,17.0,Movistar Estudiantes,34,27.0,61.7,0.43799999999999994,7.4,23.9,0.312,19.6,37.8,0.518,14.0,19.1,0.733,8.6,20.7,29.4,15.1,7.0,2.3,13.3,21.4,75.4
17,18.0,RETAbet.es GBC,34,26.2,59.4,0.442,7.0,19.4,0.359,19.3,39.9,0.48200000000000004,13.4,16.9,0.7929999999999999,6.8,20.5,27.3,12.9,5.6,1.7,12.9,22.1,72.9
18,,League Average,34,28.0,60.7,0.461,8.6,24.0,0.359,19.4,36.8,0.527,15.2,19.8,0.767,8.5,21.9,30.4,15.5,7.2,2.2,13.0,22.0,79.8
