,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,1.0,Real Madrid *,34,30.2,62.6,0.483,9.1,23.2,0.392,21.1,39.4,0.536,15.8,20.4,0.775,8.3,23.4,31.7,17.1,8.2,3.1,12.6,22.2,85.4
1,2.0,FC Barcelona *,34,31.1,62.4,0.499,8.9,22.3,0.397,22.3,40.1,0.556,11.4,14.3,0.8,8.6,23.4,31.9,18.0,6.6,2.2,11.6,19.8,82.5
2,3.0,Unicaja *,34,28.6,61.5,0.465,8.3,22.6,0.365,20.4,38.9,0.523,15.0,19.0,0.79,11.0,20.7,31.8,16.3,6.6,2.3,11.8,19.6,80.5
3,4.0,Bilbao Basket *,34,28.0,61.4,0.456,8.6,25.3,0.34,19.4,36.1,0.537,13.5,17.5,0.7709999999999999,9.1,20.1,29.3,15.2,7.4,1.7,11.9,21.6,78.0
4,5.0,Valencia Basket *,34,29.0,60.1,0.48200000000000004,9.1,23.6,0.387,19.8,36.5,0.544,15.8,20.0,0.789,9.0,20.1,29.1,17.1,7.7,2.0,12.8,22.9,82.9
5,6.0,Laboral Kutxa Baskonia *,34,29.9,63.4,0.47100000000000003,9.2,23.8,0.385,20.7,39.6,0.523,14.4,18.6,0.772,8.4,24.0,32.3,14.3,8.0,3.1,13.4,21.7,83.4
6,7.0,FIATC Joventut *,34,28.1,63.5,0.442,9.2,26.9,0.341,18.9,36.5,0.517,12.7,17.5,0.725,9.0,21.6,30.6,15.6,7.2,3.2,12.4,21.2,78.0
7,8.0,CAI Zaragoza,34,26.5,59.4,0.447,7.1,20.6,0.34299999999999997,19.4,38.7,0.502,15.9,19.9,0.7959999999999999,7.9,23.8,31.7,13.9,5.5,2.0,11.8,19.4,76.0
8,9.0,Herbalife Gran Canaria *,34,28.7,64.3,0.446,7.9,23.3,0.34,20.8,41.0,0.506,12.3,16.5,0.746,10.4,21.6,32.0,14.0,7.4,3.4,11.6,20.6,77.6
9,10.0,UCAM Murcia,34,27.2,60.7,0.44799999999999995,7.9,22.7,0.34600000000000003,19.4,38.0,0.509,14.8,20.0,0.741,10.0,20.4,30.4,12.9,7.6,2.9,13.1,22.6,77.1
10,11.0,Iberostar Tenerife,34,28.2,61.1,0.461,8.1,23.0,0.353,20.1,38.1,0.526,13.5,18.8,0.7170000000000001,8.9,22.6,31.5,17.7,8.3,1.9,13.2,18.9,78.0
11,12.0,Rio Natura Monbus Obradoiro,34,25.1,58.6,0.428,8.2,23.3,0.354,16.9,35.3,0.47700000000000004,14.1,18.9,0.7490000000000001,9.0,20.4,29.4,15.3,7.0,3.1,12.2,21.0,72.6
12,13.0,Tuenti Movil Estudiantes,34,26.2,58.5,0.449,7.4,21.5,0.342,18.9,37.0,0.511,14.0,19.0,0.735,8.4,20.8,29.1,14.1,7.2,3.0,11.5,20.2,73.8
13,14.0,Baloncesto Sevilla,34,27.0,61.5,0.439,6.8,20.7,0.32799999999999996,20.2,40.8,0.495,13.9,18.0,0.7709999999999999,9.6,22.8,32.4,14.0,6.7,2.6,13.6,21.0,74.7
14,15.0,Mora Banc Andorra,34,27.8,62.6,0.44299999999999995,8.3,24.1,0.344,19.5,38.5,0.506,11.1,15.3,0.73,8.3,23.1,31.4,15.6,6.5,2.1,12.3,21.2,75.0
15,16.0,LaBruixa d'Or Manresa,34,25.2,59.9,0.42100000000000004,7.9,23.1,0.342,17.4,36.9,0.47100000000000003,13.9,18.4,0.754,8.6,19.8,28.4,12.0,6.4,2.2,12.0,22.0,72.2
16,17.0,Gipuzkoa Basket,34,26.1,60.6,0.431,8.0,23.1,0.34600000000000003,18.1,37.5,0.483,10.6,15.0,0.7090000000000001,7.4,23.0,30.4,15.4,5.5,1.5,12.6,20.0,70.9
17,18.0,Montakit Fuenlabrada,34,26.1,60.8,0.429,7.6,23.5,0.32299999999999995,18.5,37.4,0.496,14.7,18.7,0.7829999999999999,9.1,22.7,31.8,12.6,5.3,2.1,13.3,22.3,74.5
18,,League Average,34,27.7,61.3,0.452,8.2,23.1,0.354,19.5,38.1,0.512,13.7,18.1,0.759,8.9,21.9,30.8,15.1,6.9,2.5,12.4,21.0,77.4
