,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,1.0,Real Madrid *,32,41.1,87.2,0.47100000000000003,12.5,36.5,0.342,28.6,50.7,0.564,19.0,24.8,0.7659999999999999,13.2,31.5,44.7,22.5,9.2,4.5,14.0,25.7,113.6
1,2.0,Valencia Basket *,32,38.7,80.7,0.479,11.7,31.3,0.373,27.0,49.3,0.547,20.9,26.8,0.778,11.5,30.7,42.3,23.7,9.0,2.3,16.6,25.5,109.9
2,3.0,Baskonia *,32,36.8,79.8,0.461,10.3,32.1,0.319,26.5,47.6,0.556,17.4,23.1,0.755,10.8,29.4,40.3,20.6,9.0,3.7,16.5,28.0,101.2
3,4.0,Unicaja *,32,33.9,72.3,0.469,11.6,29.5,0.392,22.3,42.7,0.523,17.2,23.1,0.745,12.0,25.4,37.4,21.1,7.4,2.2,14.9,23.9,96.6
4,5.0,FC Barcelona Lassa *,32,32.1,64.8,0.496,9.8,27.0,0.365,22.3,37.8,0.589,14.9,19.9,0.748,8.4,25.9,34.4,17.7,7.0,2.5,14.5,23.8,89.0
5,6.0,Iberostar Tenerife *,32,30.1,65.3,0.461,11.2,30.1,0.37200000000000005,18.9,35.2,0.537,11.9,15.8,0.7509999999999999,9.0,24.0,33.0,19.6,6.1,2.2,13.3,22.9,83.3
6,7.0,Herbalife Gran Canaria *,32,32.8,69.1,0.475,8.8,25.5,0.345,24.0,43.6,0.552,17.2,22.3,0.77,10.9,24.5,35.4,18.1,9.0,2.7,13.9,22.4,91.7
7,8.0,MoraBanc Andorra *,32,31.6,67.8,0.467,8.0,23.5,0.33899999999999997,23.7,44.3,0.535,18.2,24.7,0.735,8.4,25.8,34.1,19.6,7.3,2.3,14.9,23.1,89.4
8,9.0,UCAM Murcia,32,27.9,62.4,0.447,9.8,27.2,0.36200000000000004,18.0,35.2,0.512,14.4,18.3,0.7879999999999999,9.3,21.9,31.1,13.8,6.3,1.6,13.1,23.4,79.9
9,10.0,RETAbet Bilbao Basket,32,27.2,61.7,0.441,9.2,26.6,0.34600000000000003,18.0,35.1,0.512,13.7,17.9,0.763,9.4,21.8,31.3,15.8,6.3,1.8,14.5,23.0,77.3
10,11.0,Movistar Estudiantes,32,29.0,63.3,0.45799999999999996,8.9,25.9,0.344,20.1,37.4,0.5379999999999999,14.7,19.3,0.762,7.5,22.2,29.7,15.8,7.7,2.8,11.8,21.2,81.6
11,12.0,Montakit Fuenlabrada,32,27.8,64.3,0.433,8.4,25.9,0.325,19.4,38.3,0.507,12.8,18.1,0.708,9.7,20.6,30.3,13.9,6.3,1.4,13.7,22.0,76.9
12,13.0,Rio Natura Monbus Obradoiro,32,27.2,60.4,0.451,7.7,23.5,0.32799999999999996,19.5,36.9,0.529,14.1,17.9,0.784,9.0,19.7,28.7,15.7,6.1,2.3,13.8,21.1,76.2
13,14.0,Divina Seguros Joventut,32,27.0,61.0,0.442,9.4,26.5,0.355,17.6,34.5,0.51,12.7,16.7,0.762,7.8,20.9,28.7,14.6,6.0,1.9,12.9,21.6,76.1
14,15.0,Real Betis Energia Plus,32,27.6,60.9,0.45299999999999996,6.8,19.6,0.344,20.8,41.3,0.504,14.0,18.7,0.7490000000000001,9.1,20.8,29.9,11.3,6.0,1.3,13.1,23.9,75.9
15,16.0,Tecnyconta Zaragoza,32,26.8,60.6,0.442,7.4,23.9,0.312,19.3,36.7,0.527,18.2,22.9,0.7929999999999999,8.7,21.2,29.8,15.1,5.1,1.7,12.7,21.0,79.2
16,17.0,ICL Manresa,32,26.2,61.6,0.425,7.4,23.0,0.322,18.8,38.6,0.48700000000000004,14.4,19.2,0.752,8.9,19.5,28.3,12.8,5.8,1.7,13.5,22.4,74.2
17,,League Average,32,30.8,67.2,0.45799999999999996,9.3,26.9,0.34700000000000003,21.5,40.3,0.532,15.6,20.6,0.76,9.6,23.9,33.5,17.1,7.0,2.3,14.0,23.2,86.6
