,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,1.0,FC Barcelona Lassa,23,30.5,62.5,0.489,8.1,23.5,0.344,22.4,39.0,0.5760000000000001,19.6,25.0,0.7859999999999999,10.1,23.3,33.4,17.3,8.5,2.7,13.2,19.7,88.7
1,2.0,Real Madrid,23,30.1,63.7,0.47200000000000003,10.9,28.0,0.389,19.2,35.8,0.537,15.4,19.7,0.7809999999999999,8.7,27.0,35.7,17.3,6.1,4.1,13.0,17.9,86.4
2,3.0,Tecnyconta Zaragoza,23,30.4,65.5,0.46399999999999997,8.5,23.1,0.36700000000000005,21.9,42.4,0.516,13.8,19.1,0.723,9.9,24.3,34.1,16.6,6.1,3.4,12.6,19.7,83.1
3,4.0,Iberostar Tenerife,22,29.5,61.6,0.48,8.8,25.1,0.35100000000000003,20.7,36.5,0.569,14.0,17.5,0.8,8.5,21.5,29.9,18.5,6.3,1.1,12.8,19.5,81.9
4,5.0,RETAbet Bilbao Basket,23,29.4,63.6,0.46299999999999997,8.7,24.5,0.353,20.8,39.0,0.532,13.6,17.9,0.76,9.1,24.5,33.6,15.3,4.9,3.5,13.6,21.3,81.1
5,6.0,MoraBanc Andorra,23,28.7,62.6,0.45799999999999996,8.2,24.0,0.342,20.4,38.5,0.53,15.6,21.3,0.731,9.2,22.9,32.1,14.5,7.0,2.0,13.4,20.0,81.1
6,7.0,Baskonia,23,30.4,63.9,0.47600000000000003,8.6,25.3,0.33799999999999997,21.8,38.6,0.565,14.4,19.3,0.7440000000000001,10.2,22.0,32.2,14.3,7.7,3.5,12.9,20.7,83.7
7,8.0,Valencia Basket,23,29.9,63.2,0.474,9.9,26.0,0.379,20.0,37.1,0.54,15.1,18.7,0.809,10.0,22.7,32.7,16.0,7.0,2.3,11.8,16.7,84.8
8,9.0,San Pablo Burgos,23,28.8,64.4,0.44799999999999995,10.8,29.0,0.37200000000000005,18.0,35.4,0.509,11.6,18.0,0.643,10.0,22.9,32.9,16.1,6.2,3.0,11.4,21.0,80.0
9,10.0,Unicaja,23,27.3,63.4,0.431,9.3,27.3,0.33899999999999997,18.1,36.1,0.501,16.0,20.3,0.7859999999999999,10.0,22.3,32.3,14.6,7.1,1.9,12.7,20.0,80.0
10,11.0,Herbalife Gran Canaria,22,29.0,63.3,0.45899999999999996,10.2,27.8,0.368,18.8,35.5,0.53,12.4,16.8,0.737,9.2,23.3,32.5,17.1,5.5,2.0,12.0,21.0,80.7
11,12.0,Rio Natura Monbus Obradoiro,23,28.3,63.9,0.444,10.5,29.1,0.361,17.8,34.8,0.513,12.4,16.2,0.769,8.9,20.3,29.1,16.2,6.2,3.3,12.4,20.6,79.7
12,13.0,Manresa,23,29.4,64.3,0.457,7.9,23.6,0.33299999999999996,21.5,40.7,0.529,13.5,18.3,0.735,9.4,22.6,32.0,18.9,5.0,2.6,12.6,20.6,80.1
13,14.0,Divina Seguros Joventut,23,28.5,63.3,0.45,8.4,25.8,0.327,20.0,37.6,0.534,16.6,20.7,0.8,9.3,23.0,32.4,17.7,5.8,1.3,12.9,21.1,84.0
14,15.0,Coosur Real Betis,23,28.3,62.6,0.452,9.7,25.2,0.38299999999999995,18.7,37.4,0.499,11.4,15.5,0.7390000000000001,8.3,22.0,30.3,14.3,6.3,2.1,13.0,20.1,77.7
15,16.0,UCAM Murcia,22,28.7,66.4,0.43200000000000005,9.9,28.0,0.354,18.8,38.4,0.489,13.1,17.4,0.757,10.8,21.7,32.5,13.0,6.6,2.5,13.3,24.0,80.4
16,17.0,Montakit Fuenlabrada,22,27.6,62.3,0.44299999999999995,8.0,24.0,0.33399999999999996,19.6,38.4,0.511,14.5,21.4,0.677,8.4,22.0,30.4,15.1,6.5,2.4,13.5,21.5,77.6
17,18.0,Movistar Estudiantes,23,26.4,64.3,0.41,8.8,26.9,0.326,17.6,37.4,0.47,10.8,14.4,0.7490000000000001,9.5,21.4,30.9,14.7,8.2,2.1,12.0,22.5,74.9
18,,League Average,23,29.0,63.6,0.455,9.2,25.9,0.354,19.8,37.7,0.525,14.1,18.7,0.752,9.4,22.8,32.2,16.0,6.5,2.6,12.7,20.4,84.3
