,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
48,49,Adam Hanga,FCB,35,22.1,3.5,7.3,0.478,1.2,3.4,0.35,1.7,2.4,0.711,1.0,2.1,0.9,3.0,3.9,1.5,1.1,0.5,9.9
49,50,Anthony Randolph,RMB,35,19.8,3.7,7.6,0.48700000000000004,1.5,3.5,0.435,0.8,1.2,0.6829999999999999,1.1,1.3,0.5,3.3,3.8,0.6,0.6,0.3,9.7
50,51,Nemanja Radovic,ZAR,39,20.8,4.2,8.1,0.521,0.2,1.3,0.14,1.0,1.4,0.696,1.3,2.9,1.7,3.2,4.9,0.6,0.9,0.5,9.6
51,52,Chris Singleton,FCB,40,24.4,3.0,6.8,0.43799999999999994,1.7,3.8,0.457,1.9,2.3,0.8390000000000001,0.8,2.0,1.0,3.4,4.4,0.8,0.8,0.6,9.6
52,53,Giorgi Shermadini,UNI,37,19.0,3.5,5.5,0.629,0.0,0.1,0.0,2.5,3.0,0.83,1.7,2.1,1.5,3.2,4.7,0.6,0.5,0.4,9.5
53,54,Kyle Kuric,FCB,39,19.9,3.3,6.9,0.474,1.9,4.2,0.442,1.1,1.2,0.872,0.6,1.6,0.5,1.5,2.0,0.8,0.5,0.1,9.4
54,55,Vincent Poirier,CAJ,36,21.4,3.9,6.3,0.621,0.0,0.1,0.33299999999999996,1.4,2.3,0.627,1.1,3.1,2.0,4.1,6.1,1.2,0.8,1.2,9.3
55,56,Aleksandar Cvetkovic,BRE,32,22.5,2.9,6.8,0.42200000000000004,1.8,4.6,0.397,1.7,2.0,0.873,1.7,2.0,0.2,1.8,2.0,2.7,0.7,0.0,9.3
56,57,Johannes Voigtmann,CAJ,35,23.0,3.3,6.3,0.529,1.1,2.7,0.389,1.5,1.9,0.8029999999999999,1.5,1.9,1.2,4.4,5.6,2.4,0.8,0.3,9.3
57,58,John Shurna,AND,34,23.2,3.3,6.8,0.478,1.6,3.9,0.396,1.1,1.6,0.685,0.6,1.9,1.3,2.2,3.5,0.6,0.7,0.1,9.2
58,59,David Jelinek,AND,30,19.6,3.0,7.8,0.38,1.6,4.2,0.37,1.6,1.9,0.825,1.0,2.3,0.6,1.9,2.5,1.3,0.6,0.2,9.1
59,60,Nacho Llovet,OBR,34,25.7,3.4,5.9,0.5770000000000001,0.1,0.6,0.22699999999999998,2.1,2.7,0.7609999999999999,1.3,2.2,1.8,3.3,5.1,1.7,0.6,0.1,9.0
60,61,Luca Vildoza,CAJ,34,24.2,3.1,7.1,0.43200000000000005,1.4,4.1,0.34,1.4,1.6,0.857,1.8,2.1,0.3,1.7,2.0,3.4,1.6,0.2,9.0
61,62,Chris Evans,GCN,11,18.5,3.7,7.6,0.488,0.5,2.2,0.25,1.0,1.5,0.688,0.8,2.4,1.5,1.7,3.3,0.4,0.9,0.4,9.0
62,63,Luke Harangody,JOV,33,24.2,3.6,7.3,0.496,1.0,2.7,0.375,0.8,0.8,0.9259999999999999,0.8,1.5,1.1,4.0,5.1,1.1,0.5,0.4,9.0
63,64,Mike Tobey,VAL,36,15.6,3.8,6.9,0.547,0.4,1.4,0.308,1.0,1.3,0.7609999999999999,0.9,1.9,1.9,3.0,4.9,0.5,0.3,0.5,8.9
64,65,Ante Tomic,FCB,36,20.2,3.7,6.2,0.596,0.0,0.0,0.0,1.4,2.6,0.5479999999999999,1.8,1.9,1.8,3.9,5.7,1.7,0.5,0.2,8.9
65,66,Bruno Fitipaldo,SPB,34,23.6,2.8,6.4,0.442,1.4,3.5,0.387,1.7,2.2,0.797,1.9,2.1,0.3,1.4,1.7,4.3,1.0,0.0,8.7
66,67,Rudy Fernandez,RMB,35,19.4,2.7,6.4,0.42200000000000004,1.9,4.8,0.387,1.4,1.6,0.877,1.0,1.3,0.6,1.6,2.2,2.1,1.1,0.0,8.7
