,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Andy Panko,MON,34,33.6,6.4,13.6,0.47100000000000003,0.9,2.7,0.319,4.9,6.1,0.802,2.4,2.4,1.7,3.8,5.5,2.1,0.4,0.1,18.6
1,2,Stevan Jelovac,ZAR,34,21.7,4.4,9.5,0.46299999999999997,1.3,3.5,0.364,4.0,4.6,0.873,1.3,2.1,1.3,4.4,5.7,0.7,0.4,0.1,14.1
2,3,Alex Mumbru,BBB,34,30.1,4.8,11.3,0.423,2.3,6.1,0.375,2.3,2.8,0.802,2.3,3.3,0.7,3.1,3.8,1.8,1.2,0.2,14.1
3,4,Nacho Martin,EST,34,29.4,4.7,10.4,0.455,1.4,3.7,0.386,2.1,2.6,0.8,1.3,2.0,1.4,4.9,6.2,1.8,0.8,0.3,13.0
4,5,Taqwa Pinero,GBC,26,27.6,4.3,11.6,0.37200000000000005,2.3,6.7,0.345,1.7,2.1,0.818,1.8,3.0,0.3,2.4,2.7,1.6,0.5,0.0,12.7
5,6,Nicolas Richotti,CAN,33,25.2,4.3,9.4,0.457,1.4,4.0,0.353,2.5,3.2,0.779,1.9,2.6,0.3,1.8,2.1,2.2,1.2,0.1,12.5
6,7,Adam Waczynski,OBR,34,21.3,4.1,9.2,0.441,1.9,4.5,0.41600000000000004,2.5,2.9,0.84,1.8,1.9,0.6,1.3,1.9,1.7,0.5,0.0,12.5
7,8,Alberto Corbacho,OBR,34,24.4,3.9,10.3,0.375,2.9,8.1,0.35600000000000004,1.7,1.8,0.935,1.0,1.6,0.4,1.2,1.6,1.6,1.0,0.1,12.3
8,9,Dairis Bertans,BBB,28,26.5,4.1,9.2,0.444,2.3,6.1,0.382,1.8,2.2,0.82,0.8,2.8,0.4,0.9,1.2,1.3,0.6,0.0,12.2
9,10,Fernando San Emeterio,CAJ,34,24.4,4.1,8.4,0.486,2.0,4.4,0.447,2.1,2.6,0.82,1.5,0.9,0.7,2.6,3.4,1.9,0.6,0.1,12.2
10,11,Blagota Sekulic,CAN,30,25.4,4.7,9.5,0.495,0.7,2.0,0.33899999999999997,2.1,2.8,0.753,1.6,2.4,1.8,3.6,5.4,1.4,0.6,0.1,12.2
11,12,Daniel Diez,GBC,30,29.6,4.4,9.1,0.48,1.9,4.7,0.414,1.5,2.0,0.721,1.2,1.1,1.1,5.7,6.8,0.5,1.0,0.0,12.1
12,13,Felipe Reyes,RMB,41,20.1,4.0,7.4,0.536,0.1,0.5,0.273,4.0,5.0,0.792,1.3,2.5,2.1,2.9,5.0,1.0,0.7,0.4,12.1
13,14,Sergio Llull,RMB,42,25.1,3.9,8.6,0.457,1.8,4.9,0.363,2.4,2.8,0.8640000000000001,1.0,1.1,0.2,1.6,1.8,3.4,0.8,0.1,12.0
14,15,Kyle Kuric,GCN,36,27.4,4.5,9.9,0.45399999999999996,2.1,5.5,0.391,0.8,0.9,0.9059999999999999,1.5,1.5,0.6,1.5,2.1,1.1,0.9,0.2,11.9
15,16,Ryan Toolson,UNI,42,23.1,4.0,8.2,0.49,2.0,4.0,0.5,1.9,2.1,0.8759999999999999,2.0,1.7,0.3,0.9,1.2,2.1,0.4,0.1,11.9
16,17,Marko Todorovic,BBB,37,27.3,4.5,7.1,0.637,0.1,0.3,0.33299999999999996,2.4,3.3,0.736,1.4,2.3,2.8,4.5,7.2,1.2,1.2,1.0,11.5
17,18,Maxi Kleber,OBR,33,25.5,3.8,8.4,0.457,0.9,2.6,0.33299999999999996,2.9,3.5,0.812,1.5,3.0,1.9,4.5,6.5,0.8,0.9,0.9,11.5
18,19,Justin Doellman,FCB,42,23.0,4.4,8.5,0.515,1.1,2.7,0.425,1.5,1.7,0.863,1.3,2.3,1.2,3.4,4.6,1.4,1.1,0.3,11.5
19,20,Davis Bertans,CAJ,25,22.1,3.9,8.5,0.46,2.5,6.1,0.414,1.0,1.2,0.897,0.8,2.7,0.3,2.4,2.8,0.8,0.8,0.5,11.4
20,21,Luke Sikma,CAN,34,27.7,4.4,8.4,0.526,0.6,1.6,0.39299999999999996,1.8,3.1,0.579,1.9,3.1,2.1,4.5,6.6,2.4,1.9,0.9,11.4
21,22,David Doblas,GBC,34,29.3,4.4,8.8,0.493,0.1,0.7,0.217,2.5,3.4,0.7240000000000001,2.7,3.4,1.4,2.7,4.1,1.7,0.7,0.5,11.3
22,23,Davin White,MAN,31,24.6,3.9,9.9,0.395,1.6,4.9,0.331,1.8,2.3,0.764,2.3,2.9,0.3,1.4,1.7,4.0,0.9,0.1,11.2
23,24,Rudy Fernandez,RMB,36,23.4,3.1,7.6,0.4,1.8,4.9,0.366,3.0,3.8,0.8,1.0,1.9,0.8,2.3,3.1,2.1,1.3,0.3,10.9
24,25,Kristaps Porzingis,ENER,34,21.7,4.0,8.6,0.47100000000000003,0.7,2.4,0.312,1.9,2.5,0.774,1.3,2.9,1.6,3.2,4.8,0.4,0.9,1.0,10.7
25,26,Demond Mallet,JOV,36,22.4,3.6,8.5,0.42700000000000005,2.1,5.4,0.392,1.3,1.5,0.852,1.4,2.0,0.3,1.0,1.2,2.4,0.4,0.0,10.7
26,27,Isaac Fotu,MAN,26,23.8,4.3,8.9,0.485,1.4,3.7,0.379,0.7,1.1,0.607,0.6,2.0,1.2,2.8,4.0,0.8,0.3,0.1,10.7
27,28,Willy Hernangomez,ENER,34,21.1,4.2,7.9,0.537,0.0,0.2,0.16699999999999998,2.1,3.1,0.6920000000000001,2.1,2.1,2.4,3.8,6.2,0.5,0.9,0.4,10.6
28,29,Bojan Dubljevic,VAL,38,20.5,3.9,8.5,0.457,0.6,2.2,0.27399999999999997,2.2,2.8,0.778,1.6,2.4,1.7,3.0,4.7,1.1,0.6,0.3,10.6
29,30,Goran Suton,JOV,35,23.4,4.0,9.8,0.406,1.0,3.6,0.27,1.6,2.2,0.7140000000000001,1.2,3.1,2.0,4.3,6.3,0.9,0.9,0.6,10.5
30,31,Ante Tomic,FCB,44,22.1,4.1,7.2,0.569,0.0,0.0,0.0,2.2,3.2,0.6809999999999999,1.4,2.0,1.9,4.2,6.1,1.9,0.8,0.4,10.4
31,32,Pau Ribas,VAL,35,23.1,3.3,6.8,0.49200000000000005,1.5,3.4,0.45799999999999996,2.2,2.5,0.8740000000000001,1.5,1.7,0.4,1.6,2.0,4.0,1.0,0.1,10.4
32,33,Augusto Cesar Lima,MUR,34,24.5,3.9,6.9,0.5589999999999999,0.0,0.1,0.5,2.6,3.8,0.669,1.1,2.4,2.8,4.4,7.2,0.6,1.6,1.1,10.4
33,34,Marcus Landry,ZAR,34,24.3,4.1,8.9,0.462,0.9,2.8,0.33299999999999996,1.2,1.5,0.769,1.0,2.3,1.0,2.8,3.8,1.3,0.9,0.9,10.4
34,35,Brad Newley,GCN,32,25.4,3.9,8.2,0.473,0.8,3.0,0.268,1.7,2.3,0.753,1.2,1.7,1.4,2.1,3.5,0.8,1.1,0.1,10.3
35,36,Jayson Granger,UNI,40,26.2,3.6,8.9,0.40299999999999997,0.9,3.0,0.295,2.1,2.7,0.804,2.2,2.0,0.2,2.8,3.0,5.2,1.1,0.1,10.2
36,37,Zeljko Sakic,MAN,32,26.1,3.2,7.5,0.419,0.8,2.9,0.293,3.1,3.9,0.792,1.6,2.3,1.2,3.7,4.9,1.3,1.0,0.1,10.2
37,38,Nemanja Radovic,MUR,34,21.3,4.1,8.6,0.483,0.5,1.7,0.276,1.5,2.2,0.667,1.4,2.4,1.8,3.0,4.8,0.6,0.6,0.8,10.2
38,39,Clevin Hannah,JOV,35,19.1,3.4,7.9,0.433,1.5,3.9,0.385,1.9,2.2,0.857,1.8,2.4,0.3,1.1,1.3,2.4,0.8,0.0,10.2
39,40,Sergio Rodriguez,RMB,40,22.2,3.4,8.0,0.426,1.3,3.2,0.395,2.1,2.5,0.85,2.1,1.9,0.2,1.8,2.0,5.2,0.8,0.0,10.2
40,41,Deji Akindele,MON,34,23.4,3.8,6.6,0.58,0.0,0.0,0.0,2.5,3.7,0.672,2.2,3.2,2.0,4.8,6.8,0.5,0.9,0.6,10.1
41,42,Quim Colom,BBB,37,28.3,3.3,8.8,0.374,0.8,3.0,0.259,2.7,3.5,0.769,2.8,1.9,0.6,3.2,3.8,5.7,1.3,0.1,10.1
42,43,Tornike Shengelia,CAJ,31,20.7,3.5,7.1,0.495,0.5,1.5,0.36200000000000004,2.4,3.0,0.804,1.5,2.4,1.2,2.8,4.0,1.0,0.5,0.4,10.0
43,44,Jason Robinson,ZAR,33,26.2,3.3,8.0,0.415,1.2,3.2,0.385,2.0,2.1,0.929,1.2,2.1,0.5,2.8,3.3,1.2,0.7,0.2,9.8
44,45,Jose Angel Antelo,MUR,32,22.4,3.1,8.2,0.374,0.8,2.8,0.303,2.7,3.3,0.813,1.6,2.5,1.7,3.0,4.6,0.7,0.2,0.6,9.7
