,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
45,46,Fabien Causeur,CAJ,37,26.0,3.4,6.5,0.519,1.0,2.5,0.402,1.8,2.5,0.7390000000000001,1.4,2.0,0.4,2.6,2.9,2.4,1.4,0.1,9.6
46,47,Tomas Bellas,GCN,36,23.5,3.4,8.4,0.39899999999999997,1.0,2.6,0.37200000000000005,1.5,2.1,0.743,1.6,1.8,0.4,1.6,1.9,4.1,0.9,0.0,9.2
47,48,Mindaugas Kuzminskas,UNI,41,18.1,3.4,7.0,0.484,0.8,2.5,0.33,1.4,1.9,0.747,0.9,1.7,1.4,1.7,3.1,0.8,0.5,0.2,9.1
48,49,Jaycee Carroll,RMB,40,17.2,3.4,6.8,0.491,1.5,3.4,0.445,0.8,1.1,0.7909999999999999,0.7,2.0,0.6,1.3,1.9,0.6,0.6,0.1,9.1
49,50,Albert Oliver,GCN,36,18.6,2.9,6.9,0.41600000000000004,1.5,4.3,0.35700000000000004,1.6,1.8,0.922,1.6,1.8,0.5,1.3,1.8,3.1,0.6,0.0,8.9
50,51,Will Hanley,GBC,34,24.0,3.6,7.1,0.502,0.3,1.3,0.222,1.5,2.3,0.675,0.8,1.8,1.8,4.0,5.7,0.8,0.6,0.1,8.9
51,52,David Navarro,AND,34,25.6,3.5,7.0,0.498,0.6,1.6,0.37,1.3,1.6,0.818,1.7,1.9,0.4,2.4,2.8,2.6,0.8,0.1,8.9
52,53,Diamon Simpson,EST,34,19.8,3.5,6.1,0.574,0.0,0.0,0.0,1.9,3.5,0.529,1.1,2.2,1.8,2.8,4.6,0.6,1.0,0.9,8.9
53,54,Sitapha Savane,JOV,33,18.9,3.4,5.7,0.601,0.0,0.0,1.0,2.0,2.7,0.7609999999999999,1.2,2.1,1.3,1.8,3.1,0.9,0.7,1.6,8.9
54,55,Scott Bamforth,MUR,29,22.1,2.6,6.2,0.42,1.3,3.6,0.359,2.3,2.8,0.85,1.5,2.0,0.3,1.9,2.2,1.6,0.7,0.0,8.9
55,56,Eulis Baez,GCN,36,25.1,3.1,7.3,0.43,0.9,2.6,0.34,1.7,2.3,0.726,1.2,2.2,1.5,3.5,5.1,1.4,0.9,0.2,8.9
56,57,Raulzinho Neto,MUR,34,22.4,3.3,7.7,0.426,0.4,2.1,0.205,1.8,2.7,0.667,2.7,2.8,0.5,1.6,2.1,3.9,1.2,0.1,8.9
57,58,Xavi Rabaseda,EST,30,28.0,2.9,5.4,0.528,1.4,3.3,0.414,1.7,2.1,0.812,1.1,3.0,0.8,2.7,3.5,1.1,1.6,0.3,8.8
58,59,Jordi Grimau,GBC,27,22.6,3.3,7.9,0.418,1.0,3.3,0.303,1.1,1.4,0.795,1.3,1.8,0.3,2.1,2.4,0.9,0.6,0.0,8.7
59,60,Tomas Satoransky,FCB,41,20.8,3.1,5.3,0.583,0.9,1.9,0.456,1.6,2.0,0.838,1.3,2.0,0.5,2.5,3.0,3.4,0.8,0.1,8.7
60,61,Jaime Fernandez,EST,33,21.1,2.9,7.1,0.415,0.8,2.4,0.321,2.1,3.0,0.6940000000000001,1.5,2.4,0.4,1.5,1.9,2.0,0.9,0.1,8.7
61,62,Scott Wood,MUR,34,20.7,2.8,6.9,0.41,2.3,5.7,0.39899999999999997,0.8,0.9,0.867,0.9,2.5,0.1,1.1,1.3,0.7,0.5,0.1,8.7
62,63,Chris Goulding,ZAR,33,21.8,2.5,7.3,0.349,1.4,4.2,0.34299999999999997,2.1,2.4,0.897,1.2,2.5,0.2,1.7,1.9,1.0,0.5,0.0,8.6
63,64,Betinho Gomes,AND,34,24.8,3.1,7.6,0.40299999999999997,1.5,4.4,0.34700000000000003,1.0,1.3,0.733,1.2,2.4,0.9,3.8,4.6,0.4,0.6,0.2,8.6
64,65,Luke Harangody,VAL,40,19.7,3.4,6.8,0.498,1.3,3.0,0.43,0.4,0.6,0.727,0.7,1.9,1.6,3.2,4.8,0.7,1.0,0.3,8.5
65,66,Dan Clark,MON,34,21.9,3.3,7.6,0.434,1.4,3.9,0.353,0.4,0.6,0.789,1.1,1.8,1.2,3.4,4.6,1.2,0.5,0.4,8.4
66,67,Deshaun Thomas,FCB,43,20.9,3.3,6.5,0.513,0.9,2.4,0.35200000000000004,0.9,1.2,0.7170000000000001,1.0,2.0,1.2,1.6,2.8,0.7,0.7,0.1,8.4
67,68,Andres Nocioni,RMB,40,18.1,2.9,5.8,0.506,1.4,2.9,0.491,1.1,1.3,0.843,1.0,2.3,0.6,3.1,3.8,0.7,0.4,0.3,8.3
68,69,Vladimir Lucic,VAL,38,22.7,2.7,5.2,0.523,0.5,1.7,0.317,2.3,2.9,0.795,1.1,2.8,0.9,2.4,3.3,1.1,0.8,0.3,8.3
69,70,Alex Abrines,FCB,37,17.7,2.8,6.0,0.457,1.8,4.1,0.447,0.9,1.1,0.897,0.5,1.8,0.5,1.2,1.7,1.1,0.7,0.3,8.3
70,71,Albert Miralles,JOV,36,19.1,3.4,6.9,0.502,0.0,0.1,0.25,1.2,2.2,0.537,1.4,2.8,2.0,2.1,4.2,0.6,0.6,0.4,8.2
71,72,Kresimir Loncar,VAL,36,15.1,3.3,6.0,0.5489999999999999,0.1,0.6,0.23800000000000002,1.4,1.9,0.754,1.4,2.5,0.9,1.8,2.7,1.1,0.6,0.1,8.1
72,73,Javier Beiran,CAN,34,25.3,3.1,6.5,0.473,0.8,2.5,0.318,1.2,1.7,0.6779999999999999,1.0,1.0,1.5,3.9,5.3,1.7,0.6,0.0,8.1
73,74,Georgios Bogris,AND,34,18.5,3.6,6.7,0.544,0.0,0.1,0.0,0.8,1.0,0.743,0.9,2.8,0.9,2.0,2.9,0.8,0.5,0.3,8.1
74,75,Marcelinho Huertas,FCB,44,20.9,3.1,6.6,0.467,1.0,2.7,0.35600000000000004,1.0,1.1,0.84,1.8,1.5,0.5,1.5,2.0,4.3,0.6,0.0,8.0
75,76,Carlos Cabezas,MUR,34,22.7,2.5,5.5,0.462,1.1,2.7,0.387,1.9,2.4,0.7709999999999999,1.7,1.1,0.3,1.1,1.4,3.2,0.6,0.0,8.0
76,77,Edy Tavares,GCN,36,22.4,3.3,5.7,0.583,0.0,0.0,0.0,1.4,2.2,0.628,1.3,3.1,2.9,5.0,7.9,0.3,0.8,1.8,8.0
77,78,Raul Lopez,BBB,36,18.9,2.7,6.5,0.419,1.0,3.1,0.31,1.6,1.8,0.889,1.4,2.5,0.2,1.0,1.3,2.7,0.7,0.0,8.0
78,79,Fran Vazquez,UNI,42,20.1,3.5,5.7,0.614,0.0,0.0,0.0,0.9,1.5,0.585,0.7,2.1,2.3,2.8,5.1,0.6,0.6,0.9,8.0
79,80,Derrick Byars,ENER,34,20.8,2.8,6.3,0.442,1.2,3.1,0.38299999999999995,1.1,1.2,0.902,0.9,2.2,0.8,2.2,3.0,0.9,0.6,0.0,7.9
80,81,Sergi Vidal,JOV,36,28.5,2.5,6.5,0.386,1.0,3.4,0.289,1.9,2.4,0.779,1.8,1.6,0.7,2.9,3.6,3.9,1.2,0.0,7.8
81,82,Javi Salgado,EST,31,25.6,2.4,7.6,0.309,1.7,5.4,0.313,1.4,1.4,0.977,2.0,2.2,0.5,1.3,1.8,4.4,0.8,0.0,7.8
82,83,Axel Hervelle,BBB,30,25.3,2.8,6.0,0.47,1.0,2.3,0.414,1.1,1.4,0.762,0.9,2.8,1.7,3.5,5.2,1.3,1.0,0.1,7.7
83,84,Marius Grigonis,MAN,26,21.2,2.5,5.9,0.41600000000000004,1.4,3.3,0.43,1.3,1.9,0.7140000000000001,1.2,1.9,0.7,2.5,3.2,0.6,0.4,0.1,7.7
84,85,Rasko Katic,ZAR,33,16.2,3.1,5.8,0.526,0.0,0.0,0.0,1.5,2.5,0.605,1.3,2.4,1.1,1.7,2.7,0.7,0.2,0.1,7.6
85,86,Roger Grimau,MAN,34,22.4,2.9,7.1,0.41200000000000003,0.1,0.9,0.10300000000000001,1.6,1.9,0.833,1.9,3.5,1.0,2.2,3.3,1.9,0.9,0.2,7.5
86,87,Caleb Green,UNI,42,16.2,2.4,5.4,0.447,1.1,2.8,0.37799999999999995,1.6,2.1,0.77,1.1,2.1,1.0,2.1,3.1,0.6,0.5,0.1,7.5
87,88,Ioannis Iarochevitch,GBC,30,17.4,2.5,6.2,0.409,1.3,3.2,0.42100000000000004,1.1,1.4,0.767,1.2,2.6,0.9,2.1,3.1,0.7,0.2,0.3,7.5
88,89,Pavel Pumprla,OBR,33,24.7,2.8,6.2,0.451,0.2,1.3,0.18600000000000003,1.6,2.2,0.726,1.2,1.9,0.9,2.0,3.0,2.1,1.5,0.3,7.5
89,90,Henk Norel,ZAR,34,17.7,3.2,5.4,0.601,0.0,0.0,0.0,1.0,1.5,0.647,0.9,1.7,1.9,2.8,4.6,0.6,0.6,0.3,7.4
90,91,Gustavo Ayon,RMB,39,18.7,3.2,5.5,0.575,0.0,0.0,0.0,1.1,1.7,0.631,1.3,2.4,1.4,3.6,5.0,1.3,0.8,0.7,7.4
91,92,Tariq Kirksay,JOV,28,24.5,2.7,7.5,0.35700000000000004,1.4,4.7,0.29,0.6,1.1,0.562,1.5,2.0,0.6,3.9,4.5,1.7,1.0,0.6,7.4
92,93,Latavious Williams,BBB,36,18.4,3.0,4.6,0.645,0.0,0.0,0.0,1.3,2.1,0.623,0.7,2.1,2.7,2.9,5.7,0.4,0.6,0.4,7.3
93,94,Fotios Lampropoulos,CAN,33,17.8,3.0,5.4,0.562,0.3,0.8,0.321,0.9,1.3,0.7140000000000001,1.3,2.0,1.1,2.3,3.3,0.9,0.5,0.3,7.2
94,95,Pierre Oriola,ENER,33,19.1,2.6,5.1,0.518,0.2,0.8,0.32,1.7,2.2,0.77,1.7,2.9,1.6,1.9,3.5,0.8,0.2,0.4,7.2
95,96,Will Thomas,UNI,42,21.7,2.9,6.0,0.48,0.5,1.4,0.33899999999999997,1.0,1.4,0.741,0.7,1.8,1.6,2.4,4.1,0.6,0.4,0.2,7.2
96,97,Kim Tillie,CAJ,37,19.6,2.8,5.4,0.507,0.5,1.4,0.392,1.1,1.3,0.857,1.2,2.6,1.4,2.9,4.3,0.6,0.9,0.2,7.2
97,98,Shaun Green,AND,34,17.9,2.4,6.0,0.39899999999999997,1.7,4.6,0.374,0.6,0.9,0.7240000000000001,0.9,2.7,0.8,1.9,2.6,0.7,0.8,0.4,7.1
98,99,Rodrigo San Miguel,CAN,33,20.2,2.1,5.2,0.39799999999999996,1.1,3.1,0.366,1.8,2.6,0.706,1.4,1.9,0.2,1.9,2.1,2.9,0.8,0.1,7.1
99,100,Colton Iverson,CAJ,37,20.2,2.7,4.5,0.599,0.0,0.0,1.0,1.6,2.5,0.6409999999999999,1.1,2.5,2.0,3.7,5.7,0.4,0.7,0.5,7.0
