,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
13,14,Josh Adams,UNI,22,23.7,4.0,10.4,0.389,2.2,6.0,0.361,2.6,3.2,0.8029999999999999,2.1,2.8,0.4,1.9,2.2,2.2,0.5,0.3,12.9
14,15,Vladimir Brodziansky,OBR,23,23.2,4.4,8.1,0.54,1.4,3.1,0.465,2.5,3.1,0.8170000000000001,1.0,2.4,1.2,2.8,4.0,0.7,0.4,1.0,12.7
15,16,Jordan Loyd,VAL,17,22.6,4.4,9.5,0.46,1.9,4.5,0.41600000000000004,2.1,2.5,0.833,1.5,2.5,0.3,1.3,1.6,2.0,1.3,0.0,12.6
16,17,Thaddeus McFadden,SPB,23,23.4,4.0,9.3,0.42700000000000005,2.8,6.7,0.413,1.5,2.0,0.745,1.3,1.7,0.5,1.4,1.9,2.2,0.8,0.1,12.2
17,18,Earl Clark,SPB,23,27.5,4.7,11.4,0.41100000000000003,1.2,4.0,0.308,1.6,2.5,0.621,1.4,1.8,1.5,5.0,6.4,1.3,0.6,1.0,12.2
18,19,David Kravish,MAN,21,21.7,5.2,9.5,0.55,0.0,0.1,0.0,1.7,2.0,0.833,1.6,2.4,2.4,3.9,6.2,1.6,0.7,1.0,12.1
19,20,Clevin Hannah,AND,23,22.5,3.7,8.1,0.462,1.4,3.8,0.364,3.2,3.5,0.914,2.1,2.5,0.3,1.7,1.9,3.7,1.3,0.0,12.1
20,21,Jaylon Brown,BBB,19,21.1,4.4,10.6,0.413,0.9,3.6,0.261,2.4,2.9,0.818,2.5,2.8,0.3,0.9,1.2,2.3,0.7,0.0,12.1
21,22,Jordan Davis,MAN,5,20.6,5.0,11.8,0.424,0.8,3.6,0.222,1.2,1.8,0.667,1.4,2.6,0.4,1.8,2.2,0.4,1.0,0.0,12.0
22,23,Shavon Shields,CAJ,21,27.8,4.1,8.9,0.465,1.3,3.9,0.341,2.1,2.6,0.8,0.8,1.7,1.5,2.7,4.2,1.3,1.2,0.2,11.7
23,24,Pierria Henry,CAJ,19,26.2,4.5,8.7,0.515,1.1,2.5,0.426,1.7,2.3,0.7440000000000001,1.7,2.7,1.2,2.5,3.6,4.0,1.5,0.1,11.7
24,25,Brandon Davies,FCB,21,18.2,4.1,7.6,0.547,0.4,0.8,0.5,3.0,3.9,0.765,1.6,2.7,1.8,2.6,4.4,1.1,1.1,0.5,11.6
25,26,Marc Garcia,MON,22,21.1,3.6,8.5,0.428,1.5,4.1,0.37799999999999995,2.5,3.0,0.836,1.0,1.0,0.5,1.6,2.1,0.6,0.7,0.0,11.4
26,27,Fletcher Magee,OBR,23,22.7,3.7,9.6,0.385,2.5,7.1,0.35,1.5,1.7,0.872,1.8,1.8,0.2,1.5,1.7,1.1,0.7,0.0,11.3
27,28,Bojan Dubljevic,VAL,23,22.3,3.9,7.7,0.506,1.1,2.6,0.424,2.3,2.7,0.8390000000000001,1.7,1.5,1.9,4.3,6.3,1.8,0.5,0.2,11.2
28,29,Cory Higgins,FCB,16,25.4,3.8,8.6,0.442,0.9,2.8,0.341,2.6,3.4,0.759,1.6,2.4,0.4,1.5,1.9,2.2,1.2,0.0,11.1
29,30,D.J. Seeley,ZAR,23,24.3,3.6,8.2,0.439,1.0,3.1,0.33299999999999996,2.7,3.3,0.816,1.8,1.9,0.8,2.2,3.0,2.6,1.0,0.0,11.0
30,31,Alen Omic,JOV,23,24.2,4.8,8.5,0.561,0.0,0.3,0.16699999999999998,1.2,2.3,0.528,1.5,2.0,3.1,4.7,7.7,1.3,0.2,0.3,10.8
31,32,Matt Costello,GCN,22,22.1,4.2,8.1,0.522,0.9,2.6,0.33299999999999996,1.5,2.0,0.75,1.2,3.2,2.5,5.1,7.6,1.2,0.5,1.0,10.8
32,33,Nemanja Radovic,ZAR,22,19.4,4.5,8.5,0.532,0.5,0.9,0.5,1.2,2.4,0.519,1.2,2.3,2.0,2.9,5.0,1.0,0.5,0.5,10.8
33,34,Jaycee Carroll,RMB,20,17.4,3.9,8.6,0.44799999999999995,1.8,4.4,0.39799999999999996,1.2,1.4,0.828,0.5,1.4,0.6,1.4,1.9,0.5,0.3,0.1,10.7
34,35,Kenny Kadji,EST,21,25.1,4.0,9.5,0.42700000000000005,1.2,3.6,0.33299999999999996,1.1,1.7,0.667,1.9,3.0,1.3,3.0,4.3,1.0,0.9,0.8,10.4
35,36,Robin Benzing,ZAR,23,21.1,3.3,8.8,0.369,1.7,4.8,0.364,2.1,2.5,0.845,1.0,1.9,0.4,1.7,2.0,0.6,0.9,0.4,10.4
36,37,Malcolm Delaney,FCB,19,22.4,3.1,7.2,0.431,1.5,3.8,0.397,2.5,3.3,0.762,2.3,2.9,0.4,1.4,1.8,3.7,0.6,0.1,10.3
37,38,Patricio Garino,CAJ,8,25.9,3.8,7.5,0.5,1.4,3.5,0.39299999999999996,1.4,1.6,0.846,0.8,2.6,0.8,1.9,2.6,1.5,0.8,0.9,10.2
38,39,K.C. Rivers,ENER,9,22.6,3.9,10.3,0.376,2.0,5.0,0.4,0.3,0.6,0.6,1.2,1.7,0.3,2.1,2.4,2.2,0.6,0.0,10.1
39,40,Gabriel Deck,RMB,18,19.8,3.6,5.6,0.644,0.7,1.3,0.5,2.2,2.6,0.83,1.1,1.1,0.7,2.9,3.6,1.4,0.6,0.1,10.1
40,41,Facundo Campazzo,RMB,21,21.8,2.8,7.3,0.386,1.5,3.9,0.395,2.9,3.2,0.882,2.0,2.0,0.4,2.4,2.8,5.0,1.0,0.0,10.0
41,42,Nicolas Brussino,ZAR,23,22.1,3.6,6.9,0.522,1.5,3.7,0.405,1.1,1.3,0.867,1.2,1.8,0.8,3.2,4.0,1.7,1.0,0.1,9.8
42,43,Jaime Fernandez,UNI,21,22.1,3.1,7.5,0.418,1.1,3.3,0.32899999999999996,2.4,2.9,0.833,1.6,2.3,0.5,1.7,2.2,3.8,1.5,0.1,9.8
43,44,Tomas Bellas,MON,19,25.9,3.3,8.9,0.373,0.7,3.1,0.22399999999999998,2.4,3.6,0.6759999999999999,1.8,2.6,0.8,2.5,3.3,4.9,0.9,0.0,9.7
44,45,Ante Tomic,FCB,22,19.5,4.1,6.5,0.632,0.0,0.0,0.0,1.5,2.0,0.711,1.2,2.0,1.8,3.2,5.0,1.5,1.0,0.2,9.7
45,46,Dejan Musli,AND,17,18.0,3.9,7.4,0.528,0.0,0.1,0.0,1.8,3.6,0.484,1.4,1.9,2.1,3.6,5.7,0.9,0.6,0.4,9.5
46,47,Christian Eyenga,MON,20,24.2,3.4,8.1,0.42,0.7,2.2,0.318,2.0,3.8,0.5329999999999999,2.4,2.4,1.1,2.9,4.0,1.4,0.7,1.0,9.5
47,48,Conor Morgan,JOV,19,20.1,2.9,6.1,0.478,1.4,3.9,0.35100000000000003,2.3,2.7,0.863,1.1,2.2,0.9,2.6,3.6,0.7,0.5,0.3,9.5
48,49,Philip Scrubb,EST,23,25.4,2.8,6.6,0.42100000000000004,1.4,3.6,0.386,2.4,2.9,0.836,1.8,2.0,0.6,1.5,2.1,2.9,1.0,0.1,9.4
49,50,Sasu Salin,CAN,21,23.7,2.9,8.2,0.353,2.2,6.6,0.33299999999999996,1.4,1.5,0.935,1.0,1.6,0.4,1.3,1.8,1.6,1.0,0.0,9.4
50,51,John Shurna,GCN,22,22.5,3.4,6.2,0.547,1.3,2.7,0.467,1.2,1.5,0.818,0.3,1.5,1.1,2.3,3.4,1.4,0.5,0.4,9.3
51,52,Santiago Yusta,CAN,19,17.1,3.1,6.5,0.47600000000000003,1.2,3.0,0.40399999999999997,1.9,2.4,0.7829999999999999,0.9,1.8,0.6,1.6,2.2,0.8,0.7,0.1,9.3
52,53,Victor Arteaga,EST,23,18.3,4.2,6.9,0.604,0.0,0.0,0.0,0.8,1.1,0.72,0.9,2.8,2.7,2.9,5.7,0.2,0.4,0.7,9.1
53,54,Mike Daum,OBR,23,19.8,3.3,6.8,0.494,1.0,2.1,0.449,1.4,1.9,0.7440000000000001,1.2,2.3,1.2,2.4,3.7,0.4,0.7,0.3,9.0
54,55,Matt Janning,CAJ,23,24.3,3.1,7.4,0.42100000000000004,2.3,5.7,0.397,0.4,0.5,0.75,1.0,1.8,0.2,1.2,1.4,1.7,0.7,0.1,8.9
55,56,Christopher Czerapowicz,OBR,22,24.5,3.2,7.5,0.424,1.4,4.0,0.35200000000000004,1.0,1.5,0.688,1.2,2.2,0.9,2.9,3.8,1.3,0.7,0.2,8.8
56,57,Javier Beiran,GCN,21,22.3,3.3,6.0,0.551,1.5,3.5,0.425,0.6,1.0,0.619,1.2,1.3,1.3,3.5,4.8,1.4,0.6,0.1,8.8
57,58,Giannoulis Larentzakis,MUR,19,18.4,2.8,7.6,0.37200000000000005,1.2,4.3,0.272,1.9,2.3,0.8370000000000001,2.3,3.2,0.6,2.3,2.8,2.5,0.5,0.1,8.7
58,59,Dejan Todorovic,AND,23,18.5,3.0,7.7,0.384,1.6,4.2,0.385,1.1,1.5,0.765,2.1,1.0,0.7,2.5,3.1,1.4,0.3,0.0,8.7
59,60,Jeremy Senglin,AND,23,21.1,3.0,7.2,0.418,0.9,2.8,0.308,1.8,1.9,0.932,1.6,1.9,0.4,1.5,2.0,2.4,0.8,0.0,8.7
60,61,Ondrej Balvin,BBB,23,22.5,3.2,5.7,0.565,0.0,0.0,0.0,2.2,2.8,0.769,1.7,2.2,2.0,5.3,7.3,1.5,0.5,1.2,8.6
61,62,Daniel Diez,CAN,22,26.0,3.0,5.9,0.519,1.5,3.3,0.45799999999999996,1.0,1.2,0.846,0.7,0.7,1.4,4.5,5.9,1.2,0.5,0.0,8.6
62,63,Arnoldas Kulboka,BBB,23,21.4,2.7,7.0,0.385,1.9,5.5,0.349,1.2,1.3,0.871,1.3,1.0,0.4,3.1,3.6,0.3,0.1,0.2,8.5
63,64,Luke Harangody,JOV,23,23.5,3.3,7.3,0.461,1.3,3.3,0.4,0.5,0.5,1.0,0.7,1.6,1.3,3.5,4.8,0.3,0.8,0.2,8.5
64,65,Shayne Whittington,ENER,23,19.6,3.0,6.5,0.46299999999999997,1.1,3.0,0.35700000000000004,1.3,1.7,0.795,1.1,2.0,1.4,3.1,4.5,0.7,0.4,0.2,8.4
65,66,David Jelinek,AND,21,18.2,2.9,7.1,0.409,1.4,4.2,0.33,1.2,1.4,0.862,0.8,1.9,0.3,1.4,1.7,1.0,0.4,0.0,8.4
66,67,Kyle Kuric,FCB,23,20.7,2.7,6.7,0.409,1.3,3.7,0.345,1.6,1.8,0.902,0.8,1.4,0.6,1.7,2.3,1.2,0.9,0.1,8.3
67,68,Demetrius Conger,ENER,23,18.3,3.0,6.0,0.5,0.7,1.5,0.47100000000000003,1.7,2.6,0.644,1.1,1.4,0.7,1.4,2.1,1.2,0.6,0.0,8.3
68,69,Ferran Bassas,SPB,23,21.7,2.9,6.3,0.465,1.8,4.3,0.418,0.7,1.1,0.654,1.9,2.0,0.5,2.1,2.7,4.1,0.7,0.0,8.3
69,70,Deon Thompson,UNI,22,21.1,3.0,7.0,0.429,0.9,2.5,0.345,1.4,1.8,0.795,1.5,1.5,1.4,2.4,3.8,0.8,1.2,0.2,8.3
70,71,Juan Palacios,EST,23,20.1,3.5,8.5,0.408,0.3,1.0,0.25,0.8,1.5,0.514,0.8,2.4,1.2,2.4,3.6,0.9,1.0,0.2,8.0
71,72,Nenad Dimitrijevic,JOV,21,18.2,3.0,6.3,0.47700000000000004,0.6,1.9,0.325,1.4,1.6,0.853,2.3,2.4,0.3,1.4,1.7,3.3,0.6,0.0,8.0
72,73,Beka Burjanadze,GCN,22,19.1,2.7,5.8,0.465,0.7,2.3,0.32,1.9,3.0,0.6459999999999999,0.7,1.5,1.3,2.0,3.3,0.6,0.2,0.0,8.0
73,74,Pierre-Antoine Gillet,MON,19,25.0,3.0,6.6,0.452,1.6,4.3,0.37,0.4,0.5,0.778,0.5,2.6,1.8,3.4,5.2,0.9,0.6,0.0,7.9
74,75,Javier Justiz,ZAR,16,15.6,3.4,6.8,0.5,0.0,0.1,0.0,1.2,1.8,0.679,1.4,2.8,1.6,1.8,3.4,0.3,0.2,0.5,7.9
75,76,Phil Pressey,EST,23,26.0,2.7,8.2,0.32799999999999996,1.6,5.3,0.298,1.0,1.3,0.759,2.0,2.5,0.3,2.3,2.6,4.7,2.4,0.1,7.9
76,77,Fernando San Emeterio,VAL,19,19.3,2.4,5.4,0.447,0.9,2.3,0.395,2.1,2.4,0.889,1.1,0.9,0.4,2.0,2.4,1.3,0.4,0.0,7.8
77,78,Yannis Bourousis,GCN,20,18.1,2.5,6.6,0.386,0.7,2.0,0.317,2.0,2.4,0.833,1.5,2.5,0.9,3.0,4.0,1.3,0.6,0.1,7.8
78,79,Ben Lammers,BBB,23,19.6,3.3,5.6,0.586,0.0,0.1,0.0,1.2,1.7,0.7,1.0,2.1,2.2,2.7,4.9,0.4,0.9,1.9,7.7
79,80,Augusto Cesar Lima,SPB,23,20.8,3.4,5.8,0.594,0.0,0.0,0.0,0.9,2.9,0.303,0.9,2.3,2.8,3.1,5.9,1.1,1.0,1.0,7.7
80,81,Anthony Randolph,RMB,15,18.3,2.3,5.9,0.382,1.3,3.7,0.35700000000000004,1.9,2.3,0.8,1.1,1.7,0.3,3.1,3.4,0.5,0.5,0.4,7.7
81,82,Adam Waczynski,UNI,23,17.1,2.5,5.5,0.452,1.4,3.4,0.418,1.3,1.4,0.938,0.5,1.4,0.4,0.8,1.3,0.9,0.5,0.0,7.7
82,83,Edy Tavares,RMB,23,22.4,3.0,4.3,0.6970000000000001,0.0,0.0,0.0,1.7,2.4,0.679,1.0,2.0,2.7,4.8,7.4,0.3,0.4,1.7,7.7
83,84,Alberto Abalde,VAL,23,17.0,2.8,5.6,0.504,0.7,1.7,0.425,1.3,1.7,0.763,0.8,1.0,1.5,1.9,3.4,1.1,0.6,0.0,7.7
84,85,Jonathan Rousselle,BBB,22,22.4,2.5,6.6,0.384,0.9,3.5,0.25,1.7,2.4,0.698,1.9,3.3,0.4,1.4,1.7,3.9,1.0,0.0,7.6
85,86,J.P. Tokoto,SPB,13,23.6,3.2,6.5,0.488,0.2,0.8,0.182,1.0,1.8,0.542,1.0,2.6,1.6,4.1,5.7,1.5,1.2,0.2,7.5
86,87,Louis Labeyrie,VAL,22,20.4,2.6,4.8,0.547,0.4,1.3,0.321,1.8,2.5,0.722,0.5,0.9,1.9,3.5,5.3,0.5,0.6,0.5,7.5
87,88,Rafa Martinez,BBB,23,20.8,2.2,5.8,0.381,1.2,3.2,0.384,1.8,2.1,0.8540000000000001,1.5,1.8,0.1,1.6,1.7,2.0,0.3,0.0,7.4
88,89,Luca Vildoza,CAJ,12,24.0,2.7,7.2,0.368,1.0,3.8,0.261,1.1,1.1,1.0,2.1,2.3,0.2,2.4,2.7,2.9,0.9,0.2,7.4
89,90,Omar Cook,GCN,18,27.9,2.4,6.3,0.386,1.3,4.3,0.312,1.2,1.6,0.7240000000000001,1.9,2.3,0.2,1.2,1.4,7.3,1.3,0.0,7.4
90,91,Vyacheslav Bobrov,MON,21,18.7,2.8,4.5,0.621,0.0,0.5,0.1,1.7,2.4,0.72,1.1,2.5,1.0,2.3,3.2,0.6,0.5,0.3,7.4
91,92,Volodymyr Herun,UNI,23,17.8,2.9,4.9,0.598,0.0,0.0,0.0,1.5,2.3,0.66,0.7,1.6,2.2,2.3,4.5,0.4,0.7,0.3,7.3
92,93,Bruno Fitipaldo,SPB,23,18.8,2.5,6.0,0.41600000000000004,1.3,3.6,0.366,1.1,1.2,0.9259999999999999,1.4,2.1,0.2,1.1,1.3,3.2,0.6,0.0,7.3
93,94,Kenan Sipahi,ENER,23,20.1,2.6,6.0,0.43200000000000005,0.5,2.0,0.261,1.6,2.3,0.679,2.0,2.3,0.5,1.8,2.3,3.5,1.0,0.0,7.3
94,95,Jonathan Barreiro,ZAR,23,18.7,2.5,5.3,0.47200000000000003,0.9,3.0,0.309,1.3,1.8,0.7140000000000001,0.8,1.6,1.4,3.3,4.7,0.5,0.4,0.2,7.3
95,96,Juan Vaulet,MAN,23,19.9,3.1,6.0,0.514,0.3,1.0,0.261,0.8,1.6,0.528,0.9,1.9,1.2,1.9,3.1,0.6,0.5,0.2,7.3
96,97,Nik Stauskas,CAJ,18,17.6,2.3,6.3,0.368,1.3,4.2,0.316,1.2,1.4,0.846,1.0,1.3,0.2,1.3,1.5,1.4,0.4,0.2,7.2
97,98,Eulis Baez,MAN,18,21.5,2.6,5.0,0.511,0.9,2.2,0.425,1.1,2.0,0.528,0.8,1.7,0.9,2.1,3.1,1.5,0.4,0.2,7.1
98,99,Bandja Sy,AND,19,21.9,2.3,4.1,0.551,1.1,2.3,0.47700000000000004,1.4,1.8,0.794,1.1,2.5,0.8,3.2,4.0,0.7,1.1,0.5,7.1
99,100,Egidijus Mockevicius,MON,20,17.7,3.0,4.7,0.628,0.0,0.0,0.0,1.1,2.5,0.451,1.1,2.8,2.1,3.4,5.5,0.8,0.7,0.7,7.0
