,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Klemen Prepelic,JOV,23,28.0,6.7,14.6,0.46,2.9,7.6,0.385,6.0,6.9,0.868,2.5,2.5,0.3,1.5,1.8,3.0,0.7,0.0,22.3
1,2,Askia Booker,MUR,19,28.6,7.5,18.1,0.414,2.9,7.8,0.37200000000000005,3.4,4.0,0.8420000000000001,2.7,1.9,0.2,2.3,2.5,3.6,0.5,0.1,21.2
2,3,Nikola Mirotic,FCB,20,26.9,5.7,10.9,0.518,1.5,4.5,0.33,7.2,7.9,0.9109999999999999,2.0,1.9,1.6,4.2,5.8,1.4,1.1,0.6,20.0
3,4,Giorgi Shermadini,CAN,22,26.7,6.9,10.5,0.657,0.0,0.0,0.0,4.5,5.5,0.82,2.2,2.5,2.4,4.7,7.1,1.5,0.6,0.5,18.3
4,5,Axel Bouteille,BBB,21,27.7,6.7,12.7,0.524,2.6,5.4,0.478,1.8,2.3,0.7759999999999999,1.0,1.1,1.1,2.7,3.8,1.2,0.5,0.1,17.7
5,6,Tornike Shengelia,CAJ,23,32.9,6.0,12.0,0.498,1.1,3.3,0.32899999999999996,3.5,4.8,0.73,2.4,2.4,1.8,4.5,6.3,2.7,1.4,0.3,16.6
6,7,Jarell Eddie,MUR,22,26.6,4.7,10.5,0.44799999999999995,3.5,8.0,0.44,1.5,1.7,0.892,1.4,2.2,0.5,2.6,3.1,0.4,0.9,0.5,14.4
7,8,Dario Brizuela,EST,10,29.0,4.2,9.8,0.429,1.6,4.2,0.381,4.1,4.7,0.872,2.5,2.6,0.1,2.5,2.6,2.5,0.9,0.0,14.1
8,9,Vitor Benite,SPB,23,23.4,4.4,10.0,0.441,2.3,5.4,0.41600000000000004,2.5,2.9,0.851,1.5,2.9,0.3,2.1,2.4,1.5,0.7,0.0,13.5
9,10,A.J. Slaughter,ENER,22,23.3,5.0,10.7,0.46799999999999997,2.0,4.8,0.406,1.3,1.5,0.879,2.3,1.8,0.3,1.9,2.1,2.0,0.8,0.0,13.3
10,11,Demonte Harper,GCN,22,25.4,4.9,10.7,0.455,1.7,4.3,0.39399999999999996,1.8,2.1,0.851,2.6,3.0,0.7,1.5,2.2,1.9,0.6,0.0,13.2
11,12,Dejan Kravic,OBR,23,27.6,5.7,9.4,0.602,0.0,0.0,0.0,1.9,3.0,0.632,1.5,2.7,2.7,3.7,6.4,1.0,1.0,1.3,13.2
12,13,Marcelinho Huertas,CAN,22,28.5,4.9,10.5,0.465,1.0,3.0,0.313,2.4,2.5,0.981,3.8,2.0,0.6,1.8,2.5,8.1,1.0,0.0,13.1
