,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Darius Adams,CAJ,41,25.7,5.7,13.0,0.43799999999999994,2.8,7.4,0.384,2.2,2.5,0.8809999999999999,3.1,2.2,0.4,2.3,2.8,2.9,1.3,0.1,16.4
1,2,Alex Mumbru,BBB,34,30.0,5.1,12.0,0.43,2.0,5.6,0.365,2.9,3.4,0.836,2.0,2.6,0.7,2.8,3.5,2.2,0.7,0.1,15.2
2,3,Adam Waczynski,OBR,27,26.2,4.7,10.2,0.46,2.1,5.1,0.42,3.1,3.4,0.902,2.6,2.0,0.4,1.9,2.4,1.3,0.5,0.0,14.6
3,4,Justin Hamilton,VAL,40,23.0,5.7,10.6,0.5379999999999999,0.9,2.1,0.43,1.7,2.2,0.767,1.1,2.0,1.6,3.8,5.4,0.7,1.0,0.8,14.0
4,5,Dejan Musli,MAN,33,27.1,5.3,9.2,0.574,0.0,0.0,0.0,3.3,4.7,0.701,2.3,2.1,1.7,5.7,7.4,1.9,1.0,0.7,13.8
5,6,Stevan Jelovac,ZAR,34,21.8,4.0,9.2,0.436,1.1,3.1,0.349,4.7,5.3,0.878,1.8,1.9,1.2,3.5,4.7,0.9,0.5,0.0,13.8
6,7,Nacho Martin,EST,28,30.0,5.1,10.9,0.474,1.5,3.9,0.38,1.8,2.3,0.7809999999999999,1.8,2.0,1.5,4.7,6.2,2.0,0.7,0.1,13.5
7,8,Marko Popovic,MON,33,23.4,3.7,8.6,0.43200000000000005,2.8,6.4,0.429,3.3,3.7,0.9009999999999999,1.5,2.5,0.3,1.3,1.5,3.0,0.8,0.0,13.5
8,9,Yannis Bourousis,CAJ,39,23.4,4.4,8.5,0.512,1.0,2.5,0.408,3.5,4.0,0.865,2.0,2.6,1.6,5.8,7.4,2.3,0.8,0.6,13.2
9,10,Brandon Paul,JOV,33,23.1,4.0,10.4,0.387,2.3,6.6,0.353,2.8,3.3,0.8270000000000001,1.8,2.4,0.7,1.9,2.7,1.4,1.0,0.3,13.2
10,11,Giorgi Shermadini,AND,34,21.7,4.6,7.6,0.609,0.0,0.1,0.0,3.9,4.8,0.805,1.8,2.8,1.9,4.1,6.1,0.4,0.8,0.7,13.1
11,12,Nicolas Richotti,CAN,32,26.3,4.1,9.7,0.42100000000000004,1.6,4.3,0.374,3.2,4.1,0.8,2.1,2.8,0.3,1.2,1.5,3.2,1.1,0.1,13.0
12,13,Jaycee Carroll,RMB,45,19.7,4.5,8.2,0.55,2.3,4.5,0.51,1.5,1.7,0.87,1.0,1.8,0.4,1.4,1.9,1.0,0.6,0.2,12.9
13,14,Bostjan Nachbar,ENER,34,22.5,4.4,10.0,0.44,1.5,3.9,0.391,2.5,2.9,0.867,1.6,2.1,0.4,2.1,2.5,0.8,1.1,0.3,12.9
14,15,Bojan Dubljevic,VAL,32,18.7,4.2,8.5,0.502,0.8,2.1,0.364,3.5,4.1,0.847,1.7,1.9,2.0,3.8,5.9,0.6,0.7,0.2,12.7
15,16,Facundo Campazzo,MUR,37,26.5,4.0,10.1,0.397,1.6,4.6,0.337,3.0,3.9,0.778,2.5,3.0,0.2,2.7,2.9,5.3,2.0,0.2,12.6
16,17,Scott Bamforth,ENER,30,29.6,4.2,9.7,0.431,2.2,4.9,0.445,2.0,2.4,0.833,1.8,2.0,0.6,2.9,3.5,2.4,0.8,0.0,12.5
17,18,Clevin Hannah,BBB,33,23.9,3.9,8.7,0.45299999999999996,2.2,5.3,0.414,2.3,2.7,0.852,2.3,2.9,0.3,1.8,2.1,3.5,1.1,0.0,12.3
18,19,Ivan Paunic,MON,36,28.4,4.4,9.7,0.457,1.1,3.4,0.311,2.4,3.0,0.787,2.2,1.9,0.8,2.2,3.0,1.7,1.1,0.0,12.3
19,20,Luka Bogdanovic,AND,33,28.1,4.5,9.5,0.47600000000000003,2.1,5.2,0.4,1.1,1.4,0.7659999999999999,0.9,1.2,0.9,2.4,3.3,1.1,0.7,0.1,12.2
20,21,Sergio Llull,RMB,42,25.0,4.0,8.8,0.45,1.6,4.7,0.34,2.5,3.1,0.809,1.6,1.7,0.3,1.8,2.1,4.9,0.7,0.0,12.1
21,22,Jose Angel Antelo,MUR,37,24.3,3.8,8.6,0.44299999999999995,1.4,3.1,0.461,3.0,3.5,0.853,1.7,2.7,1.7,3.0,4.7,0.9,0.6,0.4,12.0
22,23,Alen Omic,GCN,35,24.5,4.8,8.1,0.596,0.0,0.1,0.0,2.4,4.3,0.546,1.5,2.7,2.3,4.5,6.8,1.1,0.8,0.4,12.0
23,24,Vojdan Stojanovski,AND,34,24.6,4.0,8.6,0.467,0.8,2.5,0.302,3.2,3.6,0.871,1.5,3.3,0.6,1.8,2.4,2.2,0.8,0.1,11.9
24,25,Justin Doellman,FCB,40,24.6,4.2,8.6,0.49,1.2,2.9,0.431,2.2,2.6,0.83,1.0,1.9,1.5,3.5,5.0,1.6,1.1,0.2,11.8
25,26,Angelo Caloiaro,OBR,34,30.2,4.2,8.0,0.524,0.9,2.9,0.33,2.3,3.1,0.743,1.3,2.6,1.6,4.0,5.6,1.2,2.0,0.3,11.6
26,27,Chase Simon,MAN,33,25.0,4.1,10.4,0.39799999999999996,1.5,4.6,0.314,1.8,2.5,0.711,1.8,2.6,0.5,2.1,2.6,1.2,1.1,0.0,11.5
