,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
10,11,Ryan Kelly,ENER,34,27.8,4.7,11.2,0.41700000000000004,0.9,3.0,0.301,3.1,4.0,0.772,1.5,2.3,1.1,3.5,4.6,1.6,0.7,0.9,13.4
11,12,Nobel Boungou Colo,ENER,9,29.8,3.6,11.3,0.314,1.2,5.7,0.21600000000000003,4.7,5.2,0.894,3.0,2.1,2.1,1.9,4.0,1.0,1.0,0.3,13.0
12,13,Thomas Heurtel,FCB,40,24.1,4.6,9.3,0.495,1.4,3.2,0.426,2.2,2.7,0.7979999999999999,2.2,2.1,0.4,1.9,2.3,6.3,1.1,0.0,12.8
13,14,Clevin Hannah,MUR,32,25.7,4.3,9.2,0.466,1.9,5.0,0.384,2.2,2.5,0.889,2.0,1.9,0.3,2.2,2.5,4.2,0.8,0.0,12.8
14,15,Alex Mumbru,BBB,34,23.8,4.2,9.7,0.43200000000000005,2.0,5.5,0.371,2.2,3.1,0.698,1.8,2.3,0.5,3.3,3.8,2.3,0.5,0.2,12.6
15,16,Luka Doncic,RMB,37,24.3,4.2,9.2,0.46,1.2,4.2,0.293,2.9,3.8,0.752,2.2,1.8,1.0,4.7,5.7,4.7,1.1,0.4,12.5
16,17,Jaycee Carroll,RMB,42,17.8,4.2,7.9,0.532,2.2,4.4,0.49700000000000005,1.6,1.9,0.8590000000000001,1.0,1.7,0.4,1.4,1.9,0.6,0.5,0.1,12.1
17,18,Christian Eyenga,MON,33,27.0,4.4,10.0,0.435,1.2,3.2,0.368,2.1,3.2,0.6629999999999999,1.9,2.6,0.7,3.6,4.3,1.7,1.0,0.8,12.0
18,19,Erick Green,VAL,35,19.7,4.1,8.5,0.485,1.2,3.0,0.41,2.4,2.8,0.867,0.9,1.5,0.3,1.2,1.5,1.4,0.6,0.1,11.9
19,20,Deon Thompson,SPB,34,27.2,4.5,8.9,0.502,0.6,1.5,0.41200000000000003,2.3,2.9,0.79,1.4,2.4,2.1,4.7,6.7,1.5,0.9,0.9,11.9
20,21,Paco Cruz,MON,34,25.9,4.5,9.8,0.455,1.4,3.8,0.35700000000000004,1.5,2.0,0.746,2.6,2.3,0.9,2.3,3.2,3.3,0.6,0.0,11.8
21,22,Dan Clark,GBC,34,23.1,4.5,10.2,0.441,1.6,4.9,0.335,0.9,1.0,0.857,1.3,2.4,1.5,3.4,4.9,1.3,0.5,0.3,11.5
22,23,Rodrigue Beaubois,CAJ,41,20.0,4.1,8.1,0.5,1.4,3.4,0.42,1.9,2.2,0.8370000000000001,1.6,2.3,0.4,2.3,2.7,2.1,0.7,0.3,11.4
23,24,Vitor Benite,MUR,34,19.8,4.1,8.9,0.46,2.0,4.9,0.41,1.2,1.4,0.857,1.1,2.1,0.2,1.3,1.5,0.8,0.5,0.0,11.4
24,25,Jaime Fernandez,AND,37,20.3,3.8,9.4,0.409,0.9,2.9,0.315,2.8,3.7,0.765,1.3,2.3,0.6,1.5,2.1,4.0,1.3,0.1,11.4
25,26,Bojan Dubljevic,VAL,31,23.1,3.9,8.6,0.457,1.1,3.0,0.37,2.4,3.4,0.708,1.7,1.9,2.1,4.2,6.4,1.5,0.5,0.3,11.4
26,27,Marcus Eriksson,GCN,29,21.3,3.9,8.6,0.45799999999999996,2.3,5.2,0.444,1.2,1.4,0.8540000000000001,0.7,1.7,0.4,1.9,2.2,0.9,0.2,0.1,11.4
27,28,Rolands Smits,MON,34,25.4,4.1,8.1,0.505,1.5,3.9,0.381,1.4,2.0,0.71,1.3,3.3,1.6,2.6,4.2,0.9,0.4,0.5,11.2
28,29,Artem Pustovyi,OBR,34,25.9,4.1,7.1,0.583,0.0,0.2,0.0,2.9,3.8,0.767,2.2,3.4,1.8,4.1,5.9,0.5,0.4,1.9,11.1
29,30,Patrick Richard,JOV,33,23.1,3.9,9.0,0.433,1.5,4.1,0.36,1.8,2.1,0.843,1.2,2.0,0.6,2.5,3.1,1.7,1.2,0.0,11.1
30,31,Mike Tobey,CAN,35,21.4,4.7,8.5,0.5589999999999999,0.3,0.8,0.33299999999999996,1.3,2.3,0.58,1.1,2.9,2.5,4.1,6.6,0.6,0.3,0.8,11.1
31,32,Eimantas Bendzius,OBR,28,23.6,3.5,8.0,0.433,1.7,4.5,0.384,2.3,3.1,0.7559999999999999,1.0,1.7,1.2,2.9,4.1,0.7,0.8,0.2,11.0
32,33,Kevin Seraphin,FCB,14,18.6,4.7,8.5,0.555,0.0,0.0,0.0,1.5,2.3,0.6559999999999999,1.6,2.2,1.9,2.0,3.9,0.9,0.6,0.8,10.9
33,34,Ovie Soko,MUR,34,23.2,3.5,8.0,0.435,0.4,1.5,0.25,3.6,4.4,0.8190000000000001,2.1,3.4,1.7,3.4,5.1,1.1,1.0,0.2,10.9
34,35,Dejan Todorovic,BBB,30,24.1,3.9,9.5,0.408,1.9,5.2,0.363,1.2,1.6,0.7709999999999999,1.8,1.6,0.4,2.5,2.9,1.5,0.8,0.1,10.9
35,36,Corey Fisher,SPB,34,23.9,3.6,8.3,0.429,1.4,4.0,0.34299999999999997,2.3,3.3,0.6990000000000001,1.7,1.8,0.4,1.2,1.6,2.6,0.8,0.0,10.8
36,37,Alec Brown,EST,34,20.9,3.8,8.5,0.441,1.5,3.9,0.373,1.7,2.0,0.841,1.0,3.1,1.8,2.7,4.5,0.8,0.5,1.0,10.7
37,38,Blake Schilb,ENER,33,25.1,4.1,8.3,0.498,1.2,3.2,0.355,1.3,1.3,1.0,1.5,1.9,0.5,2.3,2.8,2.3,0.5,0.0,10.7
38,39,Matt Janning,CAJ,43,22.5,3.7,7.7,0.483,2.3,5.0,0.456,0.9,1.2,0.8,1.0,2.0,0.3,1.9,2.1,1.7,0.5,0.1,10.7
39,40,Ante Tomic,FCB,38,19.7,4.2,7.2,0.584,0.0,0.0,0.0,2.2,3.3,0.677,0.9,2.0,1.9,3.6,5.5,1.8,0.8,0.5,10.6
40,41,Tim Abromaitis,CAN,36,25.8,3.7,7.4,0.502,1.8,4.0,0.44799999999999995,1.2,1.6,0.768,0.8,2.6,1.2,3.5,4.7,1.3,1.1,0.3,10.4
41,42,Jordan Swing,GBC,34,24.4,3.7,8.9,0.419,1.4,3.9,0.35600000000000004,1.6,1.9,0.8440000000000001,1.9,2.5,0.6,3.1,3.6,1.8,0.7,0.1,10.4
42,43,Lucio Redivo,BBB,33,19.9,3.6,8.1,0.449,1.7,4.3,0.392,1.2,1.7,0.7140000000000001,0.6,1.7,0.1,1.0,1.1,0.6,0.5,0.0,10.2
43,44,O.D. Anosike,ENER,34,24.7,4.3,7.4,0.583,0.0,0.0,0.0,1.5,3.1,0.486,1.1,2.8,2.1,4.1,6.2,0.9,0.5,0.0,10.2
44,45,Jerome Jordan,JOV,34,21.8,3.6,6.8,0.524,0.0,0.0,0.0,3.0,4.0,0.75,1.7,2.6,2.0,2.8,4.8,1.1,0.7,0.9,10.1
45,46,Jonathan Tabu,BBB,31,23.0,3.3,8.2,0.40700000000000003,1.3,4.0,0.331,2.0,2.7,0.747,1.9,3.2,0.5,1.7,2.2,3.5,1.0,0.0,10.0
46,47,Tibor Pleiss,VAL,24,18.9,4.0,7.2,0.555,0.2,0.5,0.385,1.6,2.2,0.731,1.5,2.3,1.7,4.5,6.2,0.6,0.3,0.8,9.8
47,48,D.J. Seeley,GCN,37,22.4,3.2,7.5,0.424,1.3,3.1,0.409,2.1,2.6,0.804,1.6,1.7,0.7,1.3,2.0,2.3,0.9,0.0,9.8
48,49,Rudy Fernandez,RMB,34,17.3,3.1,6.6,0.473,1.9,4.2,0.444,1.5,1.8,0.852,0.8,1.4,0.7,1.9,2.6,1.9,0.9,0.3,9.7
49,50,Sergi Garcia,ZAR,9,19.8,3.3,6.3,0.526,1.6,3.2,0.483,1.3,1.7,0.8,1.4,1.4,0.8,2.4,3.2,2.8,1.3,0.2,9.6
50,51,Pierre Oriola,FCB,29,18.4,3.3,5.7,0.584,0.3,1.0,0.3,2.2,3.4,0.657,0.6,2.3,1.6,2.5,4.1,0.9,0.4,0.3,9.2
51,52,Nemanja Radovic,OBR,33,20.7,3.9,7.8,0.496,0.3,1.1,0.257,1.2,2.1,0.574,1.3,2.6,2.1,3.5,5.6,0.6,0.4,0.5,9.2
52,53,Adrien Moerman,FCB,39,22.0,3.5,6.9,0.502,1.3,3.3,0.39799999999999996,0.9,1.5,0.617,1.2,2.5,1.6,3.8,5.4,0.8,0.9,0.2,9.2
53,54,Eulis Baez,GCN,37,21.6,3.1,6.8,0.451,0.8,2.4,0.322,2.2,2.9,0.7829999999999999,1.4,2.3,1.6,2.8,4.4,1.4,0.9,0.2,9.2
54,55,David Jelinek,AND,37,18.2,3.0,6.6,0.447,1.6,3.6,0.444,1.6,2.0,0.8079999999999999,1.4,1.9,0.4,1.7,2.1,1.1,0.4,0.1,9.2
55,56,Goran Huskic,SPB,34,20.6,3.9,7.3,0.53,0.1,0.5,0.25,1.2,2.0,0.609,1.5,2.8,1.5,2.8,4.3,2.3,1.1,0.5,9.1
56,57,Sebastian Saiz,SPB,34,18.0,3.3,5.8,0.574,0.0,0.2,0.16699999999999998,2.4,3.2,0.7609999999999999,1.2,2.6,1.9,3.1,4.9,0.4,0.5,0.9,9.1
57,58,Sam Van Rossom,VAL,29,23.9,3.0,6.4,0.47100000000000003,2.1,4.3,0.484,1.0,1.1,0.848,1.5,1.8,0.6,2.2,2.8,3.3,0.6,0.2,9.1
58,59,Facundo Campazzo,RMB,33,21.9,3.1,6.5,0.47200000000000003,1.1,3.1,0.363,1.8,2.4,0.7559999999999999,1.6,1.9,0.2,1.7,1.8,4.0,1.5,0.1,9.0
59,60,Andrew Albicy,AND,36,24.0,2.7,6.7,0.401,1.4,3.7,0.38299999999999995,2.0,2.3,0.855,1.9,2.0,0.1,1.8,1.9,4.6,1.1,0.1,8.8
60,61,Petteri Koponen,FCB,39,20.4,3.0,6.3,0.473,1.5,3.2,0.484,1.3,1.5,0.847,0.8,2.1,0.4,1.5,1.9,1.5,0.5,0.1,8.8
61,62,Rafa Martinez,VAL,34,18.1,2.6,5.4,0.486,2.0,4.0,0.493,1.5,1.7,0.8640000000000001,1.0,1.5,0.3,1.4,1.6,1.8,0.4,0.0,8.7
62,63,Nicolas de Jong,ZAR,32,17.8,3.2,6.3,0.507,0.2,0.8,0.292,2.0,2.7,0.747,0.9,2.8,1.1,2.7,3.8,0.3,0.2,0.7,8.7
63,64,Tomasz Gielo,JOV,34,21.8,3.2,6.7,0.47600000000000003,1.3,3.4,0.377,0.9,1.1,0.795,0.7,2.5,0.7,2.6,3.3,0.4,0.6,0.3,8.6
64,65,Adam Hanga,FCB,37,22.3,3.2,6.7,0.478,0.8,2.5,0.312,1.4,2.1,0.675,1.1,2.1,0.9,2.5,3.3,1.6,1.2,0.5,8.6
65,66,Nik Caner-Medley,EST,32,21.1,3.2,7.4,0.426,0.8,2.8,0.295,1.4,1.8,0.807,0.9,1.6,0.8,3.2,3.9,1.2,0.5,0.3,8.6
66,67,Vincent Poirier,CAJ,43,18.9,3.3,5.5,0.599,0.0,0.0,0.0,1.9,2.7,0.722,1.0,2.8,1.5,4.1,5.6,0.9,0.5,0.8,8.5
67,68,Will Thomas,VAL,37,25.6,3.0,5.9,0.509,0.7,2.1,0.35100000000000003,1.7,2.2,0.78,0.6,1.7,1.1,2.9,4.0,1.4,0.8,0.2,8.5
68,69,Jeff Brooks,UNI,33,20.6,3.4,7.0,0.483,0.5,1.3,0.381,1.3,1.4,0.894,1.0,1.7,1.5,2.8,4.3,0.8,0.5,0.2,8.5
69,70,Sasu Salin,UNI,36,17.6,2.7,6.7,0.408,2.0,5.1,0.39899999999999997,1.0,1.3,0.7829999999999999,0.8,1.6,0.4,1.6,2.0,1.9,0.7,0.1,8.5
70,71,Gal Mekel,GCN,40,17.2,3.1,6.8,0.465,0.6,1.6,0.349,1.6,2.1,0.733,1.7,1.8,0.5,0.8,1.3,3.4,0.5,0.0,8.4
71,72,Tomas Bellas,ZAR,33,25.9,2.6,7.5,0.354,0.9,3.0,0.31,2.0,2.3,0.857,1.4,2.1,0.3,1.5,1.8,3.5,0.5,0.0,8.2
72,73,Goran Suton,EST,34,21.2,3.0,7.5,0.4,0.9,3.3,0.27699999999999997,1.3,2.1,0.62,0.7,2.9,1.9,3.8,5.6,1.0,0.9,0.6,8.2
73,74,Luke Nelson,ENER,34,23.2,3.0,6.7,0.441,1.5,3.6,0.41,0.8,1.0,0.7709999999999999,1.8,3.0,0.2,1.9,2.1,1.7,1.1,0.0,8.2
74,75,Ondrej Balvin,GCN,40,21.0,3.5,5.3,0.6559999999999999,0.0,0.0,0.0,1.2,2.2,0.544,1.2,2.7,2.3,3.6,5.9,0.9,0.4,0.9,8.2
75,76,Adam Waczynski,UNI,35,17.7,2.8,6.1,0.46,1.5,3.6,0.424,1.1,1.5,0.725,0.5,1.8,0.5,1.4,1.9,0.9,0.5,0.0,8.2
76,77,Albert Oliver,GCN,36,18.7,2.6,6.4,0.415,1.1,3.0,0.35200000000000004,1.7,1.9,0.91,1.5,1.6,0.7,0.9,1.5,3.2,0.6,0.0,8.0
77,78,Nikola Dragovic,ZAR,29,23.3,2.9,6.7,0.43,0.9,3.2,0.287,1.3,2.0,0.644,1.1,2.7,1.1,4.0,5.1,0.9,0.5,0.3,8.0
78,79,Charlon Kloof,MUR,34,18.4,2.4,6.3,0.385,0.7,2.3,0.304,2.4,3.2,0.745,1.2,3.0,0.5,1.6,2.1,1.9,0.5,0.2,7.9
79,80,Nicolas Richotti,CAN,15,20.7,2.7,7.2,0.38,0.9,3.5,0.264,1.5,1.8,0.852,1.7,3.3,0.8,1.6,2.4,2.6,0.7,0.1,7.9
80,81,Felipe Reyes,RMB,39,15.2,2.8,4.9,0.565,0.0,0.2,0.14300000000000002,2.3,3.2,0.72,1.0,1.9,2.2,2.1,4.2,1.0,0.3,0.1,7.9
81,82,Edy Tavares,RMB,36,20.6,3.2,4.8,0.674,0.0,0.1,0.0,1.5,2.5,0.5820000000000001,1.2,2.3,1.9,4.4,6.3,0.5,0.4,2.2,7.9
82,83,Janis Timma,CAJ,42,22.7,2.6,6.2,0.429,1.6,4.5,0.35100000000000003,1.0,1.2,0.8370000000000001,1.1,2.4,1.0,2.0,3.0,1.3,0.7,0.0,7.8
83,84,Marcelinho Huertas,CAJ,42,20.5,2.8,6.2,0.452,0.9,2.4,0.37,1.4,1.5,0.877,1.7,1.7,0.5,1.6,2.1,4.7,0.5,0.0,7.8
84,85,Pau Ribas,FCB,35,18.5,2.8,5.8,0.475,1.7,3.9,0.43799999999999994,0.5,0.5,1.0,1.3,1.3,0.4,1.5,1.9,3.1,0.6,0.1,7.8
85,86,Dario Brizuela,EST,32,18.7,2.6,5.8,0.452,0.8,2.3,0.32,1.8,2.1,0.8240000000000001,0.9,2.3,0.3,1.6,1.9,1.5,0.6,0.1,7.8
86,87,Jarvis Varnado,ZAR,21,20.9,3.2,5.6,0.581,0.0,0.0,0.0,1.2,2.3,0.531,1.7,2.8,1.4,3.9,5.3,0.6,0.6,1.4,7.7
87,88,Jayson Granger,CAJ,34,20.3,2.5,6.8,0.371,0.9,3.0,0.307,1.7,2.1,0.7809999999999999,1.7,1.2,0.1,2.0,2.1,4.3,0.6,0.0,7.6
88,89,Ian O'Leary,MON,34,23.3,3.3,5.9,0.552,0.2,1.0,0.22899999999999998,0.9,1.9,0.45299999999999996,0.9,2.5,2.2,3.4,5.6,1.0,0.6,0.2,7.6
89,90,Brad Oleson,MUR,33,23.4,2.6,6.8,0.37799999999999995,1.5,4.5,0.327,1.0,1.1,0.914,0.8,1.4,0.5,1.6,2.1,1.7,1.0,0.2,7.6
90,91,Federico Van Lacke,GBC,33,22.1,2.6,6.0,0.431,0.8,2.5,0.313,1.5,1.9,0.778,1.5,1.9,0.4,1.8,2.2,1.9,1.1,0.1,7.4
91,92,Ray McCallum,UNI,36,18.8,2.7,5.8,0.46399999999999997,0.4,1.6,0.276,1.5,2.3,0.655,1.1,1.8,0.5,1.5,2.0,2.7,0.4,0.0,7.4
92,93,Danny Agbelese,GBC,33,16.8,3.0,4.8,0.613,0.0,0.0,0.0,1.4,2.5,0.5539999999999999,1.3,2.8,1.4,2.1,3.5,0.6,0.3,0.8,7.3
93,94,Fabien Causeur,RMB,38,17.8,2.7,5.0,0.545,0.8,1.9,0.451,1.0,1.3,0.7709999999999999,0.9,1.4,0.3,1.6,1.9,1.5,0.6,0.1,7.3
94,95,Johannes Voigtmann,CAJ,43,20.2,2.6,5.2,0.509,0.7,1.8,0.377,1.3,1.5,0.862,0.8,1.8,0.9,4.2,5.1,1.6,0.3,0.3,7.2
95,96,Edgar Vicedo,EST,33,20.1,2.8,5.7,0.49200000000000005,0.9,2.8,0.315,0.7,0.9,0.733,0.6,1.3,1.1,2.9,4.0,0.6,0.9,0.4,7.2
96,97,Xavi Rabaseda,GCN,38,19.6,2.6,5.6,0.469,1.1,3.2,0.35,0.8,1.1,0.732,0.9,2.0,0.4,2.0,2.4,1.4,1.1,0.2,7.1
97,98,Carlos Suarez,UNI,36,21.6,2.0,4.7,0.424,0.6,2.1,0.293,2.3,2.7,0.875,1.0,1.1,1.5,3.4,4.9,2.6,0.6,0.2,6.9
98,99,Sadiel Rojas,MUR,34,22.3,2.3,5.7,0.397,1.1,3.3,0.319,1.4,1.9,0.708,0.9,3.5,1.8,3.9,5.6,0.5,1.0,0.1,6.9
99,100,Saulius Kulvietis,JOV,33,20.0,2.4,6.1,0.39,1.2,3.6,0.33299999999999996,1.0,1.3,0.767,0.8,1.8,0.9,1.6,2.5,1.2,0.3,0.2,6.9
