,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Gary Neal,ZAR,29,30.5,6.4,13.2,0.484,2.0,4.6,0.425,5.8,6.3,0.929,3.0,2.4,0.2,2.7,2.9,3.2,0.6,0.0,20.6
1,2,Sylven Landesberg,EST,30,27.9,6.2,14.3,0.43700000000000006,2.1,5.8,0.354,5.6,7.2,0.773,1.5,2.7,0.7,3.3,4.0,1.9,0.7,0.1,20.1
2,3,Matt Thomas,OBR,30,26.7,5.1,10.8,0.47200000000000003,2.4,5.2,0.45899999999999996,2.8,3.0,0.9440000000000001,1.8,1.9,0.5,2.0,2.4,2.4,0.8,0.0,15.4
3,4,Marko Popovic,MON,32,26.8,4.6,11.0,0.42,3.2,8.3,0.387,2.8,3.2,0.846,2.0,2.8,0.4,1.8,2.2,3.0,0.6,0.0,15.2
4,5,Tornike Shengelia,CAJ,41,23.9,5.5,10.0,0.545,0.9,2.4,0.35,3.1,4.4,0.7170000000000001,1.9,2.0,1.4,3.9,5.4,1.7,1.0,0.3,14.9
5,6,Henk Norel,GBC,26,23.8,5.4,9.4,0.578,0.1,0.2,0.4,3.0,4.2,0.706,1.2,2.1,3.2,3.6,6.7,1.8,0.4,0.5,13.9
6,7,Mateusz Ponitka,CAN,33,25.2,4.5,8.2,0.552,0.5,1.7,0.273,4.2,5.3,0.784,1.8,1.7,2.1,3.6,5.6,1.5,0.8,0.2,13.7
7,8,Kenny Chery,GBC,31,24.1,4.7,11.7,0.402,1.7,5.4,0.325,2.5,2.7,0.917,1.7,1.9,0.8,2.5,3.3,2.2,1.0,0.0,13.6
8,9,Jaka Blazic,AND,37,24.6,4.4,10.4,0.425,1.2,3.7,0.326,3.5,4.9,0.705,1.7,1.8,0.8,3.5,4.3,1.7,0.9,0.2,13.6
9,10,Nemanja Nedovic,UNI,34,21.8,4.5,10.8,0.41600000000000004,1.9,5.4,0.363,2.6,3.1,0.846,2.1,1.6,0.2,1.2,1.4,3.8,0.6,0.1,13.5
