,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
13,14,Aaron Doornekamp,CAN,35,26.5,4.0,8.5,0.47200000000000003,2.5,5.8,0.426,1.7,2.0,0.8590000000000001,0.9,2.9,1.0,3.2,4.2,1.5,0.8,0.2,12.3
14,15,Jaycee Carroll,RMB,41,19.8,4.3,8.7,0.493,2.0,4.8,0.41100000000000003,1.6,1.6,0.955,1.0,2.0,0.7,1.0,1.7,0.7,0.6,0.1,12.1
15,16,Vitor Benite,MUR,32,21.9,4.2,9.9,0.429,2.1,5.2,0.401,1.5,1.8,0.797,1.1,2.7,0.3,1.7,2.0,1.2,0.5,0.0,12.1
16,17,Kyle Kuric,GCN,35,21.9,4.1,8.8,0.46,2.1,5.4,0.39899999999999997,1.8,2.1,0.838,0.9,1.5,0.7,1.9,2.6,0.8,0.6,0.1,12.0
17,18,Adam Hanga,CAJ,37,28.0,4.3,8.8,0.489,1.3,3.8,0.33799999999999997,1.9,2.6,0.75,1.8,2.4,0.7,3.5,4.2,2.4,1.4,0.6,11.8
18,19,Tyrese Rice,FCB,34,25.4,3.9,9.7,0.40299999999999997,1.4,4.9,0.28300000000000003,2.6,3.2,0.807,2.5,2.4,0.2,1.2,1.4,3.3,0.7,0.0,11.8
19,20,Ivan Buva,BBB,32,19.4,4.5,8.3,0.547,0.4,1.2,0.342,2.2,2.9,0.7659999999999999,1.5,2.2,2.2,3.0,5.2,0.3,0.6,0.3,11.7
20,21,Shayne Whittington,OBR,31,22.2,4.5,8.7,0.52,1.2,2.7,0.447,1.4,1.9,0.7290000000000001,1.5,2.4,1.7,3.8,5.5,0.5,0.7,0.5,11.7
21,22,Martynas Gecevicius,ZAR,27,26.7,3.4,8.4,0.40700000000000003,2.5,6.7,0.374,2.0,2.1,0.9470000000000001,1.3,1.4,0.4,1.9,2.3,2.3,0.4,0.1,11.3
22,23,Trent Lockett,ENER,31,28.1,4.2,8.9,0.475,1.1,2.7,0.39299999999999996,1.8,2.6,0.679,1.7,2.4,1.8,3.5,5.3,1.5,1.2,0.4,11.3
23,24,Mickey McConnell,OBR,29,28.1,3.9,8.8,0.445,0.8,2.5,0.301,2.7,3.0,0.895,2.8,2.3,0.3,1.7,2.0,6.4,1.0,0.0,11.2
24,25,Luka Bogdanovic,JOV,32,28.6,3.8,9.0,0.429,2.3,5.8,0.405,1.0,1.3,0.78,0.9,1.2,0.7,2.4,3.0,1.0,0.6,0.1,11.0
25,26,Rodrigue Beaubois,CAJ,33,20.6,4.3,9.4,0.45299999999999996,1.3,4.6,0.28800000000000003,1.0,1.3,0.7859999999999999,1.5,2.6,0.4,1.4,1.8,1.9,0.5,0.1,10.9
26,27,Vojdan Stojanovski,ENER,32,23.8,4.0,8.0,0.496,1.1,2.5,0.43200000000000005,1.8,2.2,0.855,0.9,3.0,0.5,1.4,2.0,1.2,0.8,0.1,10.9
27,28,Jamar Smith,UNI,38,21.8,4.0,9.0,0.449,1.8,4.4,0.419,0.8,0.9,0.879,1.3,2.3,0.2,1.2,1.4,2.4,0.8,0.1,10.7
28,29,Billy Baron,MUR,32,22.2,3.5,8.6,0.406,1.9,5.3,0.359,1.7,1.8,0.932,1.3,2.2,0.5,1.4,1.9,1.4,0.5,0.0,10.6
29,30,Pere Tomas,MAN,32,27.2,3.5,7.3,0.479,1.1,2.9,0.38299999999999995,2.5,3.1,0.8,1.2,2.4,1.7,2.7,4.4,1.2,0.8,0.2,10.6
30,31,Scott Suggs,MAN,31,25.1,3.9,10.3,0.375,1.8,5.7,0.312,0.9,0.9,0.966,1.5,2.3,0.4,1.7,2.1,0.9,0.5,0.0,10.4
31,32,Jerome Jordan,JOV,26,22.9,3.6,6.1,0.591,0.0,0.0,0.0,3.2,4.0,0.7879999999999999,2.0,3.0,1.8,3.8,5.6,1.0,0.9,0.8,10.4
32,33,Ivan Paunic,MON,29,24.0,3.8,9.1,0.42,0.9,3.2,0.293,1.8,2.5,0.6990000000000001,1.5,2.0,0.7,1.7,2.4,1.2,0.7,0.0,10.3
33,34,Deividas Dulkys,OBR,29,26.8,3.6,9.3,0.381,2.3,6.4,0.353,0.9,1.2,0.7709999999999999,1.6,2.6,0.5,2.0,2.5,2.6,0.7,0.1,10.3
34,35,Beka Burjanadze,AND,29,21.0,3.3,6.6,0.505,1.1,2.7,0.41600000000000004,2.6,3.2,0.815,0.8,2.1,1.1,3.1,4.2,1.2,0.8,0.2,10.3
35,36,Fernando San Emeterio,VAL,43,23.2,3.3,7.4,0.451,0.9,2.5,0.361,2.7,3.3,0.8290000000000001,1.6,1.0,0.4,2.2,2.6,2.2,0.4,0.0,10.3
36,37,Henk Norel,ZAR,29,23.5,4.4,7.1,0.614,0.0,0.0,0.0,1.4,1.9,0.764,1.3,2.8,2.4,3.8,6.1,1.1,0.3,0.7,10.2
37,38,Bo McCalebb,GCN,35,21.2,3.9,8.0,0.484,0.4,1.7,0.22,2.0,2.7,0.763,1.9,1.7,0.6,1.1,1.6,3.5,0.8,0.0,10.2
38,39,Alberto Abalde,JOV,31,23.9,4.0,8.7,0.45899999999999996,0.9,2.8,0.31,1.2,1.8,0.691,1.3,1.9,1.0,2.5,3.5,1.8,0.8,0.1,10.1
39,40,Davin White,CAN,35,22.7,3.1,8.5,0.364,1.7,5.1,0.33899999999999997,2.0,2.4,0.833,1.7,2.2,0.2,1.2,1.3,4.3,0.6,0.0,9.9
40,41,Dejan Musli,UNI,34,19.9,4.1,7.5,0.539,0.0,0.0,0.0,1.8,3.0,0.588,1.8,1.5,1.6,3.2,4.8,1.1,0.4,0.4,9.9
41,42,Jonathan Tabu,BBB,28,22.8,3.2,7.9,0.41200000000000003,1.7,4.4,0.379,1.7,2.1,0.797,2.0,2.8,0.5,1.7,2.2,3.6,1.0,0.1,9.9
42,43,Albert Sabat,JOV,32,24.2,3.0,6.8,0.445,2.3,5.3,0.444,1.4,1.6,0.92,1.7,2.6,0.2,1.5,1.7,3.3,0.6,0.0,9.8
43,44,David Jelinek,AND,35,20.9,3.7,8.5,0.431,1.2,3.5,0.336,1.3,1.6,0.789,1.8,2.3,0.2,1.7,1.9,1.7,0.5,0.1,9.8
44,45,Oliver Stevic,AND,32,17.6,3.7,6.1,0.605,0.0,0.1,0.0,2.3,3.3,0.701,1.0,3.1,1.6,2.8,4.5,0.8,0.5,0.1,9.7
45,46,Eimantas Bendzius,OBR,32,27.6,2.8,7.6,0.369,1.2,4.3,0.28800000000000003,2.8,3.0,0.9279999999999999,1.5,1.9,1.2,3.2,4.4,0.8,0.7,0.2,9.7
46,47,Patrik Auda,MAN,25,23.9,3.5,6.6,0.527,0.7,1.4,0.486,1.9,2.4,0.8140000000000001,1.2,2.2,1.0,3.0,3.9,0.8,0.4,0.0,9.6
47,48,Micheal Eric,BBB,30,20.0,3.9,6.2,0.62,0.0,0.0,0.0,1.8,2.9,0.616,1.8,3.1,2.4,3.2,5.6,0.3,0.4,0.8,9.5
48,49,Isaac Fotu,ZAR,32,25.0,3.8,6.4,0.603,0.1,0.7,0.087,1.8,3.0,0.589,0.8,1.8,2.0,3.7,5.7,0.7,0.6,0.2,9.5
49,50,Artem Pustovyi,OBR,32,19.4,4.0,6.0,0.6629999999999999,0.0,0.0,0.0,1.3,2.0,0.6829999999999999,1.7,3.0,1.4,1.9,3.3,0.3,0.4,1.0,9.3
50,51,Kyle Fogg,UNI,37,16.0,2.6,5.6,0.45899999999999996,1.3,2.9,0.44,2.9,3.4,0.843,1.4,2.0,0.5,1.7,2.2,2.1,0.7,0.1,9.3
51,52,Nikola Radicevic,ENER,28,24.9,3.4,9.1,0.374,0.8,3.1,0.256,1.7,2.3,0.75,2.0,2.2,0.3,2.1,2.4,2.7,0.9,0.0,9.3
52,53,Sergi Vidal,JOV,31,28.2,3.1,7.5,0.408,1.2,3.4,0.349,1.9,2.4,0.773,1.9,1.5,0.6,2.8,3.4,3.2,1.1,0.1,9.2
53,54,David Walker,AND,35,25.9,3.1,6.9,0.45,1.7,4.2,0.418,1.0,1.3,0.7659999999999999,1.2,1.3,0.5,2.1,2.6,1.4,0.6,0.2,9.0
54,55,Paco Cruz,MON,31,19.4,3.6,8.1,0.442,0.8,2.7,0.28600000000000003,1.0,1.3,0.769,2.0,2.3,0.5,1.1,1.5,2.0,0.6,0.0,8.9
55,56,Gustavo Ayon,RMB,38,21.4,3.8,5.8,0.655,0.0,0.1,0.5,1.2,1.9,0.635,1.3,2.4,2.0,4.4,6.4,1.7,0.9,0.8,8.8
56,57,Aleksandar Vezenkov,FCB,35,18.8,3.2,6.1,0.528,1.1,3.0,0.35600000000000004,1.2,1.5,0.843,0.8,2.2,0.9,2.1,3.1,0.8,0.5,0.3,8.7
57,58,Nemanja Radovic,MUR,30,18.6,3.5,6.8,0.507,0.5,1.4,0.341,1.3,1.7,0.731,1.2,1.9,1.4,2.5,3.9,0.6,0.6,0.2,8.7
58,59,Goran Suton,EST,32,24.5,3.3,7.2,0.45299999999999996,1.2,3.3,0.377,0.8,1.5,0.5529999999999999,1.2,3.0,1.7,4.5,6.2,1.2,0.9,0.4,8.6
59,60,Pablo Aguilar,GCN,32,18.3,3.1,6.3,0.493,1.2,3.3,0.381,1.1,1.6,0.6729999999999999,0.9,0.9,1.3,2.8,4.1,1.0,1.1,0.4,8.5
60,61,Eulis Baez,GCN,34,20.4,3.1,5.9,0.522,0.6,1.7,0.322,1.8,2.4,0.723,1.4,2.0,1.3,2.3,3.6,1.1,0.9,0.2,8.5
61,62,Rafa Martinez,VAL,42,20.0,2.5,5.3,0.475,1.8,3.6,0.49,1.6,2.0,0.802,1.1,1.7,0.1,1.2,1.2,1.8,0.3,0.0,8.4
62,63,Petteri Koponen,FCB,30,21.4,2.9,6.6,0.447,1.1,3.1,0.348,1.4,1.6,0.915,1.3,1.8,0.3,1.7,2.1,2.3,0.8,0.1,8.4
63,64,Aleksandar Cvetkovic,MAN,24,19.4,2.2,5.9,0.366,1.2,3.4,0.358,2.6,2.8,0.912,1.4,2.5,0.3,0.8,1.1,2.4,0.8,0.0,8.1
64,65,Antoine Diot,VAL,38,22.3,2.7,6.8,0.397,1.1,3.4,0.336,1.6,2.0,0.813,1.9,2.3,0.4,1.7,2.1,4.1,1.2,0.1,8.1
65,66,Adam Waczynski,UNI,30,18.5,2.9,5.8,0.49700000000000005,1.6,3.6,0.439,0.6,1.0,0.633,0.8,1.8,1.0,1.5,2.4,1.0,0.6,0.1,8.0
66,67,Anthony Randolph,RMB,37,19.5,3.0,6.8,0.44,0.8,2.8,0.304,1.1,1.7,0.6509999999999999,1.0,1.9,0.9,3.0,3.9,0.8,0.8,1.1,7.9
67,68,Jamar Wilson,EST,30,16.1,2.6,6.0,0.439,0.7,2.1,0.312,2.0,2.3,0.87,1.2,2.1,0.5,0.9,1.4,1.5,0.6,0.0,7.9
68,69,Jaime Fernandez,EST,31,17.8,2.7,7.0,0.384,0.7,2.6,0.287,1.8,2.1,0.848,1.0,1.9,0.4,1.5,1.8,1.6,0.9,0.0,7.9
69,70,Anzejs Pasecniks,GCN,35,16.5,3.1,4.7,0.657,0.2,0.3,0.583,1.4,2.3,0.62,0.7,1.9,1.2,1.9,3.1,0.3,0.4,0.7,7.8
70,71,Stratos Perperoglou,FCB,29,20.5,3.0,7.0,0.426,0.9,3.2,0.29,0.9,1.6,0.6,1.1,2.4,0.4,2.2,2.6,1.2,0.7,0.1,7.8
71,72,Thanasis Antetokounmpo,AND,33,17.5,2.8,6.2,0.456,0.4,1.7,0.23199999999999998,1.7,3.1,0.5539999999999999,1.5,3.0,1.1,2.7,3.8,0.8,0.6,0.9,7.8
72,73,Jose Angel Antelo,MUR,32,19.7,2.6,6.4,0.41,1.0,3.2,0.32,1.5,1.8,0.857,1.1,2.1,1.3,2.8,4.2,0.4,0.5,0.1,7.8
73,74,Joe Trapani,MAN,30,19.9,2.8,6.4,0.44299999999999995,0.6,2.2,0.262,1.5,2.0,0.746,0.9,2.5,1.1,2.7,3.8,1.0,0.8,0.1,7.7
74,75,Georgios Bogris,CAN,35,19.8,3.6,6.5,0.557,0.0,0.1,0.0,0.4,0.8,0.48100000000000004,0.9,2.5,1.3,2.7,3.9,0.9,0.5,0.2,7.6
75,76,Pierre Oriola,VAL,41,15.0,3.0,5.0,0.594,0.1,0.5,0.316,1.4,2.0,0.6990000000000001,0.9,2.2,1.0,2.1,3.2,0.5,0.3,0.2,7.6
76,77,Rolands Smits,MON,32,21.5,2.8,6.8,0.41600000000000004,0.7,2.6,0.28,1.1,1.6,0.6729999999999999,1.5,2.4,1.4,2.4,3.9,0.5,0.3,0.2,7.5
77,78,Royce O'Neale,GCN,35,19.9,2.9,6.7,0.436,0.7,2.1,0.33299999999999996,0.9,1.0,0.889,1.7,2.5,1.4,3.6,5.0,2.1,0.7,0.2,7.5
78,79,Luka Doncic,RMB,42,19.8,2.6,5.9,0.441,0.8,2.7,0.295,1.5,1.9,0.785,1.8,1.2,1.0,3.5,4.4,3.0,0.6,0.3,7.5
79,80,Marjan Cakarun,MAN,32,19.7,3.0,5.9,0.505,0.0,0.1,0.0,1.4,2.0,0.698,1.0,2.4,1.5,2.8,4.3,1.0,0.5,0.1,7.4
80,81,Johannes Voigtmann,CAJ,39,21.6,2.9,5.8,0.502,0.7,2.1,0.317,0.8,1.3,0.647,1.3,2.5,1.7,3.8,5.5,1.7,0.8,0.5,7.4
81,82,Joan Sastre,VAL,40,20.5,2.4,5.4,0.447,0.8,2.4,0.32,1.7,2.3,0.7390000000000001,1.1,1.7,0.7,1.2,1.9,1.7,0.9,0.2,7.3
82,83,Luke Sikma,VAL,43,19.9,2.9,5.2,0.5579999999999999,0.4,1.2,0.321,1.0,1.4,0.746,1.3,2.5,1.7,3.5,5.3,2.0,1.1,0.3,7.2
83,84,Blagota Sekulic,MON,26,19.2,2.9,5.2,0.5670000000000001,0.1,0.3,0.375,1.2,1.8,0.638,1.1,2.0,1.8,2.8,4.6,1.1,0.6,0.3,7.1
84,85,Brad Oleson,FCB,32,20.9,2.4,4.3,0.561,1.3,2.7,0.48200000000000004,0.9,1.0,0.875,1.1,1.8,0.6,1.3,1.9,1.6,0.6,0.1,7.0
85,86,Carlos Suarez,UNI,38,22.4,1.9,4.6,0.42,0.8,2.4,0.33299999999999996,2.2,2.4,0.902,0.9,1.3,1.3,2.9,4.3,2.4,0.7,0.1,6.9
86,87,Jeff Brooks,UNI,38,20.5,2.9,5.8,0.493,0.4,1.4,0.278,0.8,0.9,0.8290000000000001,0.9,2.4,1.4,2.6,4.0,1.0,0.6,0.3,6.9
87,88,Andrew Albicy,AND,35,27.0,2.1,6.8,0.307,1.0,3.5,0.295,1.7,2.4,0.7020000000000001,2.4,2.5,0.1,1.4,1.5,6.2,1.5,0.0,6.9
88,89,Sasu Salin,GCN,33,18.9,2.1,6.1,0.35,1.6,4.7,0.344,0.9,1.2,0.795,0.4,1.9,0.4,1.6,2.0,1.0,0.9,0.0,6.8
89,90,Rudy Fernandez,RMB,38,20.9,2.2,6.3,0.34700000000000003,1.2,4.0,0.301,1.2,1.4,0.846,1.1,1.4,0.5,1.6,2.1,2.6,1.0,0.2,6.7
90,91,Will Thomas,VAL,43,19.3,2.5,5.0,0.502,0.8,2.0,0.39799999999999996,0.8,0.9,0.9229999999999999,0.6,1.2,1.3,2.9,4.3,0.7,0.5,0.1,6.7
91,92,Rodrigo San Miguel,CAN,35,23.8,2.0,4.8,0.42,1.2,3.0,0.406,1.3,1.8,0.7340000000000001,1.7,2.4,0.3,2.1,2.5,2.5,0.8,0.1,6.6
92,93,Tim Abromaitis,CAN,29,18.9,2.2,5.0,0.444,1.0,2.7,0.377,1.2,1.4,0.875,0.9,2.0,1.0,2.9,3.9,0.7,0.3,0.4,6.6
93,94,Tomas Bellas,ZAR,30,27.5,2.2,6.1,0.368,0.5,2.2,0.24600000000000002,1.6,2.1,0.75,1.9,2.9,0.5,1.4,1.9,5.1,1.1,0.0,6.6
94,95,Albert Oliver,GCN,35,18.5,2.0,5.4,0.365,0.8,2.5,0.326,1.8,2.0,0.899,1.8,1.9,0.4,1.2,1.5,4.6,0.7,0.0,6.5
95,96,Axel Hervelle,BBB,32,25.7,2.4,6.3,0.379,1.0,3.3,0.29,0.8,1.0,0.774,1.5,2.9,1.7,3.7,5.4,1.9,0.9,0.2,6.5
96,97,Kim Tillie,CAJ,37,19.4,2.4,5.1,0.48100000000000004,0.9,2.2,0.39799999999999996,0.6,0.9,0.727,0.9,2.1,1.1,2.4,3.5,0.6,0.7,0.2,6.4
97,98,Richard Hendrix,GCN,31,14.9,2.6,4.7,0.5660000000000001,0.1,0.3,0.33299999999999996,1.0,1.3,0.795,1.0,2.3,1.6,2.6,4.2,1.0,1.0,0.5,6.4
98,99,Adas Juskevicius,ZAR,25,19.2,2.1,5.2,0.41100000000000003,1.3,3.5,0.379,0.8,1.0,0.769,1.1,1.8,0.2,1.2,1.4,1.4,0.3,0.2,6.4
99,100,Ian O'Leary,MON,31,19.7,2.3,4.9,0.461,0.5,1.7,0.278,1.4,2.2,0.627,0.7,2.0,1.5,2.6,4.1,0.7,0.6,0.2,6.4
