,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Edwin Jackson,EST,32,30.3,7.1,14.3,0.495,2.1,5.5,0.373,5.1,5.9,0.868,2.8,2.3,0.5,3.0,3.5,3.4,1.0,0.0,21.4
1,2,Sergio Llull,RMB,40,26.8,5.6,12.9,0.435,2.1,6.3,0.33899999999999997,3.1,3.9,0.8009999999999999,1.4,1.2,0.2,1.4,1.6,5.4,0.6,0.0,16.4
2,3,Giorgi Shermadini,AND,35,25.9,5.5,8.7,0.628,0.0,0.1,0.0,4.8,6.1,0.7929999999999999,2.2,2.5,1.9,5.7,7.6,0.8,0.8,0.7,15.7
3,4,Scott Bamforth,BBB,23,26.6,4.4,9.3,0.474,2.0,5.2,0.392,3.7,4.0,0.903,1.7,2.3,0.6,2.8,3.4,3.0,0.7,0.0,14.5
4,5,Stevan Jelovac,ZAR,32,24.2,4.1,10.3,0.401,1.2,4.1,0.303,4.8,5.7,0.851,1.9,2.8,1.2,3.8,5.0,0.8,0.4,0.1,14.3
5,6,Facundo Campazzo,MUR,31,28.5,4.7,11.9,0.392,1.9,6.0,0.31,2.9,3.6,0.802,2.6,3.1,0.4,2.4,2.8,5.9,1.6,0.0,14.1
6,7,Shane Larkin,CAJ,37,28.0,4.5,10.7,0.42,1.6,5.3,0.313,3.4,3.9,0.882,2.6,2.3,0.5,2.6,3.1,4.9,1.4,0.2,14.1
7,8,Robin Benzing,ZAR,32,27.4,4.2,10.0,0.41700000000000004,1.6,4.9,0.327,3.8,4.3,0.863,1.7,2.7,0.7,2.6,3.2,1.3,0.9,0.3,13.7
8,9,Nemanja Nedovic,UNI,31,20.6,4.6,8.8,0.52,2.0,4.6,0.424,2.4,2.8,0.8490000000000001,2.1,2.0,0.3,1.3,1.5,3.4,0.5,0.1,13.5
9,10,Alex Mumbru,BBB,32,27.9,4.4,11.3,0.392,1.7,5.2,0.327,2.3,3.1,0.747,2.3,2.5,0.7,3.5,4.2,3.2,1.1,0.1,12.9
10,11,Bojan Dubljevic,VAL,39,21.5,4.5,9.4,0.48200000000000004,0.8,2.4,0.326,2.6,3.2,0.823,1.9,1.9,1.7,4.1,5.8,1.6,0.6,0.2,12.5
11,12,Bostjan Nachbar,ENER,25,23.4,4.3,10.0,0.426,1.4,3.9,0.371,2.4,2.8,0.884,1.7,2.4,0.7,3.3,4.0,0.9,0.5,0.1,12.4
12,13,Ante Tomic,FCB,35,23.1,4.8,7.5,0.633,0.0,0.1,0.5,2.8,4.4,0.6409999999999999,1.3,2.3,2.0,5.8,7.7,2.1,0.5,0.5,12.4
