,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
230,E.J. Rowland,G,6-3,205,Montakit Fuenlabrada,Salinas (CA),"2005 NBA Draft, Undrafted",United StatesBulgaria
231,Jordan Sakho,C,6-10,220,ICL Manresa,Kinshasa,"2019 NBA Draft, Undrafted",Democratic Republic of the CongoSpain
232,Dusan Sakota,FC,6-10,222,UCAM Murcia,Belgrade,"2008 NBA Draft, Undrafted",SerbiaGreece
233,Sasu Salin,SG,6-3,191,Iberostar Tenerife,Helsinki,"2013 NBA Draft, Undrafted",Finland
234,Miquel Salvo,F,6-9,198,San Pablo Inmobiliaria Burgos,Tarragona,"2016 NBA Draft, Undrafted",Spain
235,Ziga Samar,PG,6-6,184,Montakit Fuenlabrada,Emporia (VA),2023 NBA Draft Eligible,Slovenia
236,Fernando San Emeterio,GF,6-6,232,Valencia Basket,Santander,"2006 NBA Draft, Undrafted",Spain
237,Rodrigo San Miguel,PG,6-3,194,Tecnyconta Zaragoza,Zaragoza,"2007 NBA Draft, Undrafted",Spain
238,Duda Sanadze,F,6-5,220,Montakit Fuenlabrada,Tbilisi,"2016 NBA Draft, Undrafted",Georgia
239,Pablo Sanchez,PG,6-4,-,Unicaja Malaga,,2024 NBA Draft Eligible,Spain
240,Fabio Santana,PG,6-2,185,Herbalife Gran Canaria,Las Palmas de Gran Canaria,"2014 NBA Draft, Undrafted",Spain
241,Joan Sastre,SF,6-7,200,Valencia Basket,Inca,"2013 NBA Draft, Undrafted",Spain
242,Thomas Schreiner,PG,6-5,194,RETAbet Bilbao Basket,St. Polten,"2009 NBA Draft, Undrafted",Austria
243,Philip Scrubb,SG,6-3,185,Movistar Estudiantes,Vancouver,"2014 NBA Draft, Undrafted",Canada
244,D.J. Seeley,G,6-4,195,Tecnyconta Zaragoza,Redding (CA),"2013 NBA Draft, Undrafted",United States
245,Renaldas Seibutis,SG,6-5,176,Tecnyconta Zaragoza,Sventoji,2007 Rnd 2 Pick 20,Lithuania
246,Jeremy Senglin,G,6-0,190,MoraBanc Andorra,Kansas City (MO),"2017 NBA Draft, Undrafted",United States
247,Quentin Serron,SG,6-2,205,RETAbet Bilbao Basket,Etterbeek,"2012 NBA Draft, Undrafted",Belgium
248,Tornike Shengelia,PF,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Tbilisi,2012 Rnd 2 Pick 24,Georgia
249,Giorgi Shermadini,C,7-1,250,Iberostar Tenerife,Natakhtari,"2011 NBA Draft, Undrafted",Georgia
250,Shavon Shields,GF,6-7,225,KIROLBET Baskonia Vitoria-Gasteiz,Olathe (KS),"2016 NBA Draft, Undrafted",United States
251,John Shurna,F,6-9,215,Herbalife Gran Canaria,Glen Ellyn (IL),"2012 NBA Draft, Undrafted",United States
252,Njegos Sikiras,F,6-8,210,Montakit Fuenlabrada,Pale,2021 NBA Draft Eligible,Bosnia and Herzegovina
253,Yankuba Sima,C,6-11,225,ICL Manresa,Girona,"2018 NBA Draft, Undrafted",Spain
254,Marko Simonovic,SF,6-8,220,Unicaja Malaga,Pristina,"2008 NBA Draft, Undrafted",KosovoSerbia
255,Kyle Singler,F,6-8,228,Iberostar Tenerife,Medford (OR),2011 Rnd 2 Pick 3,United States
256,Kenan Sipahi,PG,6-6,195,Real Betis Energia Plus,Pristina,"2017 NBA Draft, Undrafted",KosovoTurkey
257,A.J. Slaughter,G,6-4,185,Real Betis Energia Plus,Shelbyville (KY),"2010 NBA Draft, Undrafted",United StatesPoland
258,Rolands Smits,SF,6-10,235,FC Barcelona Lassa,Valmiera,"2017 NBA Draft, Undrafted",Latvia
259,Adams Sola,G,6-5,165,Movistar Estudiantes,Leganes,2022 NBA Draft Eligible,Spain
260,Khadim Sow,C,6-11,250,Movistar Estudiantes,Yeumbeul,2021 NBA Draft Eligible,Senegal
261,Matteo Spagnolo,SG,6-4,185,Real Madrid,Brindisi,2025 NBA Draft Eligible,Italy
262,Nick Spires,F,6-9,215,Rio Natura Monbus Obradoiro,Royal Tunbridge Wells,"2016 NBA Draft, Undrafted",EnglandSweden
263,Nik Stauskas,SG,6-6,205,KIROLBET Baskonia Vitoria-Gasteiz,Mississauga,2014 Rnd 1 Pick 8,Canada
264,Oliver Stevic,FC,6-10,220,Divina Seguros Joventut,Belgrade,"2006 NBA Draft, Undrafted",Serbia
265,Morgan Stilma,C,6-8,-,Unicaja Malaga,,2022 NBA Draft Eligible,Netherlands
266,Alex Suarez,PF,6-10,214,Iberostar Tenerife,Mahon,"2015 NBA Draft, Undrafted",Spain
267,Carlos Suarez,SF,6-8,233,Unicaja Malaga,Madrid,"2008 NBA Draft, Undrafted",Spain
268,Emir Sulejmanovic,PF,6-9,220,RETAbet Bilbao Basket,Zepa,"2017 NBA Draft, Undrafted",Bosnia and Herzegovina
269,Bandja Sy,F,6-8,214,MoraBanc Andorra,Paris,"2013 NBA Draft, Undrafted",France
270,Ismael Tamba,PF,6-8,226,Unicaja Malaga,,2023 NBA Draft Eligible,Spain
271,Edy Tavares,C,7-3,265,Real Madrid,Maio,2014 Rnd 2 Pick 13,Cape Verde
272,Jeffery Taylor,SF,6-7,225,Real Madrid,Norrkoping,2012 Rnd 2 Pick 1,Sweden
273,Matt Thomas,G,6-5,190,Valencia Basket,Onalaska (WI),"2017 NBA Draft, Undrafted",United States
274,Trey Thompkins,PF,6-10,245,Real Madrid,Lithonia (GA),2011 Rnd 2 Pick 7,United States
275,Deon Thompson,PF,6-8,250,Unicaja Malaga,Torrance (CA),"2010 NBA Draft, Undrafted",United StatesIvory Coast
276,Jason Thompson,PF,6-11,250,Tecnyconta Zaragoza,Camden (NJ),2008 Rnd 1 Pick 12,United States
277,Boris Tisma,SF,6-7,153,Real Madrid,Zagreb,2024 NBA Draft Eligible,Croatia
278,Mike Tobey,C,7-0,260,Valencia Basket,Monroe (NY),"2016 NBA Draft, Undrafted",United States
279,Dejan Todorovic,SG,6-6,196,MoraBanc Andorra,Mrkonjic Grad,"2016 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
280,J.P. Tokoto,GF,6-6,200,San Pablo Inmobiliaria Burgos,Menomonee Falls (WI),2015 Rnd 2 Pick 28,United States
281,Pere Tomas,SF,6-6,198,ICL Manresa,Llucmajor,"2011 NBA Draft, Undrafted",Spain
282,Ante Tomic,C,7-1,225,FC Barcelona Lassa,Dubrovnik,2008 Rnd 2 Pick 14,Croatia
283,Ryan Toolson,SG,6-4,190,ICL Manresa,Gilbert (AZ),"2009 NBA Draft, Undrafted",United States
284,Axel Toupane,SG,6-7,210,Unicaja Malaga,Mulhouse,"2014 NBA Draft, Undrafted",France
285,Marques Townes,G,6-4,208,UCAM Murcia,Edison (NJ),"2019 NBA Draft, Undrafted",United States
286,Melo Trimble,G,6-3,195,Movistar Estudiantes,Upper Marlboro (MD),"2017 NBA Draft, Undrafted",United States
287,Kevin Tumba,PF,6-9,245,UCAM Murcia,Lubumbashi,"2013 NBA Draft, Undrafted",Democratic Republic of the CongoBelgium
288,Alex Urtasun,G,6-4,187,Montakit Fuenlabrada,Pamplona,"2006 NBA Draft, Undrafted",Spain
289,Sam Van Rossom,PG,6-2,180,Valencia Basket,Ghent,"2008 NBA Draft, Undrafted",Belgium
290,Kostas Vasiliadis,F,6-7,225,Rio Natura Monbus Obradoiro,Thessaloniki,"2006 NBA Draft, Undrafted",Greece
291,Juan Vaulet,F,6-6,200,ICL Manresa,Cordoba,2015 Rnd 2 Pick 9,Argentina
292,Fran Vazquez,FC,6-10,230,Tecnyconta Zaragoza,Lugo,2005 Rnd 1 Pick 11,Spain
293,Javier Vega,FC,6-8,220,San Pablo Inmobiliaria Burgos,Madrid,"2010 NBA Draft, Undrafted",Spain
294,Albert Ventura,SG,6-5,180,Divina Seguros Joventut,Badalona,"2014 NBA Draft, Undrafted",Spain
295,Edgar Vicedo,SF,6-8,200,Movistar Estudiantes,Madrid,"2016 NBA Draft, Undrafted",Spain
296,Sergi Vidal,GF,6-7,200,Montakit Fuenlabrada,Badalona,"2003 NBA Draft, Undrafted",Spain
297,Luca Vildoza,PG,6-3,190,KIROLBET Baskonia Vitoria-Gasteiz,Buenos Aires,"2017 NBA Draft, Undrafted",Argentina
298,Guillem Vives,PG,6-3,172,Valencia Basket,Barcelona,"2015 NBA Draft, Undrafted",Spain
299,Adam Waczynski,GF,6-6,210,Unicaja Malaga,Torun,"2011 NBA Draft, Undrafted",Poland
300,David Walker,GF,6-6,200,MoraBanc Andorra,Stow (OH),"2016 NBA Draft, Undrafted",United States
301,Aaron White,F,6-9,220,Iberostar Tenerife,Strongsville (OH),2015 Rnd 2 Pick 19,United States
302,Shayne Whittington,C,6-11,245,Real Betis Energia Plus,Paw Paw (MI),"2014 NBA Draft, Undrafted",United StatesNorth Macedonia
303,Scott Wood,SF,6-6,175,Montakit Fuenlabrada,Marion (IN),"2013 NBA Draft, Undrafted",United States
304,Tony Wroten,PG,6-6,205,Divina Seguros Joventut,Renton (WA),2012 Rnd 1 Pick 25,United States
305,Santiago Yusta,SF,6-6,183,Iberostar Tenerife,Madrid,"2019 NBA Draft, Undrafted",Spain
306,Arturs Zagars,PG,6-3,172,Divina Seguros Joventut,Riga,2022 NBA Draft Eligible,Latvia
307,Nick Zeisloft,G,6-4,185,Iberostar Tenerife,LaGrange (IL),"2016 NBA Draft, Undrafted",United States
308,Nikos Zisis,PG,6-5,207,Divina Seguros Joventut,Thessaloniki,"2005 NBA Draft, Undrafted",Greece
