,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
0,Alberto Abalde,GF,6-7,215,Divina Seguros Joventut,A Coruna,"2017 NBA Draft, Undrafted",Spain
1,Thomas Abercrombie,F,6-6,207,Delteco GBC,Auckland,"2011 NBA Draft, Undrafted",New Zealand
2,Alex Abrines,GF,6-6,190,FC Barcelona Lassa,Palma,2013 Rnd 2 Pick 2,Spain
3,Darius Adams,PG,6-1,165,KIROLBET Baskonia Vitoria-Gasteiz,Decatur (IL),"2011 NBA Draft, Undrafted",United States
4,Pablo Aguilar,PF,6-8,235,Valencia Basket,Granada,"2011 NBA Draft, Undrafted",Spain
5,Deji Akindele,C,7-1,240,Montakit Fuenlabrada,Lagos,"2005 NBA Draft, Undrafted",Nigeria
6,Oscar Alvarado,PG,6-0,172,Herbalife Gran Canaria,Las Palmas de Gran Canaria,"2013 NBA Draft, Undrafted",Spain
7,Danilo Andjusic,SG,6-4,200,RETAbet Bilbao Basket,Belgrade,"2013 NBA Draft, Undrafted",Serbia
8,Nil Angelats,G,6-1,178,ICL Manresa,Girona,"2015 NBA Draft, Undrafted",Spain
9,Jose Angel Antelo,PF,6-8,220,UCAM Murcia,Santiago De Compostela,"2009 NBA Draft, Undrafted",Spain
10,Pietro Aradori,SG,6-4,210,Movistar Estudiantes,Brescia,"2010 NBA Draft, Undrafted",Italy
11,Victor Arteaga,C,7-0,214,UCAM Murcia,Cuenca,"2014 NBA Draft, Undrafted",Spain
12,Gustavo Ayon,C,6-10,250,Real Madrid,Tepic,"2007 NBA Draft, Undrafted",Mexico
13,Eulis Baez,PF,6-7,225,Herbalife Gran Canaria,Santo Domingo,"2005 NBA Draft, Undrafted",Dominican Republic
14,Ondrej Balvin,C,7-1,215,Real Betis Energia Plus,Usti Nad Labem,"2014 NBA Draft, Undrafted",Czech Republic
15,Scott Bamforth,SG,6-2,190,UCAM Murcia,Albuquerque (NM),"2013 NBA Draft, Undrafted",United StatesKosovo
16,Jimmy Baron,G,6-3,195,Montakit Fuenlabrada,East Greenwich (CT),"2009 NBA Draft, Undrafted",United States
17,Alex Barrera,SG,6-7,180,Divina Seguros Joventut,Esplugues De Llobregat,"2014 NBA Draft, Undrafted",Spain
18,Mouhamed Barro,PF,6-9,230,Herbalife Gran Canaria,Dakar,"2017 NBA Draft, Undrafted",Senegal
19,Mirza Begic,C,7-3,265,KIROLBET Baskonia Vitoria-Gasteiz,Bijeljina,"2007 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
20,Javier Beiran,SF,6-6,200,Iberostar Tenerife,Madrid,"2009 NBA Draft, Undrafted",Spain
21,Romaric Belemene,SF,6-9,205,Unicaja Malaga,Pointe-Noire,"2019 NBA Draft, Undrafted",Republic of the Congo
22,Tomas Bellas,PG,6-1,198,Herbalife Gran Canaria,Madrid,"2009 NBA Draft, Undrafted",Spain
23,Dairis Bertans,SG,6-4,190,RETAbet Bilbao Basket,Valmiera,"2011 NBA Draft, Undrafted",Latvia
24,Davis Bertans,SF,6-10,225,KIROLBET Baskonia Vitoria-Gasteiz,Valmiera,2011 Rnd 2 Pick 12,Latvia
