,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
25,Stefan Bircevic,PF,6-11,210,Movistar Estudiantes,Lazarevac,"2011 NBA Draft, Undrafted",Serbia
26,Carles Bivia,SG,6-2,192,ICL Manresa,Alginet,"2007 NBA Draft, Undrafted",Spain
27,Marc Blanch,SF,6-5,176,MoraBanc Andorra,Martos,"2004 NBA Draft, Undrafted",Spain
28,Rafael Blanco,C,6-6,-,Movistar Estudiantes,Cordoba,"2019 NBA Draft, Undrafted",Spain
29,Saul Blanco,GF,6-4,216,Iberostar Tenerife,Oviedo,"2007 NBA Draft, Undrafted",Spain
30,Luka Bogdanovic,PF,6-11,210,MoraBanc Andorra,Belgrade,"2007 NBA Draft, Undrafted",Serbia
31,Georgios Bogris,FC,6-11,235,MoraBanc Andorra,Athens,"2011 NBA Draft, Undrafted",Greece
32,Tobias Borg,PG,6-0,162,RETAbet Bilbao Basket,Sodertalje,"2015 NBA Draft, Undrafted",Sweden
33,Yannis Bourousis,C,7-1,265,Real Madrid,Karditsa,"2005 NBA Draft, Undrafted",Greece
34,Dario Brizuela,SG,6-4,161,Movistar Estudiantes,San Sebastian,"2016 NBA Draft, Undrafted",Spain
35,Steve Burtt,PG,6-1,185,Montakit Fuenlabrada,New York (NY),"2006 NBA Draft, Undrafted",United StatesUkraine
36,Dwight Buycks,G,6-3,190,Valencia Basket,Milwaukee (WI),"2011 NBA Draft, Undrafted",United States
37,Derrick Byars,SF,6-7,220,Real Betis Energia Plus,Memphis (TN),2007 Rnd 2 Pick 12,United States
38,Carlos Cabezas,PG,6-2,205,UCAM Murcia,Malaga,"2002 NBA Draft, Undrafted",Spain
39,Alberto Cabrera,PG,5-10,170,Iberostar Tenerife,Santa Cruz de Tenerife,2020 NBA Draft Eligible,Spain
40,Facundo Campazzo,PG,5-11,165,Real Madrid,Cordoba,"2013 NBA Draft, Undrafted",Argentina
41,Fran Cardenas,PG,5-9,145,Rio Natura Monbus Obradoiro,Huelva,"2012 NBA Draft, Undrafted",Spain
42,Jaycee Carroll,SG,6-2,170,Real Madrid,Laramie (WY),"2008 NBA Draft, Undrafted",United StatesAzerbaijan
43,Fabien Causeur,SG,6-3,198,KIROLBET Baskonia Vitoria-Gasteiz,Brest,"2009 NBA Draft, Undrafted",France
44,Jesus Chagoyen,PF,6-7,251,Rio Natura Monbus Obradoiro,Cadiz,"1999 NBA Draft, Undrafted",Spain
45,Dan Clark,FC,6-10,210,Montakit Fuenlabrada,Greenwich,"2010 NBA Draft, Undrafted",England
46,Guillem Colom,PF,6-4,192,MoraBanc Andorra,Andorra La Vella,"2013 NBA Draft, Undrafted",Andorra
47,Quim Colom,PG,6-2,194,RETAbet Bilbao Basket,Andorra La Vella,"2010 NBA Draft, Undrafted",AndorraSpain
48,Alberto Corbacho,SF,6-7,185,Rio Natura Monbus Obradoiro,Palma,"2006 NBA Draft, Undrafted",Spain
49,Joan Creus,PG,6-1,170,Movistar Estudiantes,Granollers,"2014 NBA Draft, Undrafted",Spain
50,Branko Cvetkovic,SF,6-7,225,Montakit Fuenlabrada,Gracanica,"2006 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
51,Benjamin Dewar,GF,6-5,190,ICL Manresa,Royal Oak (MI),"2003 NBA Draft, Undrafted",FranceUnited States
52,Moussa Diagne,C,6-11,218,Montakit Fuenlabrada,Rufisque,"2016 NBA Draft, Undrafted",Senegal
53,Alberto Diaz,PG,6-2,187,Montakit Fuenlabrada,Malaga,"2016 NBA Draft, Undrafted",Spain
54,Daniel Diez,SF,6-8,216,Real Madrid,Madrid,2015 Rnd 2 Pick 24,Spain
55,Vilmantas Dilys,PF,6-8,229,ICL Manresa,Utena,"2009 NBA Draft, Undrafted",Lithuania
56,Ilimane Diop,C,6-11,216,KIROLBET Baskonia Vitoria-Gasteiz,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal
57,Mamadou Diop,PF,6-8,209,KIROLBET Baskonia Vitoria-Gasteiz,Guediawaye,"2015 NBA Draft, Undrafted",SenegalSpain
58,David Doblas,C,6-9,285,Delteco GBC,Santander,"2003 NBA Draft, Undrafted",Spain
59,Justin Doellman,PF,6-9,210,FC Barcelona Lassa,Union (KY),"2007 NBA Draft, Undrafted",United StatesKosovo
60,Luka Doncic,SF,6-7,218,Real Madrid,Ljubljana,2018 Rnd 1 Pick 3,Slovenia
61,Bojan Dubljevic,FC,6-9,242,Valencia Basket,Niksic,2013 Rnd 2 Pick 29,Montenegro
62,Marcus Eriksson,GF,6-7,178,FC Barcelona Lassa,Helga Trefald,2015 Rnd 2 Pick 20,Sweden
63,Jaime Fernandez,PG,6-2,178,Movistar Estudiantes,Madrid,"2015 NBA Draft, Undrafted",Spain
64,Rudy Fernandez,SG,6-6,185,Real Madrid,Palma,2007 Rnd 1 Pick 24,Spain
65,Albert Fontet,C,7-0,-,Tecnyconta Zaragoza,Alcanar,"2008 NBA Draft, Undrafted",Spain
66,Isaac Fotu,PF,6-8,235,ICL Manresa,Auckland,"2015 NBA Draft, Undrafted",New Zealand
67,Josep Franch,PG,6-5,175,Delteco GBC,Badalona,"2012 NBA Draft, Undrafted",Spain
68,German Gabriel,F,6-8,244,Unicaja Malaga,Caracas,"2002 NBA Draft, Undrafted",Spain
69,Diego Gallardo,SG,6-4,194,Real Betis Energia Plus,Seville,"2018 NBA Draft, Undrafted",Spain
70,Juan Jose Garcia,PF,6-7,201,Tecnyconta Zaragoza,Santo Domingo,"2011 NBA Draft, Undrafted",Dominican RepublicSpain
71,Marc Garcia,GF,6-6,180,ICL Manresa,Manresa,"2018 NBA Draft, Undrafted",Spain
72,Sergi Garcia,PG,6-3,181,Tecnyconta Zaragoza,Palma,"2019 NBA Draft, Undrafted",Spain
73,Charis Giannopoulos,SF,6-7,190,Rio Natura Monbus Obradoiro,Veria,"2011 NBA Draft, Undrafted",Greece
74,Vladimir Golubovic,C,7-1,250,Unicaja Malaga,Novi Sad,"2008 NBA Draft, Undrafted",SerbiaMontenegro
75,Betinho Gomes,SF,6-8,190,MoraBanc Andorra,Fogo,"2007 NBA Draft, Undrafted",Cape VerdePortugal
76,Ryan Gomes,F,6-7,245,KIROLBET Baskonia Vitoria-Gasteiz,Waterbury (CT),2005 Rnd 2 Pick 20,United States
77,Chris Goulding,G,6-4,203,Tecnyconta Zaragoza,Launceston,"2010 NBA Draft, Undrafted",Australia
78,Jayson Granger,PG,6-2,195,Unicaja Malaga,Montevideo,"2011 NBA Draft, Undrafted",Uruguay
79,Caleb Green,PF,6-8,238,Unicaja Malaga,Tulsa (OK),"2007 NBA Draft, Undrafted",United States
80,Shaun Green,F,6-8,220,MoraBanc Andorra,Salt Lake City (UT),"2009 NBA Draft, Undrafted",United States
81,Marius Grigonis,SF,6-6,195,ICL Manresa,Kaunas,"2016 NBA Draft, Undrafted",Lithuania
82,Jordi Grimau,GF,6-6,185,Delteco GBC,Barcelona,"2005 NBA Draft, Undrafted",Spain
83,Roger Grimau,GF,6-5,207,ICL Manresa,Barcelona,"2000 NBA Draft, Undrafted",Spain
84,David Guardia,SF,6-6,195,Valencia Basket,Valencia,"2012 NBA Draft, Undrafted",Spain
85,Ludde Hakanson,PG,6-3,184,FC Barcelona Lassa,Matteus,"2018 NBA Draft, Undrafted",Sweden
86,Mike Hall,F,6-8,230,ICL Manresa,Chicago (IL),"2006 NBA Draft, Undrafted",United States
87,Lamont Hamilton,F,6-9,242,KIROLBET Baskonia Vitoria-Gasteiz,Brooklyn (NY),"2007 NBA Draft, Undrafted",United States
88,Adam Hanga,SF,6-7,200,KIROLBET Baskonia Vitoria-Gasteiz,Budapest,2011 Rnd 2 Pick 29,Hungary
89,Will Hanley,PF,6-7,205,Delteco GBC,Stamford (CT),"2012 NBA Draft, Undrafted",United StatesIreland
90,Clevin Hannah,G,5-11,165,Divina Seguros Joventut,Holly Springs (MS),"2010 NBA Draft, Undrafted",United StatesSenegal
91,Ben Hansbrough,G,6-3,203,KIROLBET Baskonia Vitoria-Gasteiz,Poplar Bluff (MO),"2011 NBA Draft, Undrafted",United States
92,Luke Harangody,F,6-8,245,Valencia Basket,Decatur (IL),2010 Rnd 2 Pick 22,United States
93,Dimitris Haritopoulos,PF,6-9,220,ICL Manresa,Alexandreia,"2005 NBA Draft, Undrafted",Greece
94,Jaime Heras,SG,6-4,209,Iberostar Tenerife,Santa Cruz de Tenerife,"2004 NBA Draft, Undrafted",Spain
95,Alex Hernandez,PG,6-2,159,ICL Manresa,Murcia,"2012 NBA Draft, Undrafted",Spain
96,Juancho Hernangomez,F,6-9,230,Movistar Estudiantes,Madrid,2016 Rnd 1 Pick 15,Spain
97,Willy Hernangomez,C,6-11,240,Real Betis Energia Plus,Madrid,2015 Rnd 2 Pick 5,Spain
98,Axel Hervelle,PF,6-8,240,RETAbet Bilbao Basket,Liege,2005 Rnd 2 Pick 22,Belgium
99,Thomas Heurtel,G,6-2,180,KIROLBET Baskonia Vitoria-Gasteiz,Pau,"2010 NBA Draft, Undrafted",France
100,Mario Hezonja,SG,6-8,220,FC Barcelona Lassa,Dubrovnik,2015 Rnd 1 Pick 5,Croatia
101,Scotty Hopson,GF,6-7,204,KIROLBET Baskonia Vitoria-Gasteiz,Hopkinsville (KY),"2011 NBA Draft, Undrafted",United States
102,Marcelinho Huertas,PG,6-3,200,FC Barcelona Lassa,Santa Catarina,"2005 NBA Draft, Undrafted",Brazil
103,Rafa Huertas,SG,6-2,196,Delteco GBC,Cordoba,"2006 NBA Draft, Undrafted",Spain
104,Goran Huskic,C,6-9,225,Delteco GBC,Belgrade,"2014 NBA Draft, Undrafted",Serbia
105,Ioannis Iarochevitch,FC,6-8,224,Delteco GBC,Ixelles,"2011 NBA Draft, Undrafted",BelgiumLatvia
106,Kaloyan Ivanov,F,6-9,232,MoraBanc Andorra,Varna,"2008 NBA Draft, Undrafted",Bulgaria
107,Colton Iverson,FC,7-0,255,KIROLBET Baskonia Vitoria-Gasteiz,Yankton (SD),2013 Rnd 2 Pick 23,United States
108,Edwin Jackson,SG,6-2,201,FC Barcelona Lassa,Pau,"2011 NBA Draft, Undrafted",France
109,Mike James,PG,6-1,190,KIROLBET Baskonia Vitoria-Gasteiz,Portland (OR),"2012 NBA Draft, Undrafted",United States
110,Nathan Jawai,C,6-10,280,MoraBanc Andorra,Sydney,2008 Rnd 2 Pick 11,Australia
111,Stevan Jelovac,PF,6-10,245,Tecnyconta Zaragoza,Novi Sad,"2011 NBA Draft, Undrafted",Serbia
112,Orlando Johnson,GF,6-5,220,KIROLBET Baskonia Vitoria-Gasteiz,Monterey (CA),2012 Rnd 2 Pick 6,United States
113,Jared Jordan,G,6-2,187,Delteco GBC,Hartford (CT),2007 Rnd 2 Pick 15,United States
114,Kenan Karahodzic,C,6-10,230,Unicaja Malaga,Backa Topola,"2018 NBA Draft, Undrafted",SerbiaBosnia and Herzegovina
115,Rasko Katic,PF,6-8,225,Tecnyconta Zaragoza,Kragujevac,"2002 NBA Draft, Undrafted",Serbia
116,Thomas Kelati,G,6-4,194,UCAM Murcia,Walla Walla (WA),"2005 NBA Draft, Undrafted",United StatesPoland
117,Levon Kendall,F,6-11,220,Herbalife Gran Canaria,Vancouver,"2007 NBA Draft, Undrafted",Canada
118,Tariq Kirksay,SG,6-6,225,Divina Seguros Joventut,Bronx (NY),"2000 NBA Draft, Undrafted",United StatesFrance
119,Maxi Kleber,PF,6-11,240,Rio Natura Monbus Obradoiro,Wurzburg,"2014 NBA Draft, Undrafted",Germany
120,Filip Knezevic,C,6-9,-,MoraBanc Andorra,Bijelo Polje,"2016 NBA Draft, Undrafted",MontenegroCroatia
121,Kyle Kuric,SG,6-4,195,Herbalife Gran Canaria,Evansville (IN),"2012 NBA Draft, Undrafted",United States
122,Mindaugas Kuzminskas,SF,6-9,215,Unicaja Malaga,Vilnius,"2011 NBA Draft, Undrafted",Lithuania
123,Maciej Lampe,FC,6-11,275,FC Barcelona Lassa,Lodz,2003 Rnd 2 Pick 1,Poland
124,Fotios Lampropoulos,PF,6-9,225,Iberostar Tenerife,Patras,"2005 NBA Draft, Undrafted",Greece
125,Marcus Landry,F,6-7,230,Tecnyconta Zaragoza,Milwaukee (WI),"2009 NBA Draft, Undrafted",United States
126,Gerald Lee,FC,6-10,250,UCAM Murcia,Uusikaupunki,"2010 NBA Draft, Undrafted",Finland
127,Augusto Cesar Lima,PF,6-10,235,UCAM Murcia,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil
128,Kevin Lisch,G,6-2,190,Tecnyconta Zaragoza,Belleville (IL),"2009 NBA Draft, Undrafted",United StatesAustralia
129,Sergei Lishouk,FC,6-11,250,Valencia Basket,Rivne,2004 Rnd 2 Pick 20,Ukraine
130,Mario Little,GF,6-6,218,ICL Manresa,Chicago (IL),"2011 NBA Draft, Undrafted",United States
131,Roger Lliteras,G,6-4,-,MoraBanc Andorra,Andorra La Vella,"2018 NBA Draft, Undrafted",SpainAndorra
132,Pedro Llompart,PG,6-1,185,Tecnyconta Zaragoza,Mallorca,"2004 NBA Draft, Undrafted",Spain
133,Juan Llorente,SG,6-4,205,Movistar Estudiantes,Madrid,"2015 NBA Draft, Undrafted",Spain
134,Nacho Llovet,FC,6-8,225,Divina Seguros Joventut,Barcelona,"2013 NBA Draft, Undrafted",Spain
135,Sergio Llull,PG,6-3,190,Real Madrid,Mao,2009 Rnd 2 Pick 4,Spain
136,Kresimir Loncar,FC,6-9,232,Valencia Basket,Split,"2005 NBA Draft, Undrafted",Croatia
137,Raul Lopez,PG,6-0,175,RETAbet Bilbao Basket,Vic,2001 Rnd 1 Pick 24,Spain
138,Vladimir Lucic,SF,6-8,200,Valencia Basket,Belgrade,"2011 NBA Draft, Undrafted",Serbia
139,Rafa Luz,PG,6-3,202,Rio Natura Monbus Obradoiro,Sao Paulo,"2014 NBA Draft, Undrafted",Brazil
140,Jonas Maciulis,SF,6-7,225,Real Madrid,Kaunas,"2007 NBA Draft, Undrafted",Lithuania
141,Demond Mallet,G,6-1,194,Divina Seguros Joventut,Leesville (LA),"2001 NBA Draft, Undrafted",United States
142,Aleks Maric,C,6-11,270,Herbalife Gran Canaria,Sydney,"2008 NBA Draft, Undrafted",Australia
143,Stefan Markovic,PG,6-6,215,Unicaja Malaga,Belgrade,"2010 NBA Draft, Undrafted",Serbia
144,Marc Marti,PF,6-8,203,Tecnyconta Zaragoza,Lleida,"2019 NBA Draft, Undrafted",Spain
145,Alberto Martin,PG,5-10,180,UCAM Murcia,Madrid,"2017 NBA Draft, Undrafted",Spain
146,Nacho Martin,PF,6-9,233,Movistar Estudiantes,Valladolid,"2005 NBA Draft, Undrafted",Spain
147,Ander Martinez,F,6-7,-,Movistar Estudiantes,Madrid,"2017 NBA Draft, Undrafted",Spain
148,Carlos Martinez,SF,6-6,197,KIROLBET Baskonia Vitoria-Gasteiz,A Coruna,"2018 NBA Draft, Undrafted",Spain
149,Rafa Martinez,SG,6-3,198,Valencia Basket,Barcelona,"2004 NBA Draft, Undrafted",Spain
150,Roman Martinez,F,6-6,185,MoraBanc Andorra,El Paso (TX),"2010 NBA Draft, Undrafted",United StatesMexico
151,Josh Mayo,PG,5-11,175,Montakit Fuenlabrada,Merrillville (IN),"2009 NBA Draft, Undrafted",United States
152,Sebastian Mbansogo,PG,6-2,192,Montakit Fuenlabrada,Getafe,"2017 NBA Draft, Undrafted",SpainEquatorial Guinea
153,Jerel McNeal,SG,6-3,200,Real Betis Energia Plus,Chicago (IL),"2009 NBA Draft, Undrafted",United States
154,Salah Mejri,C,7-2,235,Real Madrid,Jendouba,"2008 NBA Draft, Undrafted",Tunisia
155,Borja Mendia,SF,6-6,196,RETAbet Bilbao Basket,Bilbao,"2016 NBA Draft, Undrafted",Spain
156,Daniel Miller,C,6-11,275,Rio Natura Monbus Obradoiro,Loganville (GA),"2014 NBA Draft, Undrafted",United States
157,Albert Miralles,FC,6-10,238,Divina Seguros Joventut,Barcelona,2004 Rnd 2 Pick 10,Spain
158,Andres Miso,SG,6-6,194,Montakit Fuenlabrada,Madrid,"2005 NBA Draft, Undrafted",Spain
159,Mikel Motos,SG,6-4,187,Delteco GBC,San Sebastian,"2015 NBA Draft, Undrafted",Spain
160,Boubacar Moungoro,SF,6-6,190,Montakit Fuenlabrada,Bamako,"2016 NBA Draft, Undrafted",Mali
161,Alex Mumbru,SF,6-7,220,RETAbet Bilbao Basket,Barcelona,"2001 NBA Draft, Undrafted",Spain
162,Bostjan Nachbar,F,6-10,220,FC Barcelona Lassa,Slovenj Gradec,2002 Rnd 1 Pick 15,Slovenia
163,Keaton Nankivil,F,6-8,245,Rio Natura Monbus Obradoiro,Madison (WI),"2011 NBA Draft, Undrafted",United States
164,David Navarro,SG,6-4,180,MoraBanc Andorra,Barcelona,"2005 NBA Draft, Undrafted",Spain
165,Juan Carlos Navarro,SG,6-4,170,FC Barcelona Lassa,Sant Feliu de Llobregat,2002 Rnd 2 Pick 11,Spain
166,Nemanja Nedovic,SG,6-3,192,Valencia Basket,Nova Varos,2013 Rnd 1 Pick 30,Serbia
167,Raulzinho Neto,PG,6-1,179,UCAM Murcia,Belo Horizonte,2013 Rnd 2 Pick 17,Brazil
168,Brad Newley,F,6-6,205,Herbalife Gran Canaria,Lower Mitcham,2007 Rnd 2 Pick 24,Australia
169,Maodo Nguirane,C,6-11,240,Unicaja Malaga,Yeumbeul,"2015 NBA Draft, Undrafted",Senegal
170,Mamadou Niang,C,6-10,235,Iberostar Tenerife,Thies,"2016 NBA Draft, Undrafted",Senegal
171,Wally Niang,C,6-9,201,Movistar Estudiantes,Dakar,"2018 NBA Draft, Undrafted",Senegal
172,Zoran Nikolic,C,7-0,235,Divina Seguros Joventut,Niksic,"2018 NBA Draft, Undrafted",Montenegro
173,Andres Nocioni,F,6-7,225,Real Madrid,Santa Fe,"2001 NBA Draft, Undrafted",Argentina
174,Henk Norel,C,7-0,230,Tecnyconta Zaragoza,Gorinchem,2009 Rnd 2 Pick 17,Netherlands
175,James Nunnally,F,6-7,220,Movistar Estudiantes,Stockton (CA),"2012 NBA Draft, Undrafted",United States
176,Ian O'Leary,PF,6-7,220,Herbalife Gran Canaria,Woodland Hills (CA),"2009 NBA Draft, Undrafted",United States
177,A.J. Ogilvy,C,6-11,250,ICL Manresa,Sydney,"2010 NBA Draft, Undrafted",Australia
178,Julen Olaizola,FC,6-7,218,Delteco GBC,San Sebastian,"2015 NBA Draft, Undrafted",Spain
179,Brad Oleson,SG,6-3,185,FC Barcelona Lassa,Anchorage (AK),"2005 NBA Draft, Undrafted",United StatesSpain
180,Albert Oliver,PG,6-2,185,Herbalife Gran Canaria,Barcelona,"2000 NBA Draft, Undrafted",Spain
181,Pierre Oriola,PF,6-8,235,Real Betis Energia Plus,Tarrega,"2014 NBA Draft, Undrafted",Spain
182,Xabi Oroz,SG,6-3,183,Delteco GBC,Azpeitia,"2018 NBA Draft, Undrafted",Spain
183,Pep Ortega,PF,6-6,220,Movistar Estudiantes,Vic,"2006 NBA Draft, Undrafted",Spain
184,Haukur Palsson,F,6-6,190,KIROLBET Baskonia Vitoria-Gasteiz,Reykjavik,"2014 NBA Draft, Undrafted",Iceland
185,Andy Panko,F,6-9,222,Montakit Fuenlabrada,Harrisburg (PA),"1999 NBA Draft, Undrafted",United States
186,Manolis Papamakarios,SG,6-4,208,Montakit Fuenlabrada,Athens,"2002 NBA Draft, Undrafted",Greece
187,Oriol Pauli,GF,6-7,185,Herbalife Gran Canaria,Girona,"2016 NBA Draft, Undrafted",Spain
188,Kirk Penney,G,6-5,220,Real Betis Energia Plus,Auckland,"2003 NBA Draft, Undrafted",New Zealand
189,Stefan Peno,PG,6-6,200,FC Barcelona Lassa,Belgrade,"2019 NBA Draft, Undrafted",Serbia
190,Dani Perez,PG,6-0,188,Montakit Fuenlabrada,Barcelona,"2012 NBA Draft, Undrafted",Spain
191,Pablo Perez,PG,6-0,190,Valencia Basket,Cuenca,"2019 NBA Draft, Undrafted",Spain
192,Doron Perkins,G,6-2,200,KIROLBET Baskonia Vitoria-Gasteiz,Anchorage (AK),"2005 NBA Draft, Undrafted",United States
193,Taqwa Pinero,SG,6-3,195,Delteco GBC,Red Bank (NJ),"2006 NBA Draft, Undrafted",United States
194,Tibor Pleiss,C,7-3,256,FC Barcelona Lassa,Bergisch Gladbach,2010 Rnd 2 Pick 1,Germany
195,Giuseppe Poeta,SG,6-2,179,ICL Manresa,Battipaglia,"2007 NBA Draft, Undrafted",Italy
196,Joaquin Portugues,G,6-1,175,Herbalife Gran Canaria,Santa Cruz de Tenerife,"2017 NBA Draft, Undrafted",Spain
197,Kristaps Porzingis,FC,7-3,240,Real Betis Energia Plus,Liepaja,2015 Rnd 1 Pick 4,Latvia
198,Pepe Pozas,PG,6-0,187,Rio Natura Monbus Obradoiro,Malaga,"2014 NBA Draft, Undrafted",Spain
199,Jacob Pullen,G,6-1,200,Real Betis Energia Plus,Maywood (IL),"2011 NBA Draft, Undrafted",United StatesGeorgia
200,Pavel Pumprla,SF,6-5,200,Rio Natura Monbus Obradoiro,Zabreh,"2008 NBA Draft, Undrafted",Czech Republic
201,Simon Pursl,PF,6-9,242,Tecnyconta Zaragoza,Prague,"2019 NBA Draft, Undrafted",Czech Republic
202,Xavi Rabaseda,GF,6-7,205,Movistar Estudiantes,Ripoll,"2011 NBA Draft, Undrafted",Spain
203,Nikola Radicevic,PG,6-5,200,Real Betis Energia Plus,Cacak,2015 Rnd 2 Pick 27,Serbia
204,Nemanja Radovic,PF,6-8,215,UCAM Murcia,Berane,"2013 NBA Draft, Undrafted",Montenegro
205,Xavi Rey,C,6-11,252,Iberostar Tenerife,Barcelona,"2009 NBA Draft, Undrafted",Spain
206,Felipe Reyes,FC,6-9,265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain
207,Pau Ribas,SG,6-3,165,Valencia Basket,Barcelona,"2009 NBA Draft, Undrafted",Spain
208,Nicolas Richotti,SG,6-0,176,Iberostar Tenerife,Bahia Blanca,"2008 NBA Draft, Undrafted",ArgentinaItaly
209,K.C. Rivers,SF,6-5,198,Real Madrid,Charlotte (NC),"2009 NBA Draft, Undrafted",United States
210,Hasan Rizvic,C,6-10,243,ICL Manresa,Zenica,"2006 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
211,Jason Robinson,GF,6-5,225,Tecnyconta Zaragoza,Tacoma (WA),"2003 NBA Draft, Undrafted",United States
212,Andres Rodriguez,G,6-0,160,Montakit Fuenlabrada,San Juan (PR),"2004 NBA Draft, Undrafted",Puerto RicoUnited States
213,Berni Rodriguez,SG,6-6,205,Real Betis Energia Plus,Malaga,"2002 NBA Draft, Undrafted",Spain
214,Sergio Rodriguez,PG,6-3,176,Real Madrid,Tenerife,2006 Rnd 1 Pick 27,Spain
215,Sadiel Rojas,GF,6-4,190,UCAM Murcia,Arlington (TX),"2011 NBA Draft, Undrafted",United StatesDominican Republic
216,Levi Rost,F,6-7,205,Iberostar Tenerife,St. John's (MI),"2005 NBA Draft, Undrafted",United States
217,Kyle Rowley,C,7-0,280,RETAbet Bilbao Basket,Arima,"2013 NBA Draft, Undrafted",Trinidad and Tobago
218,Nil Sabata,FC,6-9,205,ICL Manresa,Manresa,"2018 NBA Draft, Undrafted",Spain
219,Victor Sada,PG,6-4,205,MoraBanc Andorra,Badalona,"2006 NBA Draft, Undrafted",Spain
220,David Sainsbury,F,6-8,214,Movistar Estudiantes,Pamplona,"2016 NBA Draft, Undrafted",SpainEngland
221,Zeljko Sakic,F,6-7,234,ICL Manresa,Zagreb,"2010 NBA Draft, Undrafted",Croatia
222,Maksim Salash,PF,6-9,220,Real Betis Energia Plus,Minsk,"2018 NBA Draft, Undrafted",Belarus
223,Javi Salgado,PG,5-11,181,Movistar Estudiantes,Bilbao,"2002 NBA Draft, Undrafted",Spain
224,Sasu Salin,SG,6-3,191,Herbalife Gran Canaria,Helsinki,"2013 NBA Draft, Undrafted",Finland
225,Jamar Samuels,F,6-7,230,ICL Manresa,Washington (DC),"2012 NBA Draft, Undrafted",United States
226,Fernando San Emeterio,GF,6-6,232,KIROLBET Baskonia Vitoria-Gasteiz,Santander,"2006 NBA Draft, Undrafted",Spain
227,Rodrigo San Miguel,PG,6-3,194,Iberostar Tenerife,Zaragoza,"2007 NBA Draft, Undrafted",Spain
228,Alfonso Sanchez,SG,6-4,198,ICL Manresa,Jaen,"2009 NBA Draft, Undrafted",Spain
229,Howard Sant-Roos,SF,6-7,180,KIROLBET Baskonia Vitoria-Gasteiz,Havana,"2013 NBA Draft, Undrafted",Cuba
