,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
0,Alberto Abalde,GF,6-7,215,Valencia Basket,A Coruna,"2017 NBA Draft, Undrafted",Spain
1,Tim Abromaitis,PF,6-8,236,Iberostar Tenerife,Waterbury (CT),"2012 NBA Draft, Undrafted",United States
2,Mateo Aguermo,-,-,-,FC Barcelona Lassa,,2022 NBA Draft Eligible,Spain
3,Victor Aguilar,G,6-1,175,San Pablo Inmobiliaria Burgos,Las Palmas de Gran Canaria,2020 NBA Draft Eligible,Spain
4,Josh Akognon,PG,5-11,175,Montakit Fuenlabrada,Petaluma (CA),"2009 NBA Draft, Undrafted",United StatesNigeria
5,Andrew Albicy,PG,5-10,165,MoraBanc Andorra,Sevres,"2012 NBA Draft, Undrafted",France
6,Carlos Alocen,PG,6-5,205,Tecnyconta Zaragoza,Zaragoza,2022 NBA Draft Eligible,Spain
7,Alberto Alonso,F,6-7,194,San Pablo Inmobiliaria Burgos,Burgos,2023 NBA Draft Eligible,Spain
8,Hector Amaya,-,-,-,Iberostar Tenerife,,2026 NBA Draft Eligible,Spain
9,Jose Angel Antelo,PF,6-8,220,UCAM Murcia,Santiago De Compostela,"2009 NBA Draft, Undrafted",Spain
10,Salva Arco,GF,6-5,207,Cafes Candelas Breogan,Navia,"2006 NBA Draft, Undrafted",Spain
11,Nacho Arroyo,PG,6-1,170,Movistar Estudiantes,Osorno,2022 NBA Draft Eligible,Chile
12,Victor Arteaga,C,7-0,214,Movistar Estudiantes,Cuenca,"2014 NBA Draft, Undrafted",Spain
13,Gustavo Ayon,C,6-10,250,Real Madrid,Tepic,"2007 NBA Draft, Undrafted",Mexico
14,Eulis Baez,PF,6-7,225,Herbalife Gran Canaria,Santo Domingo,"2005 NBA Draft, Undrafted",Dominican Republic
15,Olek Balcerowski,C,7-1,230,Herbalife Gran Canaria,Swidnica,2022 NBA Draft Eligible,Poland
16,Ondrej Balvin,C,7-1,215,Herbalife Gran Canaria,Usti Nad Labem,"2014 NBA Draft, Undrafted",Czech Republic
