,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
17,Jonathan Barreiro,SF,6-8,200,Tecnyconta Zaragoza,Cerceda,"2019 NBA Draft, Undrafted",SpainPoland
18,Alex Barrera,SG,6-7,180,San Pablo Inmobiliaria Burgos,Esplugues De Llobregat,"2014 NBA Draft, Undrafted",Spain
19,Mouhamed Barro,PF,6-9,230,Delteco GBC,Dakar,"2017 NBA Draft, Undrafted",Senegal
20,Ferran Bassas,PG,6-0,188,Iberostar Tenerife,Barcelona,"2014 NBA Draft, Undrafted",Spain
21,Javier Beiran,SF,6-6,200,Iberostar Tenerife,Madrid,"2009 NBA Draft, Undrafted",Spain
22,Romaric Belemene,SF,6-9,205,Cafes Candelas Breogan,Pointe-Noire,"2019 NBA Draft, Undrafted",Republic of the Congo
23,Tomas Bellas,PG,6-1,198,Montakit Fuenlabrada,Madrid,"2009 NBA Draft, Undrafted",Spain
24,Vitor Benite,SG,6-3,194,San Pablo Inmobiliaria Burgos,Sao Paulo,"2009 NBA Draft, Undrafted",Brazil
25,Xabi Beraza,G,6-5,190,Delteco GBC,Errenteria,2021 NBA Draft Eligible,Spain
26,Johnny Berhanemeskel,SG,6-1,174,Tecnyconta Zaragoza,Ottawa,"2014 NBA Draft, Undrafted",CanadaEritrea
27,Terrence Bieshaar,C,6-10,252,Divina Seguros Joventut,Haarlem,"2019 NBA Draft, Undrafted",Netherlands
28,Simon Birgander,FC,6-11,208,Divina Seguros Joventut,Malmo,"2017 NBA Draft, Undrafted",Sweden
29,Jaka Blazic,SF,6-5,212,FC Barcelona Lassa,Jesenice,"2012 NBA Draft, Undrafted",Slovenia
30,Ryan Boatright,PG,5-11,175,Unicaja Malaga,Aurora (IL),"2015 NBA Draft, Undrafted",United StatesArmenia
31,Vyacheslav Bobrov,SF,6-8,224,Delteco GBC,Donetsk,"2014 NBA Draft, Undrafted",Ukraine
32,Askia Booker,SG,6-1,170,UCAM Murcia,Los Angeles (CA),"2015 NBA Draft, Undrafted",United States
33,Gerard Bosch,F,6-5,-,Divina Seguros Joventut,,2022 NBA Draft Eligible,Netherlands
34,Nobel Boungou Colo,SF,6-6,198,Divina Seguros Joventut,Brazzaville,"2010 NBA Draft, Undrafted",Republic of the CongoFrance
35,Dario Brizuela,SG,6-4,161,Movistar Estudiantes,San Sebastian,"2016 NBA Draft, Undrafted",Spain
36,Vladimir Brodziansky,PF,6-11,230,Rio Natura Monbus Obradoiro,Bojnice,"2018 NBA Draft, Undrafted",Slovakia
37,Alec Brown,C,7-1,235,Cafes Candelas Breogan,Winona (MN),2014 Rnd 2 Pick 20,United States
38,Nicolas Brussino,G,6-8,195,Iberostar Tenerife,Santa Fe,"2015 NBA Draft, Undrafted",Argentina
39,Beka Burjanadze,PF,6-8,260,Delteco GBC,Tbilisi,"2016 NBA Draft, Undrafted",Georgia
40,Pep Busquets,F,6-5,198,Divina Seguros Joventut,Granollers,2021 NBA Draft Eligible,Spain
41,Alberto Cabrera,PG,5-10,170,Iberostar Tenerife,Santa Cruz de Tenerife,2020 NBA Draft Eligible,Spain
42,Sani Campara,PG,6-3,185,MoraBanc Andorra,Sarajevo,2021 NBA Draft Eligible,Bosnia and Herzegovina
43,Facundo Campazzo,PG,5-11,165,Real Madrid,Cordoba,"2013 NBA Draft, Undrafted",Argentina
44,Vlatko Cancar,SF,6-8,210,San Pablo Inmobiliaria Burgos,Koper,2017 Rnd 2 Pick 19,Slovenia
45,Nik Caner-Medley,F,6-8,225,Movistar Estudiantes,Beverly (MA),"2006 NBA Draft, Undrafted",United StatesAzerbaijan
46,Jaycee Carroll,SG,6-2,170,Real Madrid,Laramie (WY),"2008 NBA Draft, Undrafted",United StatesAzerbaijan
47,Emanuel Cate,PF,6-9,225,UCAM Murcia,Bucharest,"2019 NBA Draft, Undrafted",Romania
48,Fabien Causeur,SG,6-3,198,Real Madrid,Brest,"2009 NBA Draft, Undrafted",France
49,Nicolas Cebrian,G,6-0,-,Real Madrid,,2026 NBA Draft Eligible,Spain
50,Dan Clark,FC,6-10,210,Montakit Fuenlabrada,Greenwich,"2010 NBA Draft, Undrafted",England
51,Gian Clavell,G,6-4,185,Movistar Estudiantes,Caguas (PR),"2017 NBA Draft, Undrafted",Puerto RicoUnited States
52,Victor Claver,SF,6-10,235,FC Barcelona Lassa,Valencia,2009 Rnd 1 Pick 22,Spain
53,Guillem Colom,PF,6-4,192,MoraBanc Andorra,Andorra La Vella,"2013 NBA Draft, Undrafted",Andorra
54,Omar Cook,PG,6-2,190,Movistar Estudiantes,Brooklyn (NY),2001 Rnd 2 Pick 3,United StatesMontenegro
55,Alberto Corbacho,SF,6-7,185,Delteco GBC,Palma,"2006 NBA Draft, Undrafted",Spain
56,Xavier Corosine,PG,6-1,157,Delteco GBC,Frejus,"2007 NBA Draft, Undrafted",France
57,Lluis Costa,PG,6-1,205,Rio Natura Monbus Obradoiro,Barcelona,"2015 NBA Draft, Undrafted",Spain
58,Paco Cruz,SG,6-2,210,Montakit Fuenlabrada,Nogales,"2012 NBA Draft, Undrafted",Mexico
59,Aleksandar Cvetkovic,PG,6-2,165,Cafes Candelas Breogan,Belgrade,"2015 NBA Draft, Undrafted",Serbia
60,Shawn Dawson,F,6-6,205,Divina Seguros Joventut,Eilat,"2015 NBA Draft, Undrafted",Israel
61,Maxime De Zeeuw,F,6-8,238,Rio Natura Monbus Obradoiro,Uccle,"2009 NBA Draft, Undrafted",Belgium
62,Gabriel Deck,F,6-6,210,Real Madrid,Santiago del Estero,"2017 NBA Draft, Undrafted",Argentina
63,Marcos Delia,C,6-10,220,Divina Seguros Joventut,Buenos Aires,"2014 NBA Draft, Undrafted",Argentina
64,Abel Delicado,G,6-2,160,Real Madrid,Madrid,2027 NBA Draft Eligible,Spain
65,Moussa Diagne,C,6-11,218,MoraBanc Andorra,Rufisque,"2016 NBA Draft, Undrafted",Senegal
66,Alberto Diaz,PG,6-2,187,Unicaja Malaga,Malaga,"2016 NBA Draft, Undrafted",Spain
67,Christian Diaz,PG,6-0,175,Cafes Candelas Breogan,Las Palmas de Gran Canaria,"2014 NBA Draft, Undrafted",Spain
68,Daniel Diez,SF,6-8,216,Unicaja Malaga,Madrid,2015 Rnd 2 Pick 24,Spain
69,Nenad Dimitrijevic,PG,6-1,174,Divina Seguros Joventut,Skopje,2020 NBA Draft Eligible,North Macedonia
70,Ilimane Diop,C,6-11,216,KIROLBET Baskonia Vitoria-Gasteiz,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal
71,Khalifa Diop,FC,6-11,231,Herbalife Gran Canaria,Guereo,2024 NBA Draft Eligible,Senegal
72,Antoine Diot,PG,6-4,188,Valencia Basket,Bourg-en-Bresse,"2011 NBA Draft, Undrafted",France
73,Justin Doellman,PF,6-9,210,ICL Manresa,Union (KY),"2007 NBA Draft, Undrafted",United StatesKosovo
74,Aaron Doornekamp,PF,6-7,212,Valencia Basket,Napanee,"2007 NBA Draft, Undrafted",Canada
75,Milton Doyle,G,6-4,185,UCAM Murcia,Chicago (IL),"2017 NBA Draft, Undrafted",United States
76,Tadija Dragicevic,PF,6-9,235,Cafes Candelas Breogan,Cacak,2008 Rnd 2 Pick 23,Serbia
77,Nikola Dragovic,F,6-8,232,ICL Manresa,Belgrade,"2010 NBA Draft, Undrafted",Serbia
78,Bojan Dubljevic,FC,6-9,242,Valencia Basket,Niksic,2013 Rnd 2 Pick 29,Montenegro
79,Eduardo Duran,SG,6-4,195,UCAM Murcia,Madrid,"2013 NBA Draft, Undrafted",Spain
80,David Efambe,F,6-7,-,ICL Manresa,Brazzaville,2023 NBA Draft Eligible,Republic of the Congo
81,Osas Ehigitor,C,6-10,202,Montakit Fuenlabrada,Seville,2021 NBA Draft Eligible,Spain
82,Dylan Ennis,G,6-2,195,MoraBanc Andorra,Brampton,"2017 NBA Draft, Undrafted",United StatesJamaica
83,Marcus Eriksson,GF,6-7,178,Herbalife Gran Canaria,Helga Trefald,2015 Rnd 2 Pick 20,Sweden
84,Junior Etou,PF,6-8,235,Movistar Estudiantes,Upper Marlboro (MD),"2018 NBA Draft, Undrafted",United StatesRepublic of the Congo
85,Chris Evans,F,6-8,220,Herbalife Gran Canaria,Chesapeake (VA),"2013 NBA Draft, Undrafted",United States
86,Christian Eyenga,GF,6-7,210,Montakit Fuenlabrada,Kinshasa,2009 Rnd 1 Pick 30,Democratic Republic of the Congo
87,Jaime Fernandez,PG,6-2,178,Unicaja Malaga,Madrid,"2015 NBA Draft, Undrafted",Spain
88,Javier Fernandez,PG,5-8,-,Tecnyconta Zaragoza,Cadiz,"2009 NBA Draft, Undrafted",Spain
89,Rudy Fernandez,SG,6-6,185,Real Madrid,Palma,2007 Rnd 1 Pick 24,Spain
90,Luke Fischer,C,6-11,250,Herbalife Gran Canaria,Germantown (WI),"2017 NBA Draft, Undrafted",United StatesArmenia
91,Corey Fisher,PG,6-1,200,ICL Manresa,Bronx (NY),"2011 NBA Draft, Undrafted",United States
92,Bruno Fitipaldo,PG,6-0,183,San Pablo Inmobiliaria Burgos,Montevideo,"2013 NBA Draft, Undrafted",Uruguay
93,Aleix Font,SG,6-4,188,FC Barcelona Lassa,Barcelona,2020 NBA Draft Eligible,Spain
94,Branden Frazier,G,6-3,170,San Pablo Inmobiliaria Burgos,Brooklyn (NY),"2014 NBA Draft, Undrafted",United States
95,Jon Galarza,SF,6-4,-,Valencia Basket,Durango,"2019 NBA Draft, Undrafted",Spain
96,Daniel Garcia,PG,6-1,-,ICL Manresa,Mataro,2020 NBA Draft Eligible,Spain
97,Marc Garcia,GF,6-6,180,Montakit Fuenlabrada,Manresa,"2018 NBA Draft, Undrafted",Spain
98,Sergi Garcia,PG,6-3,181,Valencia Basket,Palma,"2019 NBA Draft, Undrafted",Spain
99,Patricio Garino,SF,6-6,203,KIROLBET Baskonia Vitoria-Gasteiz,Mar del Plata,"2016 NBA Draft, Undrafted",Argentina
100,Sediq Garuba,GF,6-4,178,Real Madrid,Madrid,2026 NBA Draft Eligible,Spain
101,Usman Garuba,C,6-8,220,Real Madrid,Madrid,2024 NBA Draft Eligible,Spain
102,Alessandro Gentile,SF,6-6,228,Movistar Estudiantes,Maddaloni,2014 Rnd 2 Pick 23,Italy
103,Jack Gibbs,G,6-0,195,Montakit Fuenlabrada,Westerville (OH),"2017 NBA Draft, Undrafted",United States
104,Dovydas Giedraitis,PG,6-4,165,Movistar Estudiantes,Vilnius,2022 NBA Draft Eligible,Lithuania
105,Tomasz Gielo,PF,6-9,228,Iberostar Tenerife,Szczecin,"2016 NBA Draft, Undrafted",Poland
106,Pierre-Antoine Gillet,F,6-7,224,Iberostar Tenerife,Huy,"2013 NBA Draft, Undrafted",Belgium
107,Jokubas Gintvainis,PG,6-4,176,ICL Manresa,Plunge,"2016 NBA Draft, Undrafted",Lithuania
108,Chema Gonzalez,FC,6-9,203,Montakit Fuenlabrada,Zaragoza,"2013 NBA Draft, Undrafted",Spain
109,Miguel Gonzalez,GF,6-6,204,KIROLBET Baskonia Vitoria-Gasteiz,Valladolid,2021 NBA Draft Eligible,Spain
110,Jayson Granger,PG,6-2,195,KIROLBET Baskonia Vitoria-Gasteiz,Montevideo,"2011 NBA Draft, Undrafted",Uruguay
111,Andriy Grystsak,SF,6-7,-,Movistar Estudiantes,,2022 NBA Draft Eligible,Ukraine
112,Ruben Guerrero,F,7-0,240,Unicaja Malaga,Marbella,"2019 NBA Draft, Undrafted",Spain
113,Jorge Gutierrez,PG,6-3,195,Delteco GBC,Chula Vista (CA),"2012 NBA Draft, Undrafted",MexicoUnited States
114,Ludde Hakanson,PG,6-3,184,Movistar Estudiantes,Matteus,"2018 NBA Draft, Undrafted",Sweden
115,Adam Hanga,SF,6-7,200,FC Barcelona Lassa,Budapest,2011 Rnd 2 Pick 29,Hungary
116,Clevin Hannah,G,5-11,165,Herbalife Gran Canaria,Holly Springs (MS),"2010 NBA Draft, Undrafted",United StatesSenegal
117,Luke Harangody,F,6-8,245,Divina Seguros Joventut,Decatur (IL),2010 Rnd 2 Pick 22,United States
118,LaDontae Henton,F,6-6,215,MoraBanc Andorra,Lansing (MI),"2015 NBA Draft, Undrafted",United States
119,Volodymyr Herun,C,6-10,250,Cafes Candelas Breogan,Dnipropetrovsk,"2015 NBA Draft, Undrafted",Ukraine
120,Thomas Heurtel,G,6-2,180,FC Barcelona Lassa,Pau,"2010 NBA Draft, Undrafted",France
121,Darrun Hilliard,SG,6-6,220,KIROLBET Baskonia Vitoria-Gasteiz,Bethlehem (PA),2015 Rnd 2 Pick 8,United States
122,Tryggvi Hlinason,C,7-1,260,Rio Natura Monbus Obradoiro,Akureyri,"2018 NBA Draft, Undrafted",Iceland
123,Marcelinho Huertas,PG,6-3,200,KIROLBET Baskonia Vitoria-Gasteiz,Santa Catarina,"2005 NBA Draft, Undrafted",Brazil
124,Kyle Hunt,F,6-10,229,UCAM Murcia,Queens (NY),"2013 NBA Draft, Undrafted",United States
125,Goran Huskic,C,6-9,225,San Pablo Inmobiliaria Burgos,Belgrade,"2014 NBA Draft, Undrafted",Serbia
126,Colton Iverson,FC,7-0,255,Iberostar Tenerife,Yankton (SD),2013 Rnd 2 Pick 23,United States
127,Nikola Jankovic,FC,6-9,215,Movistar Estudiantes,Vranje,"2016 NBA Draft, Undrafted",Serbia
128,Matt Janning,GF,6-4,198,KIROLBET Baskonia Vitoria-Gasteiz,Watertown (MN),"2010 NBA Draft, Undrafted",United StatesGeorgia
129,Ognjen Jaramaz,SG,6-4,181,San Pablo Inmobiliaria Burgos,Krusevac,2017 Rnd 2 Pick 28,Serbia
130,Cory Jefferson,PF,6-9,215,Herbalife Gran Canaria,Killeen (TX),2014 Rnd 2 Pick 30,United States
131,David Jelinek,SG,6-5,190,MoraBanc Andorra,Brno,"2012 NBA Draft, Undrafted",Czech Republic
132,Janari Joesaar,F,6-6,208,Iberostar Tenerife,Tartu,"2016 NBA Draft, Undrafted",Estonia
133,Jalen Jones,SG,6-7,220,KIROLBET Baskonia Vitoria-Gasteiz,Dallas (TX),"2016 NBA Draft, Undrafted",United States
134,Jerome Jordan,C,7-0,253,MoraBanc Andorra,Kingston,2010 Rnd 2 Pick 14,Jamaica
135,Guillem Jou,SG,6-6,180,ICL Manresa,Girona,"2019 NBA Draft, Undrafted",Spain
136,Javier Justiz,C,6-9,210,Tecnyconta Zaragoza,Santiago de Cuba,"2014 NBA Draft, Undrafted",Cuba
137,Maurice Kemp,F,6-8,190,Montakit Fuenlabrada,Miami (FL),"2013 NBA Draft, Undrafted",United States
138,Ahmed Khalaf,C,6-9,210,ICL Manresa,Cairo,2021 NBA Draft Eligible,Egypt
139,Tarence Kinsey,GF,6-6,185,Cafes Candelas Breogan,Tampa (FL),"2006 NBA Draft, Undrafted",United States
140,Urban Klavzar,PG,6-1,177,Real Madrid,Ljubljana,2026 NBA Draft Eligible,Slovenia
141,Jovan Kljajic,SG,6-6,200,Herbalife Gran Canaria,Podgorica,2023 NBA Draft Eligible,Montenegro
142,Charlon Kloof,G,6-3,195,UCAM Murcia,Paramaribo,"2014 NBA Draft, Undrafted",Republic of SurinameNetherlands
143,Viacheslav Kravtsov,C,6-11,254,Montakit Fuenlabrada,Odessa,"2009 NBA Draft, Undrafted",Ukraine
144,Vit Krejci,PG,6-8,195,Tecnyconta Zaragoza,Strakonice,2022 NBA Draft Eligible,Czech Republic
145,Kyle Kuric,SG,6-4,195,FC Barcelona Lassa,Evansville (IN),"2012 NBA Draft, Undrafted",United States
146,Arturs Kurucs,SG,6-3,190,KIROLBET Baskonia Vitoria-Gasteiz,Cesis,2022 NBA Draft Eligible,Latvia
147,Ognen Kuzmic,C,7-1,251,Real Madrid,Doboj,2012 Rnd 2 Pick 22,Bosnia and HerzegovinaSerbia
148,Louis Labeyrie,PF,6-10,200,Valencia Basket,Gonesse,2014 Rnd 2 Pick 27,France
149,Martins Laksa,SF,6-7,198,Rio Natura Monbus Obradoiro,Riga,"2012 NBA Draft, Undrafted",Latvia
150,Cady Lalanne,FC,6-9,242,ICL Manresa,Port-au-Prince,2015 Rnd 2 Pick 25,Haiti
151,Fotios Lampropoulos,PF,6-9,225,Movistar Estudiantes,Patras,"2005 NBA Draft, Undrafted",Greece
152,Nicolas Laprovittola,PG,6-4,180,Divina Seguros Joventut,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina
153,Manu Lecomte,G,5-11,175,UCAM Murcia,Ixelles,"2018 NBA Draft, Undrafted",Belgium
154,Mathias Lessort,F,6-9,250,Unicaja Malaga,Fort-de-France,2017 Rnd 2 Pick 20,France
155,Augusto Cesar Lima,PF,6-10,235,San Pablo Inmobiliaria Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil
156,Alex Llorca,SG,6-2,195,Montakit Fuenlabrada,Barcelona,"2011 NBA Draft, Undrafted",Spain
157,Nacho Llovet,FC,6-8,225,Rio Natura Monbus Obradoiro,Barcelona,"2013 NBA Draft, Undrafted",Spain
158,Sergio Llull,PG,6-3,190,Real Madrid,Mao,2009 Rnd 2 Pick 4,Spain
159,Raul Lobaco,SG,6-3,-,Tecnyconta Zaragoza,,2022 NBA Draft Eligible,Spain
160,Johan Lofberg,GF,6-7,196,Cafes Candelas Breogan,Stockholm,"2017 NBA Draft, Undrafted",Sweden
161,Alex Lopez,SG,6-2,196,San Pablo Inmobiliaria Burgos,Tenerife,"2013 NBA Draft, Undrafted",Spain
162,Javi Lopez,PG,5-11,-,Herbalife Gran Canaria,Las Palmas de Gran Canaria,2021 NBA Draft Eligible,Spain
163,Xabier Lopez-Arostegui,GF,6-7,215,Divina Seguros Joventut,Bilbao,"2019 NBA Draft, Undrafted",Spain
164,Nestor Luis,-,-,-,Iberostar Tenerife,,2026 NBA Draft Eligible,Spain
165,Marko Lukovic,SF,6-10,192,ICL Manresa,Belgrade,"2014 NBA Draft, Undrafted",Serbia
166,Gabriel Lundberg,G,6-4,202,ICL Manresa,Copenhagen,"2016 NBA Draft, Undrafted",Denmark
167,Rafa Luz,PG,6-3,202,MoraBanc Andorra,Sao Paulo,"2014 NBA Draft, Undrafted",Brazil
168,Josh Magette,PG,6-1,160,Herbalife Gran Canaria,Birmingham (AL),"2012 NBA Draft, Undrafted",United States
169,Gaizka Maiza,PG,6-3,185,Delteco GBC,Ibarra,"2018 NBA Draft, Undrafted",Spain
170,Eric Marciel,C,6-11,227,Real Madrid,Dakar,2024 NBA Draft Eligible,Senegal
171,Marc Marti,PF,6-8,203,Tecnyconta Zaragoza,Lleida,"2019 NBA Draft, Undrafted",Spain
172,Alberto Martin,PG,5-10,180,UCAM Murcia,Madrid,"2017 NBA Draft, Undrafted",Spain
173,Nacho Martin,PF,6-9,233,Tecnyconta Zaragoza,Valladolid,"2005 NBA Draft, Undrafted",Spain
174,Emilio Martinez,PG,6-0,165,UCAM Murcia,Murcia,2020 NBA Draft Eligible,Spain
175,Rafa Martinez,SG,6-3,198,Valencia Basket,Barcelona,"2004 NBA Draft, Undrafted",Spain
176,Dakota Mathias,SG,6-4,200,Divina Seguros Joventut,Elida (OH),"2018 NBA Draft, Undrafted",United States
177,Bo McCalebb,PG,5-10,180,Tecnyconta Zaragoza,New Orleans (LA),"2008 NBA Draft, Undrafted",United StatesNorth Macedonia
178,Ray McCallum,PG,6-3,191,Cafes Candelas Breogan,Beverly Hills (MI),2013 Rnd 2 Pick 6,United States
179,Thaddeus McFadden,SG,6-2,176,Divina Seguros Joventut,Flint (MI),"2009 NBA Draft, Undrafted",United StatesGeorgia
180,Quincy Miller,PF,6-9,210,Divina Seguros Joventut,North Chicago (IL),2012 Rnd 2 Pick 8,United States
181,Elijah Millsap,GF,6-6,215,Cafes Candelas Breogan,Grambling (LA),"2010 NBA Draft, Undrafted",United States
182,Dragan Milosavljevic,SG,6-5,200,Unicaja Malaga,Krusevac,"2011 NBA Draft, Undrafted",Serbia
183,Luka Mitrovic,PF,6-8,200,UCAM Murcia,Novi Sad,2015 Rnd 2 Pick 30,Serbia
184,Victor Moreno,SG,6-4,189,Montakit Fuenlabrada,Alcorcon,2020 NBA Draft Eligible,Spain
185,Conor Morgan,FC,6-9,220,Divina Seguros Joventut,Victoria,"2017 NBA Draft, Undrafted",Canada
186,Alvaro Munoz,SF,6-5,200,ICL Manresa,Avila,"2012 NBA Draft, Undrafted",SpainGermany
187,Lucas Munoz,PG,6-1,172,Unicaja Malaga,Cordoba,2023 NBA Draft Eligible,Spain
188,Erik Murphy,FC,6-10,240,ICL Manresa,South Kingstown (RI),2013 Rnd 2 Pick 19,United StatesFinland
189,Lazar Mutic,SF,6-8,195,UCAM Murcia,Banja Luka,2021 NBA Draft Eligible,Bosnia and Herzegovina
190,Eli John N'Diyae,C,6-8,183,Real Madrid,Guediawaye,2026 NBA Draft Eligible,Senegal
191,David Navarro,SG,6-4,180,Rio Natura Monbus Obradoiro,Barcelona,"2005 NBA Draft, Undrafted",Spain
192,Jesus Navarro,G,6-1,-,Movistar Estudiantes,,2026 NBA Draft Eligible,Spain
193,Juan Carlos Navarro,SG,6-4,170,FC Barcelona Lassa,Sant Feliu de Llobregat,2002 Rnd 2 Pick 11,Spain
194,Garrett Nevels,SG,6-2,190,Delteco GBC,Los Angeles (CA),"2015 NBA Draft, Undrafted",United States
195,Mamadou Niang,C,6-10,235,Iberostar Tenerife,Thies,"2016 NBA Draft, Undrafted",Senegal
196,Lucas Nogueira,C,7-0,241,Montakit Fuenlabrada,Sao Goncalo,2013 Rnd 1 Pick 16,Brazil
197,Jose Nogues,PF,6-8,190,Divina Seguros Joventut,Barcelona,"2017 NBA Draft, Undrafted",Spain
198,Henk Norel,C,7-0,230,Cafes Candelas Breogan,Gorinchem,2009 Rnd 2 Pick 17,Netherlands
199,Ian O'Leary,PF,6-7,220,Montakit Fuenlabrada,Woodland Hills (CA),"2009 NBA Draft, Undrafted",United States
200,Andreas Obst,SG,6-3,200,Rio Natura Monbus Obradoiro,Halle,"2018 NBA Draft, Undrafted",Germany
201,Daniel Ochefu,F,6-11,240,Cafes Candelas Breogan,Baltimore (MD),"2016 NBA Draft, Undrafted",United StatesNigeria
202,Viny Okouo,C,7-1,240,Unicaja Malaga,Brazzaville,"2019 NBA Draft, Undrafted",Republic of the Congo
203,Stan Okoye,GF,6-6,215,Tecnyconta Zaragoza,Raleigh (NC),"2013 NBA Draft, Undrafted",United StatesNigeria
204,Brad Oleson,SG,6-3,185,UCAM Murcia,Anchorage (AK),"2005 NBA Draft, Undrafted",United StatesSpain
205,Albert Oliver,PG,6-2,185,Herbalife Gran Canaria,Barcelona,"2000 NBA Draft, Undrafted",Spain
206,Pierre Oriola,PF,6-8,235,FC Barcelona Lassa,Tarrega,"2014 NBA Draft, Undrafted",Spain
207,Xabi Oroz,SG,6-3,183,Delteco GBC,Azpeitia,"2018 NBA Draft, Undrafted",Spain
208,David Orrit,PG,6-2,160,ICL Manresa,Santpedor,2022 NBA Draft Eligible,Spain
209,Kevin Pangos,PG,6-2,185,FC Barcelona Lassa,Newmarket,"2015 NBA Draft, Undrafted",Canada
210,Jan Pantzar,PG,6-3,190,Real Madrid,Stockholm,2022 NBA Draft Eligible,Sweden
211,Joel Parra,F,6-8,210,Divina Seguros Joventut,Barcelona,2022 NBA Draft Eligible,Spain
212,Anzejs Pasecniks,C,7-1,229,Herbalife Gran Canaria,Riga,2017 Rnd 1 Pick 25,Latvia
213,Oriol Pauli,GF,6-7,185,Herbalife Gran Canaria,Girona,"2016 NBA Draft, Undrafted",Spain
214,Tomas Pavelka,C,7-1,242,Valencia Basket,,2022 NBA Draft Eligible,Slovakia
215,Dago Pena,GF,6-6,220,Movistar Estudiantes,Punta Gorda (FL),"2012 NBA Draft, Undrafted",United StatesDominican Republic
216,Ajdin Penava,F,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Sarajevo,"2018 NBA Draft, Undrafted",Bosnia and Herzegovina
217,Dani Perez,PG,6-0,188,Delteco GBC,Barcelona,"2012 NBA Draft, Undrafted",Spain
218,Zoltan Perl,G,6-5,188,Movistar Estudiantes,Szombathely,"2017 NBA Draft, Undrafted",Hungary
219,Vincent Poirier,C,7-0,235,KIROLBET Baskonia Vitoria-Gasteiz,Clamart,"2015 NBA Draft, Undrafted",France
220,Marko Popovic,SG,6-1,181,Montakit Fuenlabrada,Zadar,"2004 NBA Draft, Undrafted",Croatia
221,Pepe Pozas,PG,6-0,187,Rio Natura Monbus Obradoiro,Malaga,"2014 NBA Draft, Undrafted",Spain
222,Jaime Pradilla,C,6-9,234,Tecnyconta Zaragoza,Zaragoza,2023 NBA Draft Eligible,Spain
223,Klemen Prepelic,SG,6-3,170,Real Madrid,Maribor,"2014 NBA Draft, Undrafted",Slovenia
224,Josep Puerto,G,6-6,198,Valencia Basket,Almussafes,2021 NBA Draft Eligible,Spain
225,Artem Pustovyi,C,7-2,212,FC Barcelona Lassa,Sofiivka,"2014 NBA Draft, Undrafted",Ukraine
226,Sergi Quintela,SG,6-0,168,Cafes Candelas Breogan,Lugo,"2018 NBA Draft, Undrafted",Spain
227,Xavi Rabaseda,GF,6-7,205,Herbalife Gran Canaria,Ripoll,"2011 NBA Draft, Undrafted",Spain
228,Nikola Radicevic,PG,6-5,200,Herbalife Gran Canaria,Cacak,2015 Rnd 2 Pick 27,Serbia
229,Dino Radoncic,GF,6-8,225,UCAM Murcia,Zrenjanin,2021 NBA Draft Eligible,SerbiaMontenegro
230,Nemanja Radovic,PF,6-8,215,Tecnyconta Zaragoza,Berane,"2013 NBA Draft, Undrafted",Montenegro
231,Anthony Randolph,PF,6-11,225,Real Madrid,Wurzbach,2008 Rnd 1 Pick 14,United StatesSlovenia
