,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
0,Alberto Abalde,GF,6-7,215,Divina Seguros Joventut,A Coruna,"2017 NBA Draft, Undrafted",Spain
1,Tim Abromaitis,PF,6-8,236,Iberostar Tenerife,Waterbury (CT),"2012 NBA Draft, Undrafted",United States
2,Pablo Aguilar,PF,6-8,235,Herbalife Gran Canaria,Granada,"2011 NBA Draft, Undrafted",Spain
3,Josh Akognon,PG,5-11,175,KIROLBET Baskonia Vitoria-Gasteiz,Petaluma (CA),"2009 NBA Draft, Undrafted",United StatesNigeria
4,Andrew Albicy,PG,5-10,165,MoraBanc Andorra,Sevres,"2012 NBA Draft, Undrafted",France
5,Rosco Allen,PF,6-10,215,Rio Natura Monbus Obradoiro,Budapest,"2016 NBA Draft, Undrafted",Hungary
6,Carlos Alocen,PG,6-5,205,Tecnyconta Zaragoza,Zaragoza,2022 NBA Draft Eligible,Spain
7,Luksa Andric,C,6-10,275,ICL Manresa,Dubrovnik,"2007 NBA Draft, Undrafted",Croatia
8,Jose Angel Antelo,PF,6-8,220,UCAM Murcia,Santiago De Compostela,"2009 NBA Draft, Undrafted",Spain
9,Thanasis Antetokounmpo,SF,6-7,215,MoraBanc Andorra,Athens,2014 Rnd 2 Pick 21,GreeceNigeria
10,Petar Aranitovic,SG,6-5,185,ICL Manresa,Belgrade,"2016 NBA Draft, Undrafted",Serbia
11,Victor Arteaga,C,7-0,214,Movistar Estudiantes,Cuenca,"2014 NBA Draft, Undrafted",Spain
12,Patrik Auda,PF,6-9,235,ICL Manresa,Brno,"2015 NBA Draft, Undrafted",Czech Republic
13,Gustavo Ayon,C,6-10,250,Real Madrid,Tepic,"2007 NBA Draft, Undrafted",Mexico
14,Eulis Baez,PF,6-7,225,Herbalife Gran Canaria,Santo Domingo,"2005 NBA Draft, Undrafted",Dominican Republic
15,Ondrej Balvin,C,7-1,215,Movistar Estudiantes,Usti Nad Labem,"2014 NBA Draft, Undrafted",Czech Republic
16,Scott Bamforth,SG,6-2,190,RETAbet Bilbao Basket,Albuquerque (NM),"2013 NBA Draft, Undrafted",United StatesKosovo
