,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
17,Andrea Bargnani,FC,7-0,245,KIROLBET Baskonia Vitoria-Gasteiz,Rome,2006 Rnd 1 Pick 1,Italy
18,David Barlow,F,6-9,210,Rio Natura Monbus Obradoiro,Melbourne,"2005 NBA Draft, Undrafted",Australia
19,Billy Baron,SG,6-2,195,UCAM Murcia,East Greenwich (RI),"2014 NBA Draft, Undrafted",United States
20,Jonathan Barreiro,SF,6-8,200,Tecnyconta Zaragoza,Cerceda,"2019 NBA Draft, Undrafted",SpainPoland
21,Ferran Bassas,PG,6-0,188,Iberostar Tenerife,Barcelona,"2014 NBA Draft, Undrafted",Spain
22,Rodrigue Beaubois,G,6-1,183,KIROLBET Baskonia Vitoria-Gasteiz,Pointe-a-Pitre,2009 Rnd 1 Pick 25,France
23,Javier Beiran,SF,6-6,200,Iberostar Tenerife,Madrid,"2009 NBA Draft, Undrafted",Spain
24,Romaric Belemene,SF,6-9,205,ICL Manresa,Pointe-Noire,"2019 NBA Draft, Undrafted",Republic of the Congo
25,Tomas Bellas,PG,6-1,198,Tecnyconta Zaragoza,Madrid,"2009 NBA Draft, Undrafted",Spain
26,Eimantas Bendzius,SF,6-8,190,Rio Natura Monbus Obradoiro,Klaipeda,"2012 NBA Draft, Undrafted",Lithuania
27,Vitor Benite,SG,6-3,194,UCAM Murcia,Sao Paulo,"2009 NBA Draft, Undrafted",Brazil
28,Robin Benzing,SF,6-8,222,Tecnyconta Zaragoza,Seeheim-Jugenheim,"2011 NBA Draft, Undrafted",Germany
29,Joan Bernacer,SG,6-5,191,Tecnyconta Zaragoza,Felanitx,2020 NBA Draft Eligible,Spain
30,Terrence Bieshaar,C,6-10,252,Divina Seguros Joventut,Haarlem,"2019 NBA Draft, Undrafted",Netherlands
31,Saul Blanco,GF,6-4,216,Iberostar Tenerife,Oviedo,"2007 NBA Draft, Undrafted",Spain
32,Jaka Blazic,SF,6-5,212,KIROLBET Baskonia Vitoria-Gasteiz,Jesenice,"2012 NBA Draft, Undrafted",Slovenia
33,Luka Bogdanovic,PF,6-11,210,Divina Seguros Joventut,Belgrade,"2007 NBA Draft, Undrafted",Serbia
34,Georgios Bogris,FC,6-11,235,Iberostar Tenerife,Athens,"2011 NBA Draft, Undrafted",Greece
35,Tobias Borg,PG,6-0,162,RETAbet Bilbao Basket,Sodertalje,"2015 NBA Draft, Undrafted",Sweden
36,Nil Bria,SF,6-5,-,MoraBanc Andorra,Navarcles,"2019 NBA Draft, Undrafted",Spain
37,Dario Brizuela,SG,6-4,161,Movistar Estudiantes,San Sebastian,"2016 NBA Draft, Undrafted",Spain
38,Jeff Brooks,PF,6-8,215,Unicaja Malaga,Louisville (KY),"2011 NBA Draft, Undrafted",United StatesItaly
39,Alec Brown,C,7-1,235,Movistar Estudiantes,Winona (MN),2014 Rnd 2 Pick 20,United States
40,John Bryant,C,6-10,282,Valencia Basket,San Pablo (CA),"2009 NBA Draft, Undrafted",United States
41,Chase Budinger,GF,6-7,215,KIROLBET Baskonia Vitoria-Gasteiz,Encinitas (CA),2009 Rnd 2 Pick 14,United States
42,Beka Burjanadze,PF,6-8,260,MoraBanc Andorra,Tbilisi,"2016 NBA Draft, Undrafted",Georgia
43,Ivan Buva,C,6-8,215,RETAbet Bilbao Basket,Zagreb,"2013 NBA Draft, Undrafted",Croatia
44,Carlos Cabezas,PG,6-2,205,Real Betis Energia Plus,Malaga,"2002 NBA Draft, Undrafted",Spain
45,Marjan Cakarun,C,6-8,227,ICL Manresa,Zadar,"2012 NBA Draft, Undrafted",Croatia
46,Facundo Campazzo,PG,5-11,165,UCAM Murcia,Cordoba,"2013 NBA Draft, Undrafted",Argentina
47,Fran Cardenas,PG,5-9,145,Rio Natura Monbus Obradoiro,Huelva,"2012 NBA Draft, Undrafted",Spain
48,Jaycee Carroll,SG,6-2,170,Real Madrid,Laramie (WY),"2008 NBA Draft, Undrafted",United StatesAzerbaijan
49,Emanuel Cate,PF,6-9,225,Real Betis Energia Plus,Bucharest,"2019 NBA Draft, Undrafted",Romania
50,Kenny Chery,PG,5-11,180,Real Betis Energia Plus,Montreal,"2015 NBA Draft, Undrafted",Canada
51,Leo Cizmic,SF,6-8,220,Real Betis Energia Plus,Afula,2020 NBA Draft Eligible,IsraelCroatia
52,Dan Clark,FC,6-10,210,UCAM Murcia,Greenwich,"2010 NBA Draft, Undrafted",England
53,Victor Claver,SF,6-10,235,FC Barcelona Lassa,Valencia,2009 Rnd 1 Pick 22,Spain
54,Guillem Colom,PF,6-4,192,MoraBanc Andorra,Andorra La Vella,"2013 NBA Draft, Undrafted",Andorra
55,Omar Cook,PG,6-2,190,Movistar Estudiantes,Brooklyn (NY),2001 Rnd 2 Pick 3,United StatesMontenegro
56,Trevor Cooney,SG,6-4,195,KIROLBET Baskonia Vitoria-Gasteiz,Wilmington (DE),"2016 NBA Draft, Undrafted",United States
57,Alberto Corbacho,SF,6-7,185,Rio Natura Monbus Obradoiro,Palma,"2006 NBA Draft, Undrafted",Spain
58,Lluis Costa,PG,6-1,205,ICL Manresa,Barcelona,"2015 NBA Draft, Undrafted",Spain
59,Paco Cruz,SG,6-2,210,Montakit Fuenlabrada,Nogales,"2012 NBA Draft, Undrafted",Mexico
60,David Cuellar,SG,6-4,188,Montakit Fuenlabrada,Lleida,"2019 NBA Draft, Undrafted",Spain
61,Aleksandar Cvetkovic,PG,6-2,165,ICL Manresa,Belgrade,"2015 NBA Draft, Undrafted",Serbia
62,Christopher Czerapowicz,G,6-7,210,MoraBanc Andorra,Gothenburg,"2014 NBA Draft, Undrafted",Sweden
63,Nika Darbaidze,PF,6-8,200,UCAM Murcia,Gori,2020 NBA Draft Eligible,Georgia
64,Troy DeVries,G,6-4,195,Real Betis Energia Plus,Mount Vernon (WA),"2005 NBA Draft, Undrafted",United States
65,Marcos Delia,C,6-10,220,UCAM Murcia,Buenos Aires,"2014 NBA Draft, Undrafted",Argentina
66,Moussa Diagne,C,6-11,218,FC Barcelona Lassa,Rufisque,"2016 NBA Draft, Undrafted",Senegal
67,Alberto Diaz,C,6-11,-,Rio Natura Monbus Obradoiro,,2020 NBA Draft Eligible,-
68,Alberto Diaz,PG,6-2,187,Unicaja Malaga,Malaga,"2016 NBA Draft, Undrafted",Spain
69,Daniel Diez,SF,6-8,216,Unicaja Malaga,Madrid,2015 Rnd 2 Pick 24,Spain
70,Nenad Dimitrijevic,PG,6-1,174,Divina Seguros Joventut,Skopje,2020 NBA Draft Eligible,North Macedonia
71,Ilimane Diop,C,6-11,216,KIROLBET Baskonia Vitoria-Gasteiz,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal
72,Antoine Diot,PG,6-4,188,Valencia Basket,Bourg-en-Bresse,"2011 NBA Draft, Undrafted",France
73,Justin Doellman,PF,6-9,210,FC Barcelona Lassa,Union (KY),"2007 NBA Draft, Undrafted",United StatesKosovo
74,Luka Doncic,SF,6-7,218,Real Madrid,Ljubljana,2018 Rnd 1 Pick 3,Slovenia
75,Aaron Doornekamp,PF,6-7,212,Iberostar Tenerife,Napanee,"2007 NBA Draft, Undrafted",Canada
76,Joey Dorsey,FC,6-9,275,FC Barcelona Lassa,Baltimore (MD),2008 Rnd 2 Pick 3,United States
77,Dontaye Draper,PG,5-10,180,Real Madrid,Baltimore (MD),"2007 NBA Draft, Undrafted",United StatesCroatia
78,Bojan Dubljevic,FC,6-9,242,Valencia Basket,Niksic,2013 Rnd 2 Pick 29,Montenegro
79,Deividas Dulkys,GF,6-5,196,Rio Natura Monbus Obradoiro,Silute,"2012 NBA Draft, Undrafted",Lithuania
80,Carl English,SG,6-4,205,Iberostar Tenerife,St. John's,"2003 NBA Draft, Undrafted",Canada
81,Micheal Eric,FC,6-11,240,RETAbet Bilbao Basket,Lagos,"2012 NBA Draft, Undrafted",Nigeria
82,Marcus Eriksson,GF,6-7,178,FC Barcelona Lassa,Helga Trefald,2015 Rnd 2 Pick 20,Sweden
83,Christian Eyenga,GF,6-7,210,Unicaja Malaga,Kinshasa,2009 Rnd 1 Pick 30,Democratic Republic of the Congo
84,Vitor Faverani,FC,6-11,260,FC Barcelona Lassa,Paulinia,"2009 NBA Draft, Undrafted",Brazil
85,Jaime Fernandez,PG,6-2,178,Movistar Estudiantes,Madrid,"2015 NBA Draft, Undrafted",Spain
86,Rudy Fernandez,SG,6-6,185,Real Madrid,Palma,2007 Rnd 1 Pick 24,Spain
87,Luis Ferrando,G,6-1,180,Valencia Basket,Valencia,"2016 NBA Draft, Undrafted",Spain
88,Pol Figueras,PG,6-2,187,FC Barcelona Lassa,Tarragona,2020 NBA Draft Eligible,Spain
89,Ricardo Fischer,G,6-1,181,RETAbet Bilbao Basket,Sao Paulo,"2013 NBA Draft, Undrafted",Brazil
90,Kyle Fogg,PG,6-3,183,Unicaja Malaga,Brea (CA),"2012 NBA Draft, Undrafted",United States
91,Isaac Fotu,PF,6-8,235,Tecnyconta Zaragoza,Auckland,"2015 NBA Draft, Undrafted",New Zealand
92,Juan Jose Garcia,PF,6-7,201,Unicaja Malaga,Santo Domingo,"2011 NBA Draft, Undrafted",Dominican RepublicSpain
93,Marc Garcia,GF,6-6,180,Real Betis Energia Plus,Manresa,"2018 NBA Draft, Undrafted",Spain
94,Sergi Garcia,PG,6-3,181,Tecnyconta Zaragoza,Palma,"2019 NBA Draft, Undrafted",Spain
95,Martynas Gecevicius,SG,6-4,190,Tecnyconta Zaragoza,Vilnius,"2010 NBA Draft, Undrafted",Lithuania
96,Tomasz Gielo,PF,6-9,228,Divina Seguros Joventut,Szczecin,"2016 NBA Draft, Undrafted",Poland
97,Kristaps Gluditis,SG,6-3,178,Herbalife Gran Canaria,Riga,"2017 NBA Draft, Undrafted",Latvia
98,Rodrigo Gomez,C,6-9,-,Rio Natura Monbus Obradoiro,Pontevedra,"2018 NBA Draft, Undrafted",Spain
99,Chema Gonzalez,FC,6-9,203,Montakit Fuenlabrada,Zaragoza,"2013 NBA Draft, Undrafted",Spain
100,Marius Grigonis,SF,6-6,195,Iberostar Tenerife,Kaunas,"2016 NBA Draft, Undrafted",Lithuania
101,Jordi Grimau,GF,6-6,185,Movistar Estudiantes,Barcelona,"2005 NBA Draft, Undrafted",Spain
102,Ludde Hakanson,PG,6-3,184,Montakit Fuenlabrada,Matteus,"2018 NBA Draft, Undrafted",Sweden
103,Adam Hanga,SF,6-7,200,KIROLBET Baskonia Vitoria-Gasteiz,Budapest,2011 Rnd 2 Pick 29,Hungary
104,Will Hanley,PF,6-7,205,Iberostar Tenerife,Stamford (CT),"2012 NBA Draft, Undrafted",United StatesIreland
105,Richard Hendrix,FC,6-9,264,Herbalife Gran Canaria,Athens (AL),2008 Rnd 2 Pick 19,United StatesNorth Macedonia
106,Axel Hervelle,PF,6-8,240,RETAbet Bilbao Basket,Liege,2005 Rnd 2 Pick 22,Belgium
107,Rafael Hettsheimer,FC,6-10,265,Montakit Fuenlabrada,Aracatuba,"2008 NBA Draft, Undrafted",Brazil
108,Ryan Hollins,C,7-0,230,Herbalife Gran Canaria,Pasadena (CA),2006 Rnd 2 Pick 20,United States
109,Jonathan Holmes,F,6-9,242,FC Barcelona Lassa,San Antonio (TX),"2015 NBA Draft, Undrafted",United States
110,Stephen Holt,SG,6-4,195,Tecnyconta Zaragoza,Portland (OR),"2014 NBA Draft, Undrafted",United States
111,Othello Hunter,FC,6-8,225,Real Madrid,Winston-Salem (NC),"2008 NBA Draft, Undrafted",United States
112,David Iriarte,PF,6-9,220,RETAbet Bilbao Basket,Mallorca,"2017 NBA Draft, Undrafted",Spain
113,Edwin Jackson,SG,6-2,201,Movistar Estudiantes,Pau,"2011 NBA Draft, Undrafted",France
114,Vladimir Jankovic,SF,6-8,222,Valencia Basket,Belgrade,"2012 NBA Draft, Undrafted",SerbiaGreece
115,Sarunas Jasikevicius,G,6-4,195,FC Barcelona Lassa,Kaunas,"1998 NBA Draft, Undrafted",Lithuania
116,David Jelinek,SG,6-5,190,MoraBanc Andorra,Brno,"2012 NBA Draft, Undrafted",Czech Republic
117,Stevan Jelovac,PF,6-10,245,Tecnyconta Zaragoza,Novi Sad,"2011 NBA Draft, Undrafted",Serbia
118,David Jofresa,PG,6-0,179,ICL Manresa,Barcelona,"2017 NBA Draft, Undrafted",Spain
119,Jerome Jordan,C,7-0,253,Divina Seguros Joventut,Kingston,2010 Rnd 2 Pick 14,Jamaica
120,Guillem Jou,SG,6-6,180,ICL Manresa,Girona,"2019 NBA Draft, Undrafted",Spain
121,Adas Juskevicius,SG,6-4,198,Tecnyconta Zaragoza,Kaunas,"2011 NBA Draft, Undrafted",Lithuania
122,DeAndre Kane,G,6-5,210,Real Betis Energia Plus,Pittsburgh (PA),"2014 NBA Draft, Undrafted",United States
123,Ahmed Khalaf,C,6-9,210,ICL Manresa,Cairo,2021 NBA Draft Eligible,Egypt
124,Tariq Kirksay,SG,6-6,225,Iberostar Tenerife,Bronx (NY),"2000 NBA Draft, Undrafted",United StatesFrance
125,Marcos Knight,G,6-2,215,Tecnyconta Zaragoza,Dublin (GA),"2013 NBA Draft, Undrafted",United States
126,Petteri Koponen,G,6-4,195,FC Barcelona Lassa,Helsinki,2007 Rnd 1 Pick 30,Finland
127,Filip Kraljevic,C,7-0,210,Tecnyconta Zaragoza,Mostar,"2011 NBA Draft, Undrafted",Bosnia and HerzegovinaCroatia
128,Viacheslav Kravtsov,C,6-11,254,Valencia Basket,Odessa,"2009 NBA Draft, Undrafted",Ukraine
129,Vit Krejci,PG,6-8,195,Tecnyconta Zaragoza,Strakonice,2022 NBA Draft Eligible,Czech Republic
130,Kyle Kuric,SG,6-4,195,Herbalife Gran Canaria,Evansville (IN),"2012 NBA Draft, Undrafted",United States
131,Rodions Kurucs,SF,6-9,210,FC Barcelona Lassa,Cesis,2018 Rnd 2 Pick 10,Latvia
132,Oliver Lafayette,PG,6-3,190,Unicaja Malaga,Baton Rouge (LA),"2007 NBA Draft, Undrafted",United StatesCroatia
133,Luka Lapornik,SG,6-4,194,Divina Seguros Joventut,Celje,"2010 NBA Draft, Undrafted",Slovenia
134,Miha Lapornik,SG,6-4,203,RETAbet Bilbao Basket,Celje,"2015 NBA Draft, Undrafted",Slovenia
135,Nicolas Laprovittola,PG,6-4,180,KIROLBET Baskonia Vitoria-Gasteiz,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina
136,Shane Larkin,PG,5-11,175,KIROLBET Baskonia Vitoria-Gasteiz,Cincinnati (OH),2013 Rnd 1 Pick 18,United StatesTurkey
137,Shane Lawal,C,6-10,230,FC Barcelona Lassa,Southfield (MI),"2009 NBA Draft, Undrafted",United StatesNigeria
138,Ricky Ledo,GF,6-7,197,KIROLBET Baskonia Vitoria-Gasteiz,Providence (RI),2013 Rnd 2 Pick 13,United States
139,Pedro Llompart,PG,6-1,185,UCAM Murcia,Mallorca,"2004 NBA Draft, Undrafted",Spain
140,Alex Llorca,SG,6-2,195,Montakit Fuenlabrada,Barcelona,"2011 NBA Draft, Undrafted",Spain
141,Sergio Llorente,PG,6-1,175,RETAbet Bilbao Basket,Madrid,"2012 NBA Draft, Undrafted",Spain
142,Nacho Llovet,FC,6-8,225,Rio Natura Monbus Obradoiro,Barcelona,"2013 NBA Draft, Undrafted",Spain
143,Sergio Llull,PG,6-3,190,Real Madrid,Mao,2009 Rnd 2 Pick 4,Spain
144,Trent Lockett,SF,6-5,209,Real Betis Energia Plus,Golden Valley (MN),"2013 NBA Draft, Undrafted",United States
145,Xabier Lopez-Arostegui,GF,6-7,215,Divina Seguros Joventut,Bilbao,"2019 NBA Draft, Undrafted",Spain
146,Domen Lorbek,SG,6-5,205,Real Betis Energia Plus,Kranj,"2007 NBA Draft, Undrafted",Slovenia
147,Rafa Luz,PG,6-3,202,KIROLBET Baskonia Vitoria-Gasteiz,Sao Paulo,"2014 NBA Draft, Undrafted",Brazil
148,Scott Machado,G,6-3,201,ICL Manresa,Queens (NY),"2012 NBA Draft, Undrafted",United StatesBrazil
149,Jonas Maciulis,SF,6-7,225,Real Madrid,Kaunas,"2007 NBA Draft, Undrafted",Lithuania
150,Rasid Mahalbasic,FC,6-11,220,Real Betis Energia Plus,Jesenice,"2012 NBA Draft, Undrafted",SloveniaAustria
151,Aleksandar Marelja,PF,6-10,212,Real Betis Energia Plus,Belgrade,"2014 NBA Draft, Undrafted",Serbia
152,Aleks Maric,C,6-11,270,Rio Natura Monbus Obradoiro,Sydney,"2008 NBA Draft, Undrafted",Australia
153,Nikola Maric,PF,6-10,245,MoraBanc Andorra,Trebinje,2022 NBA Draft Eligible,Bosnia and Herzegovina
154,Alberto Martin,PG,5-10,180,UCAM Murcia,Madrid,"2017 NBA Draft, Undrafted",Spain
155,Nacho Martin,PF,6-9,233,MoraBanc Andorra,Valladolid,"2005 NBA Draft, Undrafted",Spain
156,Rafa Martinez,SG,6-3,198,Valencia Basket,Barcelona,"2004 NBA Draft, Undrafted",Spain
157,Osvaldas Matulionis,SF,6-6,220,Rio Natura Monbus Obradoiro,Siauliai,"2013 NBA Draft, Undrafted",Lithuania
158,Bo McCalebb,PG,5-10,180,Herbalife Gran Canaria,New Orleans (LA),"2008 NBA Draft, Undrafted",United StatesNorth Macedonia
159,Mickey McConnell,PG,6-0,189,Rio Natura Monbus Obradoiro,Mesa (AZ),"2011 NBA Draft, Undrafted",United States
160,Borja Mendia,SF,6-6,196,RETAbet Bilbao Basket,Bilbao,"2016 NBA Draft, Undrafted",Spain
161,Strahinja Milosevic,PF,6-7,220,Real Betis Energia Plus,Novi Sad,"2007 NBA Draft, Undrafted",Serbia
162,Albert Miralles,FC,6-10,238,Divina Seguros Joventut,Barcelona,2004 Rnd 2 Pick 10,Spain
163,Roman Montanez,SG,6-3,200,ICL Manresa,Sant Joan de Vilatorrada,"2001 NBA Draft, Undrafted",Spain
164,Victor Moreno,SG,6-4,189,Montakit Fuenlabrada,Alcorcon,2020 NBA Draft Eligible,Spain
165,Alex Mumbru,SF,6-7,220,RETAbet Bilbao Basket,Barcelona,"2001 NBA Draft, Undrafted",Spain
166,Xavier Munford,G,6-3,180,FC Barcelona Lassa,Hillside (NJ),"2014 NBA Draft, Undrafted",United States
167,Dejan Musli,C,7-0,242,Unicaja Malaga,Prizren,"2013 NBA Draft, Undrafted",Serbia
168,Bostjan Nachbar,F,6-10,220,Real Betis Energia Plus,Slovenj Gradec,2002 Rnd 1 Pick 15,Slovenia
169,David Navarro,SG,6-4,180,MoraBanc Andorra,Barcelona,"2005 NBA Draft, Undrafted",Spain
170,Juan Carlos Navarro,SG,6-4,170,FC Barcelona Lassa,Sant Feliu de Llobregat,2002 Rnd 2 Pick 11,Spain
171,Hamady Ndiaye,C,7-0,235,Unicaja Malaga,Dakar,2010 Rnd 2 Pick 26,Senegal
172,Nemanja Nedovic,SG,6-3,192,Unicaja Malaga,Nova Varos,2013 Rnd 1 Pick 30,Serbia
173,Mamadou Niang,C,6-10,235,Iberostar Tenerife,Thies,"2016 NBA Draft, Undrafted",Senegal
174,Danilo Nikolic,PF,6-9,205,RETAbet Bilbao Basket,Podgorica,"2015 NBA Draft, Undrafted",Montenegro
175,Andres Nocioni,F,6-7,225,Real Madrid,Santa Fe,"2001 NBA Draft, Undrafted",Argentina
176,Jose Nogues,PF,6-8,190,Divina Seguros Joventut,Barcelona,"2017 NBA Draft, Undrafted",Spain
177,Henk Norel,C,7-0,230,Tecnyconta Zaragoza,Gorinchem,2009 Rnd 2 Pick 17,Netherlands
178,Ian O'Leary,PF,6-7,220,Montakit Fuenlabrada,Woodland Hills (CA),"2009 NBA Draft, Undrafted",United States
179,Royce O'Neale,SF,6-6,226,Herbalife Gran Canaria,Killeen (TX),"2015 NBA Draft, Undrafted",United States
180,Viny Okouo,C,7-1,240,Unicaja Malaga,Brazzaville,"2019 NBA Draft, Undrafted",Republic of the Congo
181,Julen Olaizola,FC,6-7,218,UCAM Murcia,San Sebastian,"2015 NBA Draft, Undrafted",Spain
182,Brad Oleson,SG,6-3,185,FC Barcelona Lassa,Anchorage (AK),"2005 NBA Draft, Undrafted",United StatesSpain
183,Albert Oliver,PG,6-2,185,Herbalife Gran Canaria,Barcelona,"2000 NBA Draft, Undrafted",Spain
184,Adnan Omeragic,SF,6-6,194,Iberostar Tenerife,San Cristobal de La Laguna,"2018 NBA Draft, Undrafted",Spain
185,Alen Omic,C,7-2,225,Unicaja Malaga,Tuzla,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
186,Pierre Oriola,PF,6-8,235,Valencia Basket,Tarrega,"2014 NBA Draft, Undrafted",Spain
187,Chumi Ortega,SG,6-3,182,UCAM Murcia,Madrid,"2019 NBA Draft, Undrafted",Spain
188,Dylan Page,PF,6-8,225,Movistar Estudiantes,Amherst (WI),"2004 NBA Draft, Undrafted",United States
189,Anzejs Pasecniks,C,7-1,229,Herbalife Gran Canaria,Riga,2017 Rnd 1 Pick 25,Latvia
190,Oriol Pauli,GF,6-7,185,Herbalife Gran Canaria,Girona,"2016 NBA Draft, Undrafted",Spain
191,Ivan Paunic,GF,6-5,190,Montakit Fuenlabrada,Belgrade,"2009 NBA Draft, Undrafted",Serbia
192,Adam Pechacek,PF,6-9,212,Rio Natura Monbus Obradoiro,Prague,"2017 NBA Draft, Undrafted",Czech Republic
193,Stefan Peno,PG,6-6,200,FC Barcelona Lassa,Belgrade,"2019 NBA Draft, Undrafted",Serbia
194,Stratos Perperoglou,SF,6-7,230,FC Barcelona Lassa,Drama,"2006 NBA Draft, Undrafted",Greece
195,Bartek Pietras,PF,6-10,230,Movistar Estudiantes,Wloclawek,2020 NBA Draft Eligible,Poland
196,Taqwa Pinero,SG,6-3,195,Iberostar Tenerife,Red Bank (NJ),"2006 NBA Draft, Undrafted",United States
197,Darko Planinic,C,6-11,255,Herbalife Gran Canaria,Mostar,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaCroatia
198,Andrzej Pluta,SG,6-3,184,Real Betis Energia Plus,Ruda Slaska,2022 NBA Draft Eligible,Poland
199,Martynas Pocius,GF,6-5,190,UCAM Murcia,Vilnius,"2010 NBA Draft, Undrafted",Lithuania
200,Marko Popovic,SG,6-1,181,Montakit Fuenlabrada,Zadar,"2004 NBA Draft, Undrafted",Croatia
201,Pepe Pozas,PG,6-0,187,Rio Natura Monbus Obradoiro,Malaga,"2014 NBA Draft, Undrafted",Spain
202,Pablo Prigioni,G,6-3,185,KIROLBET Baskonia Vitoria-Gasteiz,Rio Tercero,"1999 NBA Draft, Undrafted",Argentina
203,Josep Puerto,G,6-6,198,Valencia Basket,Almussafes,2021 NBA Draft Eligible,Spain
204,Simon Pursl,PF,6-9,242,Tecnyconta Zaragoza,Prague,"2019 NBA Draft, Undrafted",Czech Republic
205,Artem Pustovyi,C,7-2,212,Rio Natura Monbus Obradoiro,Sofiivka,"2014 NBA Draft, Undrafted",Ukraine
206,Xavi Rabaseda,GF,6-7,205,Herbalife Gran Canaria,Ripoll,"2011 NBA Draft, Undrafted",Spain
207,Nikola Radicevic,PG,6-5,200,Real Betis Energia Plus,Cacak,2015 Rnd 2 Pick 27,Serbia
208,Dino Radoncic,GF,6-8,225,Real Madrid,Zrenjanin,2021 NBA Draft Eligible,SerbiaMontenegro
209,Nemanja Radovic,PF,6-8,215,UCAM Murcia,Berane,"2013 NBA Draft, Undrafted",Montenegro
210,Sander Raieste,SF,6-8,210,KIROLBET Baskonia Vitoria-Gasteiz,Tallinn,2021 NBA Draft Eligible,Estonia
211,Anthony Randolph,PF,6-11,225,Real Madrid,Wurzbach,2008 Rnd 1 Pick 14,United StatesSlovenia
212,Alex Renfroe,G,6-2,160,FC Barcelona Lassa,Hermitage (TN),"2009 NBA Draft, Undrafted",United StatesBosnia and Herzegovina
213,Xavi Rey,C,6-11,252,Montakit Fuenlabrada,Barcelona,"2009 NBA Draft, Undrafted",Spain
214,Felipe Reyes,FC,6-9,265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain
215,Pau Ribas,SG,6-3,165,FC Barcelona Lassa,Barcelona,"2009 NBA Draft, Undrafted",Spain
216,Tyrese Rice,PG,6-1,190,FC Barcelona Lassa,Richmond (VA),"2009 NBA Draft, Undrafted",United StatesMontenegro
217,Nicolas Richotti,SG,6-0,176,Iberostar Tenerife,Bahia Blanca,"2008 NBA Draft, Undrafted",ArgentinaItaly
218,Tomeu Rigo,SG,6-3,176,Real Betis Energia Plus,Campos,"2019 NBA Draft, Undrafted",Spain
219,Berni Rodriguez,SG,6-6,205,Real Betis Energia Plus,Malaga,"2002 NBA Draft, Undrafted",Spain
220,Sadiel Rojas,GF,6-4,190,UCAM Murcia,Arlington (TX),"2011 NBA Draft, Undrafted",United StatesDominican Republic
221,Ignacio Rosa,C,6-8,183,Unicaja Malaga,Los Barrios,2021 NBA Draft Eligible,Spain
222,Luka Rupnik,PG,6-1,157,Montakit Fuenlabrada,Ljubljana,"2015 NBA Draft, Undrafted",Slovenia
223,Brion Rush,SG,6-1,190,ICL Manresa,Shreveport (LA),"2006 NBA Draft, Undrafted",United States
224,Albert Sabat,PG,6-2,150,Divina Seguros Joventut,Girona,"2007 NBA Draft, Undrafted",Spain
225,Jordan Sakho,C,6-10,220,ICL Manresa,Kinshasa,"2019 NBA Draft, Undrafted",Democratic Republic of the CongoSpain
226,Javi Salgado,PG,5-11,181,RETAbet Bilbao Basket,Bilbao,"2002 NBA Draft, Undrafted",Spain
227,Sasu Salin,SG,6-3,191,Herbalife Gran Canaria,Helsinki,"2013 NBA Draft, Undrafted",Finland
