,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
0,Alberto Abalde,GF,6-7,215,Divina Seguros Joventut,A Coruna,"2017 NBA Draft, Undrafted",Spain
1,Seydou Aboubacar Hima,C,6-10,215,RETAbet Bilbao Basket,Niamey,"2016 NBA Draft, Undrafted",NigerIvory Coast
2,Alex Abrines,GF,6-6,190,FC Barcelona Lassa,Palma,2013 Rnd 2 Pick 2,Spain
3,Tim Abromaitis,PF,6-8,236,Iberostar Tenerife,Waterbury (CT),"2012 NBA Draft, Undrafted",United States
4,Darius Adams,PG,6-1,165,KIROLBET Baskonia Vitoria-Gasteiz,Decatur (IL),"2011 NBA Draft, Undrafted",United States
5,Danny Agbelese,F,6-8,215,Delteco GBC,Lanham (MD),"2012 NBA Draft, Undrafted",United States
6,Pablo Aguilar,PF,6-8,235,Herbalife Gran Canaria,Granada,"2011 NBA Draft, Undrafted",Spain
7,Jermaine Anderson,G,6-1,180,Real Betis Energia Plus,Toronto,"2006 NBA Draft, Undrafted",Canada
8,O.D. Anosike,F,6-8,240,KIROLBET Baskonia Vitoria-Gasteiz,Staten Island (NY),"2013 NBA Draft, Undrafted",United States
9,Jose Angel Antelo,PF,6-8,220,UCAM Murcia,Santiago De Compostela,"2009 NBA Draft, Undrafted",Spain
10,Salva Arco,GF,6-5,207,Iberostar Tenerife,Navia,"2006 NBA Draft, Undrafted",Spain
11,Carlos Arroyo,PG,6-2,202,FC Barcelona Lassa,Fajardo (PR),"2001 NBA Draft, Undrafted",Puerto RicoUnited States
12,Victor Arteaga,C,7-0,214,UCAM Murcia,Cuenca,"2014 NBA Draft, Undrafted",Spain
13,Patrik Auda,PF,6-9,235,ICL Manresa,Brno,"2015 NBA Draft, Undrafted",Czech Republic
14,Gustavo Ayon,C,6-10,250,Real Madrid,Tepic,"2007 NBA Draft, Undrafted",Mexico
