,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
15,Eulis Baez,PF,6-7,225,Herbalife Gran Canaria,Santo Domingo,"2005 NBA Draft, Undrafted",Dominican Republic
16,Tomas Balciunas,SF,6-7,190,FC Barcelona Lassa,Kupiskis,2022 NBA Draft Eligible,Lithuania
17,Ondrej Balvin,C,7-1,215,Real Betis Energia Plus,Usti Nad Labem,"2014 NBA Draft, Undrafted",Czech Republic
18,Scott Bamforth,SG,6-2,190,Real Betis Energia Plus,Albuquerque (NM),"2013 NBA Draft, Undrafted",United StatesKosovo
19,Alex Barrera,SG,6-7,180,ICL Manresa,Esplugues De Llobregat,"2014 NBA Draft, Undrafted",Spain
20,Mirza Begic,C,7-3,265,RETAbet Bilbao Basket,Bijeljina,"2007 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
21,Javier Beiran,SF,6-6,200,Iberostar Tenerife,Madrid,"2009 NBA Draft, Undrafted",Spain
22,Romaric Belemene,SF,6-9,205,Unicaja Malaga,Pointe-Noire,"2019 NBA Draft, Undrafted",Republic of the Congo
23,Tomas Bellas,PG,6-1,198,Tecnyconta Zaragoza,Madrid,"2009 NBA Draft, Undrafted",Spain
24,Eimantas Bendzius,SF,6-8,190,Rio Natura Monbus Obradoiro,Klaipeda,"2012 NBA Draft, Undrafted",Lithuania
25,Vitor Benite,SG,6-3,194,UCAM Murcia,Sao Paulo,"2009 NBA Draft, Undrafted",Brazil
26,Robin Benzing,SF,6-8,222,Tecnyconta Zaragoza,Seeheim-Jugenheim,"2011 NBA Draft, Undrafted",Germany
27,Dairis Bertans,SG,6-4,190,RETAbet Bilbao Basket,Valmiera,"2011 NBA Draft, Undrafted",Latvia
28,Davis Bertans,SF,6-10,225,KIROLBET Baskonia Vitoria-Gasteiz,Valmiera,2011 Rnd 2 Pick 12,Latvia
29,Stefan Bircevic,PF,6-11,210,Movistar Estudiantes,Lazarevac,"2011 NBA Draft, Undrafted",Serbia
30,Saul Blanco,GF,6-4,216,Iberostar Tenerife,Oviedo,"2007 NBA Draft, Undrafted",Spain
31,Jaka Blazic,SF,6-5,212,KIROLBET Baskonia Vitoria-Gasteiz,Jesenice,"2012 NBA Draft, Undrafted",Slovenia
32,Luka Bogdanovic,PF,6-11,210,MoraBanc Andorra,Belgrade,"2007 NBA Draft, Undrafted",Serbia
33,Georgios Bogris,FC,6-11,235,RETAbet Bilbao Basket,Athens,"2011 NBA Draft, Undrafted",Greece
34,Tobias Borg,PG,6-0,162,RETAbet Bilbao Basket,Sodertalje,"2015 NBA Draft, Undrafted",Sweden
35,Yannis Bourousis,C,7-1,265,KIROLBET Baskonia Vitoria-Gasteiz,Karditsa,"2005 NBA Draft, Undrafted",Greece
36,Nil Bria,SF,6-5,-,MoraBanc Andorra,Navarcles,"2019 NBA Draft, Undrafted",Spain
37,Dario Brizuela,SG,6-4,161,Movistar Estudiantes,San Sebastian,"2016 NBA Draft, Undrafted",Spain
38,Alec Brown,C,7-1,235,Rio Natura Monbus Obradoiro,Winona (MN),2014 Rnd 2 Pick 20,United States
39,Luka Bulashivili,SG,6-3,-,KIROLBET Baskonia Vitoria-Gasteiz,Tbilisi,2020 NBA Draft Eligible,Georgia
40,Carlos Cabezas,PG,6-2,205,UCAM Murcia,Malaga,"2002 NBA Draft, Undrafted",Spain
41,Angelo Caloiaro,SF,6-8,225,Rio Natura Monbus Obradoiro,San Jose (CA),"2012 NBA Draft, Undrafted",United States
42,Facundo Campazzo,PG,5-11,165,UCAM Murcia,Cordoba,"2013 NBA Draft, Undrafted",Argentina
43,Fran Cardenas,PG,5-9,145,Rio Natura Monbus Obradoiro,Huelva,"2012 NBA Draft, Undrafted",Spain
44,Jaycee Carroll,SG,6-2,170,Real Madrid,Laramie (WY),"2008 NBA Draft, Undrafted",United StatesAzerbaijan
45,Kerry Carter,G,6-2,205,Iberostar Tenerife,West Covina (CA),"2015 NBA Draft, Undrafted",United States
46,Emanuel Cate,PF,6-9,225,Real Betis Energia Plus,Bucharest,"2019 NBA Draft, Undrafted",Romania
47,Fabien Causeur,SG,6-3,198,KIROLBET Baskonia Vitoria-Gasteiz,Brest,"2009 NBA Draft, Undrafted",France
48,Jesus Chagoyen,PF,6-7,251,Rio Natura Monbus Obradoiro,Cadiz,"1999 NBA Draft, Undrafted",Spain
49,Nikola Cirkovic,G,6-3,185,Delteco GBC,Belgrade,"2019 NBA Draft, Undrafted",Serbia
50,Leo Cizmic,SF,6-8,220,Real Betis Energia Plus,Afula,2020 NBA Draft Eligible,IsraelCroatia
51,Dan Clark,FC,6-10,210,MoraBanc Andorra,Greenwich,"2010 NBA Draft, Undrafted",England
52,Jack Cooley,PF,6-10,265,Unicaja Malaga,Evanston (IL),"2013 NBA Draft, Undrafted",United States
53,Alberto Corbacho,SF,6-7,185,KIROLBET Baskonia Vitoria-Gasteiz,Palma,"2006 NBA Draft, Undrafted",Spain
54,Lluis Costa,PG,6-1,205,ICL Manresa,Barcelona,"2015 NBA Draft, Undrafted",Spain
55,David Cuellar,SG,6-4,188,Montakit Fuenlabrada,Lleida,"2019 NBA Draft, Undrafted",Spain
56,Nedim Dedovic,SF,6-9,190,FC Barcelona Lassa,Munich,"2019 NBA Draft, Undrafted",Bosnia and Herzegovina
57,Leonardo Demetrio,PF,6-8,198,Montakit Fuenlabrada,Curitiba,"2016 NBA Draft, Undrafted",Brazil
58,Mayot Deng,C,7-2,270,ICL Manresa,Juba,"2019 NBA Draft, Undrafted",South Sudan
59,Atoumane Diagne,C,6-10,230,FC Barcelona Lassa,Dakar,2020 NBA Draft Eligible,Senegal
60,Moussa Diagne,C,6-11,218,FC Barcelona Lassa,Rufisque,"2016 NBA Draft, Undrafted",Senegal
61,Alberto Diaz,PG,6-2,187,Unicaja Malaga,Malaga,"2016 NBA Draft, Undrafted",Spain
62,Drake Diener,SG,6-5,194,Tecnyconta Zaragoza,Fond du Lac (WI),"2005 NBA Draft, Undrafted",United States
63,Daniel Diez,SF,6-8,216,Unicaja Malaga,Madrid,2015 Rnd 2 Pick 24,Spain
64,Ilimane Diop,C,6-11,216,KIROLBET Baskonia Vitoria-Gasteiz,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal
65,Mamadou Diop,PF,6-8,209,KIROLBET Baskonia Vitoria-Gasteiz,Guediawaye,"2015 NBA Draft, Undrafted",SenegalSpain
66,Antoine Diot,PG,6-4,188,Valencia Basket,Bourg-en-Bresse,"2011 NBA Draft, Undrafted",France
67,David Doblas,C,6-9,285,Delteco GBC,Santander,"2003 NBA Draft, Undrafted",Spain
68,Justin Doellman,PF,6-9,210,FC Barcelona Lassa,Union (KY),"2007 NBA Draft, Undrafted",United StatesKosovo
69,Luka Doncic,SF,6-7,218,Real Madrid,Ljubljana,2018 Rnd 1 Pick 3,Slovenia
70,Joey Dorsey,FC,6-9,275,FC Barcelona Lassa,Baltimore (MD),2008 Rnd 2 Pick 3,United States
71,Ousmane Drame,F,6-9,225,Divina Seguros Joventut,Boston (MA),"2015 NBA Draft, Undrafted",United StatesGuinea
72,Bojan Dubljevic,FC,6-9,242,Valencia Basket,Niksic,2013 Rnd 2 Pick 29,Montenegro
73,Etinosa Erevbenagie,G,6-1,187,RETAbet Bilbao Basket,Lagos,"2017 NBA Draft, Undrafted",Nigeria
74,Marcus Eriksson,GF,6-7,178,FC Barcelona Lassa,Helga Trefald,2015 Rnd 2 Pick 20,Sweden
75,Vitor Faverani,FC,6-11,260,UCAM Murcia,Paulinia,"2009 NBA Draft, Undrafted",Brazil
76,Jaime Fernandez,PG,6-2,178,Movistar Estudiantes,Madrid,"2015 NBA Draft, Undrafted",Spain
77,Rudy Fernandez,SG,6-6,185,Real Madrid,Palma,2007 Rnd 1 Pick 24,Spain
78,Dmitry Flis,PF,6-8,220,ICL Manresa,Kaliningrad,"2006 NBA Draft, Undrafted",RussiaSpain
79,Je'Kel Foster,SG,6-3,210,ICL Manresa,Natchez (MS),"2006 NBA Draft, Undrafted",United States
80,Isaac Fotu,PF,6-8,235,Tecnyconta Zaragoza,Auckland,"2015 NBA Draft, Undrafted",New Zealand
81,German Gabriel,F,6-8,244,Unicaja Malaga,Caracas,"2002 NBA Draft, Undrafted",Spain
82,Dorde Gagic,C,6-9,251,Iberostar Tenerife,Benkovac,"2012 NBA Draft, Undrafted",CroatiaSerbia
83,Ovidijus Galdikas,C,7-1,217,Herbalife Gran Canaria,Kaunas,"2010 NBA Draft, Undrafted",Lithuania
84,Juan Jose Garcia,PF,6-7,201,ICL Manresa,Santo Domingo,"2011 NBA Draft, Undrafted",Dominican RepublicSpain
85,Sergi Garcia,PG,6-3,181,Tecnyconta Zaragoza,Palma,"2019 NBA Draft, Undrafted",Spain
86,Betinho Gomes,SF,6-8,190,MoraBanc Andorra,Fogo,"2007 NBA Draft, Undrafted",Cape VerdePortugal
87,Chema Gonzalez,FC,6-9,203,Montakit Fuenlabrada,Zaragoza,"2013 NBA Draft, Undrafted",Spain
88,Zach Graham,G,6-6,210,Movistar Estudiantes,Suwanee (GA),"2011 NBA Draft, Undrafted",United States
89,Marius Grigonis,SF,6-6,195,ICL Manresa,Kaunas,"2016 NBA Draft, Undrafted",Lithuania
90,Jordi Grimau,GF,6-6,185,Delteco GBC,Barcelona,"2005 NBA Draft, Undrafted",Spain
91,David Guardia,SF,6-6,195,Valencia Basket,Valencia,"2012 NBA Draft, Undrafted",Spain
92,Fran Guerra,C,7-0,250,Movistar Estudiantes,Las Palmas de Gran Canaria,"2014 NBA Draft, Undrafted",Spain
93,Ludde Hakanson,PG,6-3,184,Real Betis Energia Plus,Matteus,"2018 NBA Draft, Undrafted",Sweden
94,Justin Hamilton,C,7-0,255,Valencia Basket,Alpine (UT),2012 Rnd 2 Pick 15,United StatesCroatia
95,Adam Hanga,SF,6-7,200,KIROLBET Baskonia Vitoria-Gasteiz,Budapest,2011 Rnd 2 Pick 29,Hungary
96,Will Hanley,PF,6-7,205,Iberostar Tenerife,Stamford (CT),"2012 NBA Draft, Undrafted",United StatesIreland
97,Clevin Hannah,G,5-11,165,RETAbet Bilbao Basket,Holly Springs (MS),"2010 NBA Draft, Undrafted",United StatesSenegal
98,Tyler Haws,SG,6-5,195,Rio Natura Monbus Obradoiro,Alpine (UT),"2015 NBA Draft, Undrafted",United States
99,Kenny Hayes,G,6-2,175,Unicaja Malaga,Dayton (OH),"2010 NBA Draft, Undrafted",United States
100,Richard Hendrix,FC,6-9,264,Unicaja Malaga,Athens (AL),2008 Rnd 2 Pick 19,United StatesNorth Macedonia
101,Sek Henry,G,6-4,200,Tecnyconta Zaragoza,Lynwood (CA),"2010 NBA Draft, Undrafted",United States
102,LaDontae Henton,F,6-6,215,Real Betis Energia Plus,Lansing (MI),"2015 NBA Draft, Undrafted",United States
103,Alex Hernandez,PG,6-2,159,ICL Manresa,Murcia,"2012 NBA Draft, Undrafted",Spain
104,Juancho Hernangomez,F,6-9,230,Movistar Estudiantes,Madrid,2016 Rnd 1 Pick 15,Spain
105,Willy Hernangomez,C,6-11,240,Real Madrid,Madrid,2015 Rnd 2 Pick 5,Spain
106,Axel Hervelle,PF,6-8,240,RETAbet Bilbao Basket,Liege,2005 Rnd 2 Pick 22,Belgium
107,Stephen Holt,SG,6-4,195,MoraBanc Andorra,Portland (OR),"2014 NBA Draft, Undrafted",United States
108,Albert Homs,SG,6-8,170,Real Madrid,Mataro,"2016 NBA Draft, Undrafted",Spain
109,Edwin Jackson,SG,6-2,201,Unicaja Malaga,Pau,"2011 NBA Draft, Undrafted",France
110,Mike James,PG,6-1,190,KIROLBET Baskonia Vitoria-Gasteiz,Portland (OR),"2012 NBA Draft, Undrafted",United States
111,Shawn James,C,6-10,225,RETAbet Bilbao Basket,Brooklyn (NY),"2008 NBA Draft, Undrafted",United States
112,Nemanja Jaramaz,G,6-7,190,ICL Manresa,Niksic,"2013 NBA Draft, Undrafted",MontenegroSerbia
113,Stevan Jelovac,PF,6-10,245,Tecnyconta Zaragoza,Novi Sad,"2011 NBA Draft, Undrafted",Serbia
114,David Jofresa,PG,6-0,179,MoraBanc Andorra,Barcelona,"2017 NBA Draft, Undrafted",Spain
115,Joseph Jones,F,6-9,255,Iberostar Tenerife,Normangee (TX),"2008 NBA Draft, Undrafted",United States
116,Shawn Jones,F,6-8,240,MoraBanc Andorra,Hialeah (FL),"2014 NBA Draft, Undrafted",United StatesKosovo
117,Jerome Jordan,C,7-0,253,Real Betis Energia Plus,Kingston,2010 Rnd 2 Pick 14,Jamaica
118,Guillem Jou,SG,6-6,180,ICL Manresa,Girona,"2019 NBA Draft, Undrafted",Spain
119,Halil Kanacevic,F,6-8,260,Tecnyconta Zaragoza,Staten Island (NY),"2014 NBA Draft, Undrafted",United StatesMontenegro
120,Kristjan Kangur,SF,6-6,212,KIROLBET Baskonia Vitoria-Gasteiz,Parnu,"2004 NBA Draft, Undrafted",Estonia
121,Kenan Karahodzic,C,6-10,230,Unicaja Malaga,Backa Topola,"2018 NBA Draft, Undrafted",SerbiaBosnia and Herzegovina
122,Karl Karpin,C,6-11,275,Divina Seguros Joventut,Tallinn,2022 NBA Draft Eligible,Estonia
123,Thomas Kelati,G,6-4,194,UCAM Murcia,Walla Walla (WA),"2005 NBA Draft, Undrafted",United StatesPoland
124,Levon Kendall,F,6-11,220,Movistar Estudiantes,Vancouver,"2007 NBA Draft, Undrafted",Canada
125,Ahmed Khalaf,C,6-9,210,ICL Manresa,Cairo,2021 NBA Draft Eligible,Egypt
126,Filip Knezevic,C,6-9,-,MoraBanc Andorra,Bijelo Polje,"2016 NBA Draft, Undrafted",MontenegroCroatia
127,Verners Kohs,F,6-8,205,Tecnyconta Zaragoza,Ventspils,"2019 NBA Draft, Undrafted",Latvia
128,Evgeny Kolesnikov,G,6-5,210,Rio Natura Monbus Obradoiro,Jambyl,"2007 NBA Draft, Undrafted",KazakhstanRussia
129,Viacheslav Kravtsov,C,6-11,254,Tecnyconta Zaragoza,Odessa,"2009 NBA Draft, Undrafted",Ukraine
130,Kyle Kuric,SG,6-4,195,Herbalife Gran Canaria,Evansville (IN),"2012 NBA Draft, Undrafted",United States
131,Rodions Kurucs,SF,6-9,210,FC Barcelona Lassa,Cesis,2018 Rnd 2 Pick 10,Latvia
132,Mindaugas Kuzminskas,SF,6-9,215,Unicaja Malaga,Vilnius,"2011 NBA Draft, Undrafted",Lithuania
133,Marcus Landry,F,6-7,230,Delteco GBC,Milwaukee (WI),"2009 NBA Draft, Undrafted",United States
134,Nicolas Laprovittola,PG,6-4,180,Movistar Estudiantes,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina
135,Shane Lawal,C,6-10,230,FC Barcelona Lassa,Southfield (MI),"2009 NBA Draft, Undrafted",United StatesNigeria
136,Andrew Lawrence,PG,6-1,192,Delteco GBC,London,"2013 NBA Draft, Undrafted",England
137,Augusto Cesar Lima,PF,6-10,235,UCAM Murcia,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil
138,Valter Lindstrom,PG,5-11,168,Iberostar Tenerife,Matteus,"2017 NBA Draft, Undrafted",Sweden
139,Nate Linhart,SF,6-7,215,Tecnyconta Zaragoza,Gahanna (OH),"2009 NBA Draft, Undrafted",United States
140,Charalampos Liounis,C,6-11,212,Divina Seguros Joventut,Athens,2021 NBA Draft Eligible,Greece
141,Sergei Lishouk,FC,6-11,250,UCAM Murcia,Rivne,2004 Rnd 2 Pick 20,Ukraine
142,Pedro Llompart,PG,6-1,185,Delteco GBC,Mallorca,"2004 NBA Draft, Undrafted",Spain
143,Alex Llorca,SG,6-2,195,Montakit Fuenlabrada,Barcelona,"2011 NBA Draft, Undrafted",Spain
144,Nacho Llovet,FC,6-8,225,Divina Seguros Joventut,Barcelona,"2013 NBA Draft, Undrafted",Spain
145,Sergio Llull,PG,6-3,190,Real Madrid,Mao,2009 Rnd 2 Pick 4,Spain
146,Raul Lopez,PG,6-0,175,RETAbet Bilbao Basket,Vic,2001 Rnd 1 Pick 24,Spain
147,Vladimir Lucic,SF,6-8,200,Valencia Basket,Belgrade,"2011 NBA Draft, Undrafted",Serbia
148,Jonas Maciulis,SF,6-7,225,Real Madrid,Kaunas,"2007 NBA Draft, Undrafted",Lithuania
149,Gaizka Maiza,PG,6-3,185,Delteco GBC,Ibarra,"2018 NBA Draft, Undrafted",Spain
150,Demond Mallet,G,6-1,194,Divina Seguros Joventut,Leesville (LA),"2001 NBA Draft, Undrafted",United States
151,Aleks Maric,C,6-11,270,Rio Natura Monbus Obradoiro,Sydney,"2008 NBA Draft, Undrafted",Australia
152,Stefan Markovic,PG,6-6,215,Unicaja Malaga,Belgrade,"2010 NBA Draft, Undrafted",Serbia
153,Marc Marti,PF,6-8,203,Tecnyconta Zaragoza,Lleida,"2019 NBA Draft, Undrafted",Spain
154,Alberto Martin,PG,5-10,180,UCAM Murcia,Madrid,"2017 NBA Draft, Undrafted",Spain
155,Nacho Martin,PF,6-9,233,Movistar Estudiantes,Valladolid,"2005 NBA Draft, Undrafted",Spain
156,Miguel Martinez,PG,6-0,172,Valencia Basket,Valencia,"2017 NBA Draft, Undrafted",Spain
157,Rafa Martinez,SG,6-3,198,Valencia Basket,Barcelona,"2004 NBA Draft, Undrafted",Spain
158,Alberto Maura,F,6-6,198,Movistar Estudiantes,Palma,2020 NBA Draft Eligible,Spain
159,Donnie McGrath,G,6-4,190,Rio Natura Monbus Obradoiro,Katonah (NY),"2006 NBA Draft, Undrafted",United States
160,Borja Mendia,SF,6-6,196,RETAbet Bilbao Basket,Bilbao,"2016 NBA Draft, Undrafted",Spain
161,Landon Milbourne,SF,6-7,205,Delteco GBC,Rockville (MD),"2010 NBA Draft, Undrafted",United States
162,Milos Milisavljevic,PG,6-4,202,ICL Manresa,Backa Topola,"2015 NBA Draft, Undrafted",Serbia
163,Nenad Miljenovic,PG,6-4,200,Real Betis Energia Plus,Belgrade,"2015 NBA Draft, Undrafted",Serbia
164,Albert Miralles,FC,6-10,238,Divina Seguros Joventut,Barcelona,2004 Rnd 2 Pick 10,Spain
165,Anrijs Miska,C,6-9,185,Real Madrid,Rujiena,2022 NBA Draft Eligible,Latvia
166,Tony Mitchell,SF,6-6,216,Movistar Estudiantes,Swainsboro (GA),"2012 NBA Draft, Undrafted",United States
167,Roman Montanez,SG,6-3,200,ICL Manresa,Sant Joan de Vilatorrada,"2001 NBA Draft, Undrafted",Spain
168,Yanick Moreira,C,6-11,220,UCAM Murcia,Luanda,"2015 NBA Draft, Undrafted",Angola
169,Victor Moreno,SG,6-4,189,Montakit Fuenlabrada,Alcorcon,2020 NBA Draft Eligible,Spain
170,Mikel Motos,SG,6-4,187,Delteco GBC,San Sebastian,"2015 NBA Draft, Undrafted",Spain
171,Alex Mumbru,SF,6-7,220,RETAbet Bilbao Basket,Barcelona,"2001 NBA Draft, Undrafted",Spain
172,Dejan Musli,C,7-0,242,ICL Manresa,Prizren,"2013 NBA Draft, Undrafted",Serbia
173,Bostjan Nachbar,F,6-10,220,Real Betis Energia Plus,Slovenj Gradec,2002 Rnd 1 Pick 15,Slovenia
174,David Navarro,SG,6-4,180,MoraBanc Andorra,Barcelona,"2005 NBA Draft, Undrafted",Spain
175,Juan Carlos Navarro,SG,6-4,170,FC Barcelona Lassa,Sant Feliu de Llobregat,2002 Rnd 2 Pick 11,Spain
176,Samba Ndiaye,C,6-9,235,Real Madrid,Thies,2021 NBA Draft Eligible,Senegal
177,Maurice Ndour,F,6-9,200,Real Madrid,Thies,"2015 NBA Draft, Undrafted",Senegal
178,Nemanja Nedovic,SG,6-3,192,Unicaja Malaga,Nova Varos,2013 Rnd 1 Pick 30,Serbia
179,DeMarcus Nelson,G,6-4,200,Unicaja Malaga,Oakland (CA),"2008 NBA Draft, Undrafted",United States
180,Brad Newley,F,6-6,205,Herbalife Gran Canaria,Lower Mitcham,2007 Rnd 2 Pick 24,Australia
181,Mamadou Niang,C,6-10,235,Iberostar Tenerife,Thies,"2016 NBA Draft, Undrafted",Senegal
182,Wally Niang,C,6-9,201,MoraBanc Andorra,Dakar,"2018 NBA Draft, Undrafted",Senegal
183,Zoran Nikolic,C,7-0,235,Divina Seguros Joventut,Niksic,"2018 NBA Draft, Undrafted",Montenegro
184,Andres Nocioni,F,6-7,225,Real Madrid,Santa Fe,"2001 NBA Draft, Undrafted",Argentina
185,Jose Nogues,PF,6-8,190,Divina Seguros Joventut,Barcelona,"2017 NBA Draft, Undrafted",Spain
186,Henk Norel,C,7-0,230,Tecnyconta Zaragoza,Gorinchem,2009 Rnd 2 Pick 17,Netherlands
187,Ian O'Leary,PF,6-7,220,Iberostar Tenerife,Woodland Hills (CA),"2009 NBA Draft, Undrafted",United States
188,Viny Okouo,C,7-1,240,Unicaja Malaga,Brazzaville,"2019 NBA Draft, Undrafted",Republic of the Congo
189,Julen Olaizola,FC,6-7,218,Delteco GBC,San Sebastian,"2015 NBA Draft, Undrafted",Spain
190,Brad Oleson,SG,6-3,185,FC Barcelona Lassa,Anchorage (AK),"2005 NBA Draft, Undrafted",United StatesSpain
191,Albert Oliver,PG,6-2,185,Herbalife Gran Canaria,Barcelona,"2000 NBA Draft, Undrafted",Spain
192,Adnan Omeragic,SF,6-6,194,Iberostar Tenerife,San Cristobal de La Laguna,"2018 NBA Draft, Undrafted",Spain
193,Alen Omic,C,7-2,225,Herbalife Gran Canaria,Tuzla,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
194,Pierre Oriola,PF,6-8,235,Real Betis Energia Plus,Tarrega,"2014 NBA Draft, Undrafted",Spain
195,Xabi Oroz,SG,6-3,183,Delteco GBC,Azpeitia,"2018 NBA Draft, Undrafted",Spain
196,Chumi Ortega,SG,6-3,182,UCAM Murcia,Madrid,"2019 NBA Draft, Undrafted",Spain
197,Urko Otegui,PF,6-7,232,Delteco GBC,San Sebastian,"2003 NBA Draft, Undrafted",Spain
198,Ruslan Otverchenko,GF,6-4,200,ICL Manresa,Ulan Bator,"2012 NBA Draft, Undrafted",UkraineMongolia
199,Kevin Pangos,PG,6-2,185,Herbalife Gran Canaria,Newmarket,"2015 NBA Draft, Undrafted",Canada
200,Anzejs Pasecniks,C,7-1,229,Herbalife Gran Canaria,Riga,2017 Rnd 1 Pick 25,Latvia
201,Brandon Paul,G,6-4,200,Divina Seguros Joventut,Gurnee (IL),"2013 NBA Draft, Undrafted",United States
202,Oriol Pauli,GF,6-7,185,Herbalife Gran Canaria,Girona,"2016 NBA Draft, Undrafted",Spain
203,Ivan Paunic,GF,6-5,190,Montakit Fuenlabrada,Belgrade,"2009 NBA Draft, Undrafted",Serbia
204,Dani Perez,PG,6-0,188,Iberostar Tenerife,Barcelona,"2012 NBA Draft, Undrafted",Spain
205,Pablo Perez,PG,6-0,190,Valencia Basket,Cuenca,"2019 NBA Draft, Undrafted",Spain
206,Stratos Perperoglou,SF,6-7,230,FC Barcelona Lassa,Drama,"2006 NBA Draft, Undrafted",Greece
207,Travis Peterson,C,6-10,240,Valencia Basket,Glendale (AZ),"2008 NBA Draft, Undrafted",United States
208,Taqwa Pinero,SG,6-3,195,Delteco GBC,Red Bank (NJ),"2006 NBA Draft, Undrafted",United States
209,Sergi Pino,SF,6-5,195,MoraBanc Andorra,Barcelona,"2009 NBA Draft, Undrafted",Spain
210,Darko Planinic,C,6-11,255,KIROLBET Baskonia Vitoria-Gasteiz,Mostar,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaCroatia
211,Marko Popovic,SG,6-1,181,Montakit Fuenlabrada,Zadar,"2004 NBA Draft, Undrafted",Croatia
212,Pepe Pozas,PG,6-0,187,Rio Natura Monbus Obradoiro,Malaga,"2014 NBA Draft, Undrafted",Spain
213,Josep Puerto,G,6-6,198,Valencia Basket,Almussafes,2021 NBA Draft Eligible,Spain
214,Pavel Pumprla,SF,6-5,200,Movistar Estudiantes,Zabreh,"2008 NBA Draft, Undrafted",Czech Republic
215,Simon Pursl,PF,6-9,242,Tecnyconta Zaragoza,Prague,"2019 NBA Draft, Undrafted",Czech Republic
216,Artem Pustovyi,C,7-2,212,Rio Natura Monbus Obradoiro,Sofiivka,"2014 NBA Draft, Undrafted",Ukraine
217,Kareem Queeley,G,6-3,202,Real Madrid,Saint Kitts,2023 NBA Draft Eligible,Saint Kitts and NevisEngland
218,Xavi Rabaseda,GF,6-7,205,Herbalife Gran Canaria,Ripoll,"2011 NBA Draft, Undrafted",Spain
219,Nikola Radicevic,PG,6-5,200,Real Betis Energia Plus,Cacak,2015 Rnd 2 Pick 27,Serbia
220,Dino Radoncic,GF,6-8,225,Real Madrid,Zrenjanin,2021 NBA Draft Eligible,SerbiaMontenegro
221,Nemanja Radovic,PF,6-8,215,UCAM Murcia,Berane,"2013 NBA Draft, Undrafted",Montenegro
222,Milovan Rakovic,PF,6-10,286,Divina Seguros Joventut,Uzice,2007 Rnd 2 Pick 30,Serbia
223,Xavi Rey,C,6-11,252,Movistar Estudiantes,Barcelona,"2009 NBA Draft, Undrafted",Spain
224,Felipe Reyes,FC,6-9,265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain
225,Pau Ribas,SG,6-3,165,FC Barcelona Lassa,Barcelona,"2009 NBA Draft, Undrafted",Spain
226,Nicolas Richotti,SG,6-0,176,Iberostar Tenerife,Bahia Blanca,"2008 NBA Draft, Undrafted",ArgentinaItaly
227,Andres Rico,G,6-3,156,Delteco GBC,Madrid,"2019 NBA Draft, Undrafted",Spain
228,Tomeu Rigo,SG,6-3,176,Real Betis Energia Plus,Campos,"2019 NBA Draft, Undrafted",Spain
229,K.C. Rivers,SF,6-5,198,Real Madrid,Charlotte (NC),"2009 NBA Draft, Undrafted",United States
230,Berni Rodriguez,SG,6-6,205,Real Betis Energia Plus,Malaga,"2002 NBA Draft, Undrafted",Spain
231,Sergio Rodriguez,PG,6-3,176,Real Madrid,Tenerife,2006 Rnd 1 Pick 27,Spain
