,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,FC Barcelona Lassa,23,702,1437,0.489,186,541,0.344,516,896,0.5760000000000001,451,574,0.7859999999999999,233,535,768,398,195,61,304,453,2041
1,2.0,Real Madrid,23,692,1466,0.47200000000000003,250,643,0.389,442,823,0.537,354,453,0.7809999999999999,201,620,821,398,141,95,299,412,1988
2,3.0,Tecnyconta Zaragoza,23,699,1507,0.46399999999999997,195,531,0.36700000000000005,504,976,0.516,318,440,0.723,227,558,785,381,141,79,290,453,1911
3,4.0,Iberostar Tenerife,22,650,1355,0.48,194,553,0.35100000000000003,456,802,0.569,308,385,0.8,186,472,658,408,138,24,281,430,1802
4,5.0,RETAbet Bilbao Basket,23,677,1462,0.46299999999999997,199,564,0.353,478,898,0.532,313,412,0.76,209,563,772,353,113,81,313,489,1866
5,6.0,MoraBanc Andorra,23,659,1439,0.45799999999999996,189,553,0.342,470,886,0.53,358,490,0.731,212,527,739,334,161,47,309,459,1865
6,7.0,Unicaja,23,629,1458,0.431,213,628,0.33899999999999997,416,830,0.501,368,468,0.7859999999999999,229,514,743,335,163,44,291,459,1839
7,8.0,Valencia Basket,23,688,1453,0.474,227,599,0.379,461,854,0.54,347,429,0.809,230,521,751,367,160,52,271,383,1950
8,9.0,San Pablo Burgos,23,663,1481,0.44799999999999995,248,666,0.37200000000000005,415,815,0.509,266,414,0.643,229,527,756,370,142,68,263,483,1841
9,10.0,Baskonia,23,699,1470,0.47600000000000003,197,582,0.33799999999999997,502,888,0.565,331,445,0.7440000000000001,234,507,741,329,178,81,296,477,1926
10,11.0,Herbalife Gran Canaria,22,639,1392,0.45899999999999996,225,611,0.368,414,781,0.53,272,369,0.737,203,512,715,377,122,45,265,463,1775
11,12.0,Manresa,23,676,1478,0.457,181,543,0.33299999999999996,495,935,0.529,310,422,0.735,217,520,737,434,116,59,290,474,1843
12,13.0,Divina Seguros Joventut,23,655,1457,0.45,194,593,0.327,461,864,0.534,381,476,0.8,215,530,745,406,134,31,296,486,1933
13,14.0,Rio Natura Monbus Obradoiro,23,652,1470,0.444,242,670,0.361,410,800,0.513,286,372,0.769,204,466,670,372,142,77,286,473,1832
14,15.0,Coosur Real Betis,23,651,1440,0.452,222,580,0.38299999999999995,429,860,0.499,263,356,0.7390000000000001,191,505,696,330,146,49,299,463,1787
15,16.0,UCAM Murcia,22,631,1461,0.43200000000000005,218,616,0.354,413,845,0.489,289,382,0.757,237,478,715,287,145,54,292,527,1769
16,17.0,Montakit Fuenlabrada,22,607,1371,0.44299999999999995,176,527,0.33399999999999996,431,844,0.511,318,470,0.677,185,484,669,332,142,53,298,474,1708
17,18.0,Movistar Estudiantes,23,607,1480,0.41,202,619,0.326,405,861,0.47,248,331,0.7490000000000001,218,493,711,337,189,49,277,517,1722
18,,League Average,23,660,1449,0.455,209,590,0.354,451,859,0.525,321,427,0.752,214,518,733,364,148,58,290,465,1855
