,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Real Madrid *,32,1314,2789,0.47100000000000003,399,1167,0.342,915,1622,0.564,609,795,0.7659999999999999,423,1007,1430,720,295,143,447,822,3636
1,2.0,Valencia Basket *,32,1237,2581,0.479,374,1003,0.373,863,1578,0.547,668,859,0.778,369,983,1352,757,287,75,532,815,3516
2,3.0,Baskonia *,32,1176,2552,0.461,328,1028,0.319,848,1524,0.556,558,739,0.755,346,942,1288,660,287,119,529,895,3238
3,4.0,Unicaja *,32,1085,2312,0.469,370,945,0.392,715,1367,0.523,551,740,0.745,385,812,1197,674,237,71,476,765,3091
4,5.0,FC Barcelona Lassa *,32,1028,2073,0.496,315,863,0.365,713,1210,0.589,476,636,0.748,270,830,1100,567,225,79,464,760,2847
5,6.0,Iberostar Tenerife *,32,963,2089,0.461,358,962,0.37200000000000005,605,1127,0.537,381,507,0.7509999999999999,289,768,1057,628,194,71,424,732,2665
6,7.0,Herbalife Gran Canaria *,32,1051,2211,0.475,282,817,0.345,769,1394,0.552,550,714,0.77,349,783,1132,579,287,86,446,718,2934
7,8.0,MoraBanc Andorra *,32,1012,2168,0.467,255,752,0.33899999999999997,757,1416,0.535,581,790,0.735,268,824,1092,627,233,75,477,738,2860
8,9.0,UCAM Murcia,32,892,1996,0.447,315,870,0.36200000000000004,577,1126,0.512,460,584,0.7879999999999999,296,700,996,443,201,51,419,749,2558
9,10.0,RETAbet Bilbao Basket,32,870,1974,0.441,294,850,0.34600000000000003,576,1124,0.512,438,574,0.763,302,699,1001,504,202,57,464,737,2472
10,11.0,Movistar Estudiantes,32,928,2025,0.45799999999999996,285,829,0.344,643,1196,0.5379999999999999,470,617,0.762,239,710,949,505,247,88,377,679,2611
11,12.0,Montakit Fuenlabrada,32,891,2056,0.433,270,830,0.325,621,1226,0.507,410,579,0.708,311,658,969,444,202,46,438,703,2462
12,13.0,Rio Natura Monbus Obradoiro,32,871,1932,0.451,247,752,0.32799999999999996,624,1180,0.529,450,574,0.784,287,631,918,503,194,72,441,674,2439
13,14.0,Divina Seguros Joventut,32,863,1952,0.442,301,849,0.355,562,1103,0.51,407,534,0.762,248,670,918,466,191,60,414,691,2434
14,15.0,Real Betis Energia Plus,32,882,1949,0.45299999999999996,216,627,0.344,666,1322,0.504,448,598,0.7490000000000001,292,665,957,361,192,41,420,765,2428
15,16.0,Tecnyconta Zaragoza,32,857,1939,0.442,238,764,0.312,619,1175,0.527,582,734,0.7929999999999999,277,677,954,482,164,53,407,672,2534
16,17.0,ICL Manresa,32,838,1972,0.425,237,737,0.322,601,1235,0.48700000000000004,461,613,0.752,284,623,907,408,185,54,431,718,2374
17,,League Average,32,986,2151,0.45799999999999996,299,861,0.34700000000000003,687,1290,0.532,500,658,0.76,308,764,1072,549,225,73,447,743,2771
