,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Real Madrid *,34,1028,2129,0.483,309,788,0.392,719,1341,0.536,538,694,0.775,283,794,1077,581,278,107,427,755,2903
1,2.0,FC Barcelona *,34,1058,2120,0.499,301,758,0.397,757,1362,0.556,389,486,0.8,292,794,1086,612,224,75,395,673,2806
2,3.0,Unicaja *,34,973,2092,0.465,281,769,0.365,692,1323,0.523,511,647,0.79,375,705,1080,554,225,78,401,665,2738
3,4.0,Bilbao Basket *,34,951,2087,0.456,292,860,0.34,659,1227,0.537,458,594,0.7709999999999999,311,684,995,518,251,57,406,735,2652
4,5.0,Valencia Basket *,34,985,2043,0.48200000000000004,311,803,0.387,674,1240,0.544,536,679,0.789,305,683,988,581,261,68,434,779,2817
5,6.0,Laboral Kutxa Baskonia *,34,1017,2157,0.47100000000000003,312,810,0.385,705,1347,0.523,488,632,0.772,284,815,1099,486,272,104,454,737,2834
6,7.0,FIATC Joventut *,34,954,2158,0.442,312,916,0.341,642,1242,0.517,432,596,0.725,307,733,1040,531,244,110,421,721,2652
7,8.0,CAI Zaragoza,34,902,2019,0.447,241,702,0.34299999999999997,661,1317,0.502,539,677,0.7959999999999999,267,810,1077,472,188,69,400,659,2584
8,9.0,Herbalife Gran Canaria *,34,975,2186,0.446,269,791,0.34,706,1395,0.506,419,562,0.746,354,733,1087,475,252,114,394,700,2638
9,10.0,UCAM Murcia,34,925,2064,0.44799999999999995,267,771,0.34600000000000003,658,1293,0.509,504,680,0.741,340,693,1033,440,257,100,446,767,2621
10,11.0,Iberostar Tenerife,34,958,2078,0.461,276,781,0.353,682,1297,0.526,459,640,0.7170000000000001,302,768,1070,603,281,64,450,644,2651
11,12.0,Rio Natura Monbus Obradoiro,34,853,1993,0.428,280,792,0.354,573,1201,0.47700000000000004,481,642,0.7490000000000001,307,692,999,520,239,107,414,715,2467
12,13.0,Tuenti Movil Estudiantes,34,892,1988,0.449,250,731,0.342,642,1257,0.511,475,646,0.735,284,707,991,481,246,103,391,688,2509
13,14.0,Baloncesto Sevilla,34,918,2092,0.439,231,705,0.32799999999999996,687,1387,0.495,472,612,0.7709999999999999,325,776,1101,475,228,88,462,713,2539
14,15.0,Mora Banc Andorra,34,944,2129,0.44299999999999995,282,820,0.344,662,1309,0.506,379,519,0.73,281,787,1068,529,222,73,417,720,2549
15,16.0,LaBruixa d'Or Manresa,34,858,2037,0.42100000000000004,268,784,0.342,590,1253,0.47100000000000003,472,626,0.754,293,672,965,408,217,75,409,748,2456
16,17.0,Gipuzkoa Basket,34,888,2061,0.431,272,786,0.34600000000000003,616,1275,0.483,361,509,0.7090000000000001,251,783,1034,522,188,50,429,680,2409
17,18.0,Montakit Fuenlabrada,34,888,2068,0.429,258,798,0.32299999999999995,630,1270,0.496,499,637,0.7829999999999999,308,773,1081,428,179,72,451,757,2533
18,,League Average,34,943,2083,0.452,278,787,0.354,664,1296,0.512,467,615,0.759,304,745,1048,512,236,84,422,714,2631
