,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Real Madrid *,34,1384,2755,0.502,423,1103,0.38299999999999995,961,1652,0.5820000000000001,674,898,0.7509999999999999,380,1100,1480,784,293,162,508,875,3865
1,2.0,Baskonia *,34,1333,2738,0.48700000000000004,426,1100,0.387,907,1638,0.5539999999999999,693,874,0.7929999999999999,340,1135,1475,848,253,112,538,918,3785
2,3.0,FC Barcelona Lassa *,34,1309,2680,0.488,395,1015,0.389,914,1665,0.5489999999999999,558,779,0.716,378,951,1329,803,329,104,461,853,3571
3,4.0,Valencia Basket *,34,1045,2204,0.474,399,963,0.414,646,1241,0.521,550,698,0.7879999999999999,310,835,1145,617,224,60,412,677,3039
4,5.0,Herbalife Gran Canaria *,34,1230,2549,0.483,322,915,0.35200000000000004,908,1634,0.556,559,773,0.723,383,864,1247,678,277,101,494,786,3341
5,6.0,MoraBanc Andorra *,34,1074,2368,0.45399999999999996,359,978,0.36700000000000005,715,1390,0.514,637,877,0.726,310,839,1149,600,275,93,427,831,3144
6,7.0,Iberostar Tenerife *,34,1023,2221,0.461,307,902,0.34,716,1319,0.5429999999999999,479,648,0.7390000000000001,360,838,1198,625,213,96,415,758,2832
7,8.0,Unicaja *,34,1019,2259,0.451,325,917,0.354,694,1342,0.517,549,691,0.795,359,821,1180,668,237,60,392,662,2912
8,9.0,UCAM Murcia,34,891,2134,0.418,287,853,0.336,604,1281,0.47200000000000003,555,770,0.721,355,782,1137,430,218,84,401,800,2624
9,10.0,Montakit Fuenlabrada,34,957,2116,0.452,303,868,0.349,654,1248,0.524,424,594,0.7140000000000001,328,721,1049,511,175,78,426,812,2641
10,11.0,Movistar Estudiantes,34,992,2299,0.431,332,1032,0.322,660,1267,0.521,545,730,0.747,312,802,1114,599,213,117,344,746,2861
11,12.0,Rio Natura Monbus Obradoiro,34,927,2091,0.44299999999999995,329,917,0.359,598,1174,0.509,467,624,0.748,306,748,1054,549,177,119,407,757,2650
12,13.0,San Pablo Burgos,34,1000,2198,0.455,260,800,0.325,740,1398,0.529,513,672,0.763,295,757,1052,545,233,95,435,732,2775
13,14.0,Gipuzkoa Basket,34,1012,2252,0.449,260,812,0.32,752,1440,0.522,458,637,0.7190000000000001,365,778,1143,539,226,78,449,729,2742
14,15.0,Divina Seguros Joventut,34,954,2148,0.444,298,882,0.33799999999999997,656,1266,0.518,503,657,0.7659999999999999,301,720,1021,509,257,66,426,779,2709
15,16.0,Tecnyconta Zaragoza,34,988,2196,0.45,302,878,0.344,686,1318,0.52,502,651,0.7709999999999999,240,779,1019,467,181,88,409,742,2780
16,17.0,RETAbet Bilbao Basket,34,900,2042,0.441,312,882,0.354,588,1160,0.507,480,674,0.7120000000000001,259,707,966,476,200,66,417,759,2592
17,18.0,Real Betis Energia Plus,34,968,2139,0.45299999999999996,236,740,0.319,732,1399,0.523,457,623,0.7340000000000001,250,717,967,482,208,46,426,672,2629
18,,League Average,34,1056,2299,0.45899999999999996,326,920,0.355,730,1380,0.529,534,715,0.746,324,827,1151,596,233,90,433,772,2972
